date,open,high,low,close,adjustedClose,volume,symbol,source
2000-01-03,840,846,820,830,830,2426,CC=F,Yahoo chart API continuous-futures proxy
2000-01-04,830,841,823,836,836,1957,CC=F,Yahoo chart API continuous-futures proxy
2000-01-05,840,850,828,831,831,3975,CC=F,Yahoo chart API continuous-futures proxy
2000-01-06,830,847,824,841,841,3454,CC=F,Yahoo chart API continuous-futures proxy
2000-01-07,848,855,836,853,853,5008,CC=F,Yahoo chart API continuous-futures proxy
2000-01-10,848,855,837,839,839,3900,CC=F,Yahoo chart API continuous-futures proxy
2000-01-11,838,853,836,846,846,2073,CC=F,Yahoo chart API continuous-futures proxy
2000-01-12,848,855,843,854,854,2458,CC=F,Yahoo chart API continuous-futures proxy
2000-01-13,854,875,845,871,871,7037,CC=F,Yahoo chart API continuous-futures proxy
2000-01-14,870,872,847,850,850,4477,CC=F,Yahoo chart API continuous-futures proxy
2000-01-17,,,,,,,CC=F,Yahoo chart API continuous-futures proxy
2000-01-18,835,837,825,828,828,6976,CC=F,Yahoo chart API continuous-futures proxy
2000-01-19,828,845,815,844,844,5731,CC=F,Yahoo chart API continuous-futures proxy
2000-01-20,841,859,840,853,853,4759,CC=F,Yahoo chart API continuous-futures proxy
2000-01-21,857,865,848,861,861,5036,CC=F,Yahoo chart API continuous-futures proxy
2000-01-24,858,866,842,844,844,2671,CC=F,Yahoo chart API continuous-futures proxy
2000-01-25,845,846,835,838,838,2973,CC=F,Yahoo chart API continuous-futures proxy
2000-01-26,834,854,831,846,846,3964,CC=F,Yahoo chart API continuous-futures proxy
2000-01-27,848,852,820,823,823,5849,CC=F,Yahoo chart API continuous-futures proxy
2000-01-28,829,836,805,811,811,7540,CC=F,Yahoo chart API continuous-futures proxy
2000-01-31,810,812,794,795,795,6201,CC=F,Yahoo chart API continuous-futures proxy
2000-02-01,780,793,757,763,763,8622,CC=F,Yahoo chart API continuous-futures proxy
2000-02-02,775,779,763,766,766,5044,CC=F,Yahoo chart API continuous-futures proxy
2000-02-03,770,778,765,774,774,3021,CC=F,Yahoo chart API continuous-futures proxy
