date,open,high,low,close,volume,contract,storageBcf
1998-01-20,77.8125,78.84375,77.40625,43.50149154663086,1744600,DIA,0
1998-01-21,78.09375,78.375,77.28125,42.966773986816406,1839600,DIA,0
1998-01-22,77.1875,77.859375,76.9375,42.60454559326172,1662600,DIA,0
1998-01-23,77.5,77.75,76.3125,42.50104522705078,1693700,DIA,0
1998-01-26,77.375,77.671875,76.9375,42.67353820800781,1172800,DIA,0
1998-01-27,77.125,78.5625,77.078125,43.17375564575195,1454500,DIA,0
1998-01-28,78.375,79.234375,78.21875,43.67399215698242,1181200,DIA,0
1998-01-29,79.0625,80.25,78.890625,43.82923889160156,1468500,DIA,0
1998-01-30,79.9375,79.9375,78.96875,43.734371185302734,1095600,DIA,0
1998-02-02,80.625,81.3125,80.40625,44.717552185058594,955600,DIA,0
1998-02-03,81,81.671875,80.65625,45.07112503051758,619400,DIA,0
1998-02-04,81.21875,81.65625,80.8125,44.82966232299805,753200,DIA,0
1998-02-05,81.8125,81.90625,80.734375,44.8382682800293,1067600,DIA,0
1998-02-06,81.5,82.171875,81.359375,45.32123947143555,1069700,DIA,0
1998-02-09,82.09375,82.25,81.4375,45.140159606933594,515900,DIA,0
1998-02-10,82.03125,83.34375,81.921875,45.899105072021484,892100,DIA,0
1998-02-11,82.96875,83.390625,82.84375,45.899105072021484,515000,DIA,0
1998-02-12,82.734375,84.109375,82.375,46.19237518310547,1065000,DIA,0
1998-02-13,83.34375,83.84375,83.171875,46.16645050048828,596700,DIA,0
1998-02-17,84.3125,84.71875,83.890625,46.39928436279297,840600,DIA,0
1998-02-18,84.078125,84.703125,83.84375,46.70978927612305,773000,DIA,0
1998-02-19,84.640625,84.703125,83.828125,46.26993942260742,804800,DIA,0
1998-02-20,84.078125,84.46875,83.3125,46.52007293701172,540600,DIA,0
1998-02-23,85,85,83.96875,46.50278091430664,639200,DIA,0
1998-02-24,84.125,84.40625,83.53125,46.36480712890625,702700,DIA,0
1998-02-25,84.25,85.15625,84.078125,46.7442741394043,687400,DIA,0
1998-02-26,84.609375,85.21875,84.40625,47.00300979614258,439800,DIA,0
1998-02-27,85.109375,85.953125,84.890625,47.244468688964844,451300,DIA,0
1998-03-02,85.75,85.859375,85.28125,47.31348419189453,1062800,DIA,0
1998-03-03,85.21875,86.125,85.1875,47.52907180786133,596600,DIA,0
1998-03-04,85.625,85.875,85.109375,47.20998764038086,691700,DIA,0
1998-03-05,84.5,85.265625,84.21875,46.7960319519043,778300,DIA,0
1998-03-06,85.09375,86.03125,85.09375,47.48598861694336,933100,DIA,0
1998-03-09,85.625,86.578125,85.59375,47.39971923828125,685300,DIA,0
1998-03-10,86.375,86.75,86.15625,47.865455627441406,563700,DIA,0
1998-03-11,86.9375,87.234375,86.734375,48.02070999145508,406600,DIA,0
1998-03-12,86.9375,87.0625,86.3125,47.96031951904297,576700,DIA,0
1998-03-13,87.1875,87.25,86.09375,47.554969787597656,458900,DIA,0
1998-03-16,86.5625,87.46875,86.34375,48.2794189453125,733000,DIA,0
1998-03-17,87.28125,87.78125,87.078125,48.443275451660156,499900,DIA,0
1998-03-18,87.59375,88.015625,87.28125,48.564022064208984,410900,DIA,0
1998-03-19,88,88.296875,87.84375,48.701995849609375,730000,DIA,0
1998-03-20,88.5625,89.40625,88.28125,49.21086883544922,754300,DIA,0
1998-03-23,89.1875,89.1875,88.390625,48.84000015258789,551600,DIA,0
1998-03-24,88.96875,89.859375,88.921875,49.366085052490234,470300,DIA,0
1998-03-25,90.0625,90.0625,88.25,49.055606842041016,966200,DIA,0
1998-03-26,88.84375,89.296875,88.515625,48.91759490966797,412800,DIA,0
1998-03-27,89.34375,89.40625,87.875,48.7192497253418,584100,DIA,0
1998-03-30,88.28125,88.5625,87.6875,48.65890884399414,562400,DIA,0
1998-03-31,88.46875,89.3125,88.0625,48.676124572753906,620000,DIA,0
1998-04-01,88.359375,89.203125,87.71875,49.09011459350586,373700,DIA,0
1998-04-02,88.90625,90.25,88.828125,49.76279067993164,440600,DIA,0
1998-04-03,90.25,90.578125,89.8125,49.728309631347656,493300,DIA,0
1998-04-06,90.875,91.25,90.34375,49.8835334777832,610500,DIA,0
1998-04-07,90.375,90.390625,89.25,49.616214752197266,707300,DIA,0
1998-04-08,90.0625,90.0625,88.828125,49.279842376708984,949500,DIA,0
1998-04-09,89.65625,90.46875,89.625,49.8835334777832,451700,DIA,0
1998-04-13,90.734375,90.734375,89.5625,49.86631774902344,337900,DIA,0
1998-04-14,90.53125,91.515625,90.53125,50.469993591308594,451500,DIA,0
1998-04-15,91.65625,92.015625,91.203125,50.78910446166992,261800,DIA,0
1998-04-16,91.703125,91.703125,90.796875,50.26304626464844,232800,DIA,0
1998-04-17,90.734375,91.75,90.578125,50.806304931640625,382900,DIA,0
1998-04-20,91.59375,91.65625,91,50.581214904785156,299400,DIA,0
1998-04-21,91.25,91.921875,90.96875,50.91886520385742,372000,DIA,0
1998-04-22,91.859375,92.109375,91.6875,50.884220123291016,503400,DIA,0
1998-04-23,91.71875,92.03125,91.109375,50.58987808227539,597700,DIA,0
1998-04-24,91.21875,91.5625,90.0625,50.16572189331055,820200,DIA,0
1998-04-27,89.4375,89.875,88.390625,49.447208404541016,1916800,DIA,0
1998-04-28,90.03125,90.125,88.65625,49.300045013427734,437200,DIA,0
1998-04-29,89.28125,89.953125,88.921875,49.54243850708008,298700,DIA,0
1998-04-30,90.328125,91.3125,90.21875,50.34749984741211,443100,DIA,0
1998-05-01,91.09375,91.65625,90.8125,50.78034973144531,338300,DIA,0
1998-05-04,91.984375,92.578125,91.8125,50.8669319152832,542500,DIA,0
1998-05-05,91.5,91.859375,90.96875,50.68510437011719,325600,DIA,0
1998-05-06,91.84375,91.859375,90.28125,50.01851272583008,665500,DIA,0
1998-05-07,90.625,90.625,89.71875,49.71559143066406,593100,DIA,0
1998-05-08,89.75,90.984375,89.6875,50.38215255737305,638100,DIA,0
1998-05-11,91.28125,91.84375,90.6875,50.37352752685547,703100,DIA,0
1998-05-12,90.90625,91.921875,90.609375,50.92749786376953,479000,DIA,0
1998-05-13,91.90625,92.359375,91.625,51.10930633544922,399400,DIA,0
1998-05-14,91.5625,92.296875,91.34375,50.8669319152832,622900,DIA,0
1998-05-15,91.875,91.875,90.796875,50.353633880615234,280900,DIA,0
1998-05-18,90.875,91.328125,90,50.20625305175781,249200,DIA,0
1998-05-19,91.125,91.3125,90.375,50.22359848022461,482100,DIA,0
1998-05-20,91.25,91.875,90.640625,50.899478912353516,304400,DIA,0
1998-05-21,91.9375,92.171875,91.109375,50.67421340942383,530600,DIA,0
1998-05-22,91.59375,91.59375,90.9375,50.59619140625,219000,DIA,0
1998-05-26,91.734375,91.84375,89.65625,49.72101593017578,561300,DIA,0
1998-05-27,89,89.859375,87.9375,49.72101593017578,1041100,DIA,0
1998-05-28,89.75,90.09375,89.1875,49.903018951416016,367700,DIA,0
1998-05-29,90.28125,90.421875,88.84375,49.270477294921875,232400,DIA,0
1998-06-01,88.625,89.859375,88.59375,49.58240509033203,445800,DIA,0
1998-06-02,89.734375,89.875,88.78125,49.331119537353516,391600,DIA,0
1998-06-03,89.375,89.40625,87.8125,48.71586608886719,473100,DIA,0
1998-06-04,87.875,88.953125,87.53125,49.296409606933594,636200,DIA,0
1998-06-05,89.46875,90.859375,89,50.38825607299805,1014000,DIA,0
1998-06-08,90.75,91.25,90.484375,50.422950744628906,467900,DIA,0
1998-06-09,90.8125,91.046875,90.359375,50.31895446777344,180100,DIA,0
1998-06-10,90.28125,91.125,89.578125,49.77299880981445,531300,DIA,0
1998-06-11,90.03125,90.140625,88.125,48.871822357177734,529200,DIA,0
1998-06-12,88.1875,88.625,86.875,49.11445999145508,909200,DIA,0
1998-06-15,87.5625,87.9375,85.953125,47.693363189697266,617400,DIA,0
1998-06-16,86.8125,86.9375,85.9375,48.135292053222656,796500,DIA,0
1998-06-17,87.78125,89.171875,87.5625,49.16646194458008,895100,DIA,0
1998-06-18,88.4375,88.71875,88.09375,48.97584533691406,219000,DIA,0
1998-06-19,88.40625,88.546875,86.859375,48.39540100097656,506100,DIA,0
1998-06-22,87.1875,87.703125,86.796875,48.4475212097168,161500,DIA,0
1998-06-23,87.65625,88.421875,87.65625,49.11616134643555,201600,DIA,0
1998-06-24,88.5,89.4375,87.859375,49.62846374511719,353100,DIA,0
1998-06-25,89.875,90.296875,89.140625,49.84558868408203,420200,DIA,0
1998-06-26,89.59375,89.9375,89.34375,49.84558868408203,150400,DIA,0
1998-06-29,90.1875,90.65625,90,50.08875274658203,297700,DIA,0
1998-06-30,89.90625,90.15625,89.359375,49.84558868408203,395600,DIA,0
1998-07-01,90.375,90.671875,89.890625,50.34928894042969,347100,DIA,0
1998-07-02,90.34375,90.578125,90.140625,50.18428039550781,263900,DIA,0
1998-07-06,90.3125,91.25,90.03125,50.71401596069336,166500,DIA,0
1998-07-07,91.171875,91.5625,90.71875,50.63581466674805,155700,DIA,0
1998-07-08,91.1875,91.984375,91.109375,51.10478973388672,146900,DIA,0
1998-07-09,91.375,91.90625,90.46875,50.50554275512695,151500,DIA,0
1998-07-10,91.03125,91.46875,90.34375,50.70527648925781,127800,DIA,0
1998-07-13,91.375,91.921875,90.796875,50.5663948059082,164400,DIA,0
1998-07-14,91.484375,92.671875,91.484375,51.3740119934082,276000,DIA,0
1998-07-15,93,93.15625,92.28125,51.4086799621582,367900,DIA,0
1998-07-16,92.4375,93.40625,92.09375,51.83423614501953,356100,DIA,0
1998-07-17,93.4375,93.625,93.09375,51.868980407714844,222100,DIA,0
1998-07-20,93.546875,93.578125,92.578125,51.75605773925781,234900,DIA,0
1998-07-21,93.578125,93.578125,91.75,50.99189376831055,389800,DIA,0
1998-07-22,91.5,91.75,90.828125,50.80080032348633,229900,DIA,0
1998-07-23,91.171875,91.4375,89.203125,49.66325759887695,297000,DIA,0
1998-07-24,90.078125,90.078125,88.53125,49.706661224365234,424800,DIA,0
1998-07-27,88.96875,90.34375,88.53125,50.15818405151367,382900,DIA,0
1998-07-28,90.09375,90.09375,88.015625,49.5850830078125,557300,DIA,0
1998-07-29,89.8125,90,88.828125,49.47224807739258,330400,DIA,0
1998-07-30,89.875,90.375,89.578125,50.149532318115234,533300,DIA,0
1998-07-31,90.125,90.375,88.15625,49.20301818847656,234400,DIA,0
1998-08-03,88.625,88.921875,87.78125,48.80354309082031,429300,DIA,0
1998-08-04,88.625,88.625,84.875,47.20572280883789,947200,DIA,0
1998-08-05,85.4375,85.921875,83.53125,47.60514831542969,1456000,DIA,0
1998-08-06,84.96875,86.234375,84.96875,47.60514831542969,571600,DIA,0
1998-08-07,86.28125,87.234375,85.5,47.88304901123047,698900,DIA,0
1998-08-10,86,86.40625,85.140625,47.67464065551758,233900,DIA,0
1998-08-11,84.25,84.8125,83.0625,46.893089294433594,1034100,DIA,0
1998-08-12,85.21875,85.78125,84.71875,47.622501373291016,592000,DIA,0
1998-08-13,85.34375,86.21875,84.28125,46.84099197387695,651900,DIA,0
1998-08-14,85.625,85.6875,83.78125,46.85835647583008,731000,DIA,0
1998-08-17,84.09375,85.96875,83.6875,47.65724563598633,948800,DIA,0
1998-08-18,86.21875,87.671875,86.03125,48.5604248046875,566000,DIA,0
1998-08-19,87.90625,87.90625,86.78125,48.33464050292969,324700,DIA,0
1998-08-20,86.59375,87.125,86.15625,47.93510055541992,536300,DIA,0
1998-08-21,85.125,85.59375,83.1875,47.6793327331543,1184400,DIA,0
1998-08-24,85.8125,86.34375,85,47.69671630859375,292300,DIA,0
1998-08-25,86.46875,86.875,85.28125,47.8534049987793,309400,DIA,0
1998-08-26,84.84375,85.8125,84.53125,47.56619644165039,653200,DIA,0
1998-08-27,83.9375,84.21875,80.8125,45.14651107788086,1887300,DIA,0
1998-08-28,82,82.609375,80.125,44.9985466003418,1225000,DIA,0
1998-08-31,81.21875,81.40625,74.875,41.70853042602539,1284000,DIA,0
1998-09-01,76.21875,79.09375,73.875,43.745201110839844,1760300,DIA,0
1998-09-02,78.65625,79.625,77.625,43.32743835449219,551100,DIA,0
1998-09-03,76.34375,77.625,75.75,42.90968704223633,806800,DIA,0
1998-09-04,77.6875,77.78125,74.9375,42.8226318359375,578100,DIA,0
1998-09-08,79.1875,80.65625,78.34375,44.89411163330078,1187900,DIA,0
1998-09-09,80.09375,80.46875,78.40625,43.67560958862305,879200,DIA,0
1998-09-10,76.46875,77.21875,75,42.19593048095703,1292900,DIA,0
1998-09-11,75.375,78.8125,75.015625,43.84962844848633,1086900,DIA,0
1998-09-14,79.421875,80.34375,79.21875,44.232627868652344,627700,DIA,0
1998-09-15,78.625,80.5,78.59375,44.720001220703125,418000,DIA,0
1998-09-16,80.9375,81.6875,79.59375,45.189998626708984,495200,DIA,0
1998-09-17,78.65625,79.40625,78.5,43.884521484375,681100,DIA,0
1998-09-18,78.5625,79.125,78.125,43.96267318725586,309400,DIA,0
1998-09-21,76.28125,79.5625,76.15625,44.206764221191406,562200,DIA,0
1998-09-22,80.0625,80.0625,78.515625,43.98884963989258,431900,DIA,0
1998-09-23,79.90625,81.875,79.390625,45.67100524902344,680200,DIA,0
1998-09-24,81.265625,81.859375,79.234375,44.49434280395508,568800,DIA,0
1998-09-25,78.96875,80.96875,78.65625,44.69485092163086,422200,DIA,0
1998-09-28,80.9375,81.640625,80.375,45.339813232421875,678800,DIA,0
1998-09-29,81.484375,81.5625,79.59375,45.00862121582031,1089600,DIA,0
1998-09-30,79.6875,80.4375,78.125,43.614097595214844,673200,DIA,0
1998-10-01,77,78.15625,75.75,42.51586151123047,1107600,DIA,0
1998-10-02,76.375,78.3125,75.0625,43.59664535522461,971800,DIA,0
1998-10-05,77.34375,78,75.4375,43.07368850708008,728800,DIA,0
1998-10-06,78.3125,78.859375,76.625,43.05626678466797,806100,DIA,0
1998-10-07,77.53125,78.5625,75.859375,43.1434440612793,1280800,DIA,0
1998-10-08,75.125,77.75,74.46875,43.126014709472656,2218200,DIA,0
1998-10-09,78.0625,79.375,76.5625,44.171913146972656,1196900,DIA,0
1998-10-12,80.53125,80.96875,79.5,44.503047943115234,630700,DIA,0
1998-10-13,80,80.1875,78.6875,44.16315460205078,288500,DIA,0
1998-10-14,79,80.671875,78.84375,44.45076370239258,939700,DIA,0
1998-10-15,79.5,88,79.1875,46.78663635253906,1219200,DIA,0
1998-10-16,83.9375,84.421875,83.25,46.96097183227539,694800,DIA,0
1998-10-19,84,85.25,83.8125,47.205013275146484,423800,DIA,0
1998-10-20,85.484375,86.5,84.484375,47.353187561035156,959800,DIA,0
1998-10-21,85.46875,85.796875,84.625,47.449031829833984,599800,DIA,0
1998-10-22,85.03125,85.6875,84.203125,47.727935791015625,574800,DIA,0
