date,open,high,low,close,adjustedClose,volume,symbol,source
2000-06-02,50.859375,51.1875,50.859375,51.1875,36.5757942199707,29400,IWM,Yahoo chart API
2000-06-05,51.0625,51.5625,50.9375,51,36.44184112548828,48400,IWM,Yahoo chart API
2000-06-06,51.8046875,52.40625,51.34375,51.5,36.79911422729492,151800,IWM,Yahoo chart API
2000-06-07,51.1875,51.5625,50.71875,51.5625,36.84376907348633,131000,IWM,Yahoo chart API
2000-06-08,52.125,52.125,51.4375,51.4375,36.75444030761719,91400,IWM,Yahoo chart API
2000-06-09,51.9375,52.34375,51.90625,52.34375,37.402008056640625,41600,IWM,Yahoo chart API
2000-06-12,52.5,52.5,50.75,50.7890625,36.291114807128906,85200,IWM,Yahoo chart API
2000-06-13,50.6640625,51.4375,50.1875,51.4375,36.75444030761719,168200,IWM,Yahoo chart API
2000-06-14,51.859375,51.859375,51.1875,51.1875,36.5757942199707,43200,IWM,Yahoo chart API
2000-06-15,50.875,51.25,50.3828125,51.25,36.6204833984375,26800,IWM,Yahoo chart API
2000-06-16,51.46875,51.5,50.96875,50.96875,36.41950225830078,30200,IWM,Yahoo chart API
2000-06-19,51.25,52.25,51.015625,52.25,37.33500289916992,59200,IWM,Yahoo chart API
2000-06-20,52.328125,52.671875,52.125,52.59375,37.58063888549805,47000,IWM,Yahoo chart API
2000-06-21,52.125,52.9375,52.125,52.84375,37.78083801269531,66800,IWM,Yahoo chart API
2000-06-22,53,53,51.25,51.25,36.64137649536133,139600,IWM,Yahoo chart API
2000-06-23,51.75,51.75,50.5,50.90625,36.39561080932617,235800,IWM,Yahoo chart API
2000-06-26,51.109375,51.53125,50.875,51.53125,36.84245681762695,93600,IWM,Yahoo chart API
2000-06-27,51.609375,52.0625,50.71875,50.71875,36.26154327392578,112800,IWM,Yahoo chart API
2000-06-28,50.9375,52.1875,50.9375,52,37.177589416503906,170600,IWM,Yahoo chart API
2000-06-29,51.75,51.84375,51.03125,51.1875,36.596675872802734,212200,IWM,Yahoo chart API
2000-06-30,51.21875,51.6796875,50.796875,51.6796875,36.94858169555664,1171800,IWM,Yahoo chart API
2000-07-03,51.5625,52.40625,51.5,52.40625,37.468040466308594,15800,IWM,Yahoo chart API
2000-07-05,52.109375,52.125,51.6328125,51.8125,37.04352569580078,138800,IWM,Yahoo chart API
2000-07-06,51.828125,52.421875,51.34375,52.421875,37.47920608520508,154600,IWM,Yahoo chart API
2000-07-07,52.4296875,52.953125,52.4296875,52.75,37.713809967041016,71800,IWM,Yahoo chart API
2000-07-10,52.71875,53.28125,52.71875,53.09375,37.95956802368164,44800,IWM,Yahoo chart API
2000-07-11,53,53.296875,52.84375,53.03125,37.914894104003906,253200,IWM,Yahoo chart API
2000-07-12,53.3125,54.09375,53.25,54.09375,38.67452621459961,45200,IWM,Yahoo chart API
2000-07-13,54.140625,54.265625,54,54.265625,38.79738998413086,102600,IWM,Yahoo chart API
2000-07-14,54.546875,54.546875,53.875,54.3125,38.83091735839844,54800,IWM,Yahoo chart API
2000-07-17,54.359375,54.59375,54.21875,54.5,38.9649772644043,46600,IWM,Yahoo chart API
2000-07-18,54.140625,54.140625,53.5625,53.5625,38.29470443725586,235400,IWM,Yahoo chart API
2000-07-19,53.390625,53.390625,52.625,52.625,37.62443542480469,35400,IWM,Yahoo chart API
2000-07-20,53.125,53.5,53.125,53.5,38.25001907348633,150400,IWM,Yahoo chart API
2000-07-21,53.1875,53.1875,52.03125,52.03125,37.19993591308594,150600,IWM,Yahoo chart API
2000-07-24,52.3125,52.3125,51.1640625,51.2734375,36.65814208984375,37000,IWM,Yahoo chart API
2000-07-25,51.6796875,51.6796875,51.0625,51.375,36.73073959350586,36800,IWM,Yahoo chart API
2000-07-26,51,51.28125,50.46875,51.28125,36.66371154785156,15800,IWM,Yahoo chart API
2000-07-27,51.1796875,51.1796875,49.875,49.875,35.658321380615234,275000,IWM,Yahoo chart API
2000-07-28,50.1640625,50.1640625,48.875,49,35.03272247314453,171600,IWM,Yahoo chart API
2000-07-31,49.25,50.25,48.6875,50.25,35.92644119262695,166400,IWM,Yahoo chart API
2000-08-01,49.875,50.0625,49.640625,49.921875,35.69184112548828,263400,IWM,Yahoo chart API
2000-08-02,49.625,50.28125,49.5,50,35.74767303466797,388600,IWM,Yahoo chart API
2000-08-03,49.03125,50.0625,49.03125,49.96875,35.725337982177734,1084200,IWM,Yahoo chart API
2000-08-04,50.5625,50.578125,49.921875,50.21875,35.904083251953125,570400,IWM,Yahoo chart API
