date,open,high,low,close,adjustedClose,volume,symbol,source
2000-01-03,124,124,116.0999984741211,116.5,116.5,6640,KC=F,Yahoo chart API continuous-futures proxy
2000-01-04,116.5,120.5,115.75,116.25,116.25,5492,KC=F,Yahoo chart API continuous-futures proxy
2000-01-05,115,121,115,118.5999984741211,118.5999984741211,6165,KC=F,Yahoo chart API continuous-futures proxy
2000-01-06,119,121.4000015258789,116.5,116.8499984741211,116.8499984741211,5094,KC=F,Yahoo chart API continuous-futures proxy
2000-01-07,117.75,117.75,113.80000305175781,114.1500015258789,114.1500015258789,6855,KC=F,Yahoo chart API continuous-futures proxy
2000-01-10,126,126,116.69999694824219,117.55000305175781,117.55000305175781,7499,KC=F,Yahoo chart API continuous-futures proxy
2000-01-11,115.5,118.25,115.5,117.80000305175781,117.80000305175781,3976,KC=F,Yahoo chart API continuous-futures proxy
2000-01-12,118,120.5,116.9000015258789,118.94999694824219,118.94999694824219,5184,KC=F,Yahoo chart API continuous-futures proxy
2000-01-13,120,120,117.5,118.55000305175781,118.55000305175781,3717,KC=F,Yahoo chart API continuous-futures proxy
2000-01-14,118,120.25,112.25,112.55000305175781,112.55000305175781,10115,KC=F,Yahoo chart API continuous-futures proxy
2000-01-18,112,118.25,110.5999984741211,115.75,115.75,7364,KC=F,Yahoo chart API continuous-futures proxy
2000-01-19,116.5,118.25,114.75,116.69999694824219,116.69999694824219,6626,KC=F,Yahoo chart API continuous-futures proxy
2000-01-20,118.25,118.80000305175781,111.69999694824219,112,112,8834,KC=F,Yahoo chart API continuous-futures proxy
2000-01-21,112,113.5,110.80000305175781,111.19999694824219,111.19999694824219,5625,KC=F,Yahoo chart API continuous-futures proxy
2000-01-24,111,114.4000015258789,110.94999694824219,111.9000015258789,111.9000015258789,5821,KC=F,Yahoo chart API continuous-futures proxy
2000-01-25,111.9000015258789,113.69999694824219,111.5999984741211,112.8499984741211,112.8499984741211,4014,KC=F,Yahoo chart API continuous-futures proxy
2000-01-26,113,115.30000305175781,111.9000015258789,115.1500015258789,115.1500015258789,5796,KC=F,Yahoo chart API continuous-futures proxy
2000-01-27,114.75,116.4000015258789,112.80000305175781,114.5999984741211,114.5999984741211,5477,KC=F,Yahoo chart API continuous-futures proxy
2000-01-28,115.1500015258789,115.4000015258789,113.69999694824219,114.69999694824219,114.69999694824219,3334,KC=F,Yahoo chart API continuous-futures proxy
2000-01-31,114,114,110.5,111.0999984741211,111.0999984741211,6465,KC=F,Yahoo chart API continuous-futures proxy
2000-02-01,110.5999984741211,112.75,109.80000305175781,111.6500015258789,111.6500015258789,5964,KC=F,Yahoo chart API continuous-futures proxy
2000-02-02,112.75,114.25,111.75,112.25,112.25,5055,KC=F,Yahoo chart API continuous-futures proxy
2000-02-03,112,113.5,111.25,112.94999694824219,112.94999694824219,4181,KC=F,Yahoo chart API continuous-futures proxy
2000-02-04,112.5,114.5,112.5,112.9000015258789,112.9000015258789,4107,KC=F,Yahoo chart API continuous-futures proxy
2000-02-07,114,114.25,111.25,111.69999694824219,111.69999694824219,6155,KC=F,Yahoo chart API continuous-futures proxy
2000-02-08,112.25,112.4000015258789,108.5,108.55000305175781,108.55000305175781,11717,KC=F,Yahoo chart API continuous-futures proxy
2000-02-09,108.55000305175781,109.4000015258789,106.9000015258789,107.69999694824219,107.69999694824219,6700,KC=F,Yahoo chart API continuous-futures proxy
2000-02-10,108,109,107.30000305175781,108.75,108.75,5121,KC=F,Yahoo chart API continuous-futures proxy
2000-02-11,108.75,110.69999694824219,108.4000015258789,108.80000305175781,108.80000305175781,6053,KC=F,Yahoo chart API continuous-futures proxy
2000-02-14,107,107.5999984741211,104.25,105,105,7749,KC=F,Yahoo chart API continuous-futures proxy
2000-02-15,106,106.69999694824219,105.30000305175781,105.80000305175781,105.80000305175781,6638,KC=F,Yahoo chart API continuous-futures proxy
2000-02-16,105.5,107,104.9000015258789,104.94999694824219,104.94999694824219,8616,KC=F,Yahoo chart API continuous-futures proxy
2000-02-17,105,105.75,104.4000015258789,105.3499984741211,105.3499984741211,7419,KC=F,Yahoo chart API continuous-futures proxy
2000-02-18,105.75,106.4000015258789,103.75,104.30000305175781,104.30000305175781,7419,KC=F,Yahoo chart API continuous-futures proxy
2000-02-22,103,104.75,103,103.19999694824219,103.19999694824219,1209,KC=F,Yahoo chart API continuous-futures proxy
2000-02-23,103,104.25,102.5,103.5999984741211,103.5999984741211,1237,KC=F,Yahoo chart API continuous-futures proxy
2000-02-24,103.9000015258789,104,101.75,101.75,101.75,727,KC=F,Yahoo chart API continuous-futures proxy
2000-02-25,102,102,98.19999694824219,98.80000305175781,98.80000305175781,1908,KC=F,Yahoo chart API continuous-futures proxy
2000-02-28,98.25,101.75,98,101.6500015258789,101.6500015258789,473,KC=F,Yahoo chart API continuous-futures proxy
2000-02-29,102,103,99.44999694824219,99.9000015258789,99.9000015258789,287,KC=F,Yahoo chart API continuous-futures proxy
2000-03-01,101.25,101.69999694824219,100.25,101.1500015258789,101.1500015258789,166,KC=F,Yahoo chart API continuous-futures proxy
2000-03-02,102.5,105.5,102.5,105.0999984741211,105.0999984741211,198,KC=F,Yahoo chart API continuous-futures proxy
2000-03-03,104.75,105.4000015258789,103.8499984741211,104.3499984741211,104.3499984741211,187,KC=F,Yahoo chart API continuous-futures proxy
2000-03-06,103.5,106.5,103.5,106.30000305175781,106.30000305175781,106,KC=F,Yahoo chart API continuous-futures proxy
2000-03-07,108,108.5999984741211,108,108.4000015258789,108.4000015258789,171,KC=F,Yahoo chart API continuous-futures proxy
2000-03-08,108.75,108.75,107,107.4000015258789,107.4000015258789,67,KC=F,Yahoo chart API continuous-futures proxy
2000-03-09,108.5,109,107.19999694824219,107.19999694824219,107.19999694824219,93,KC=F,Yahoo chart API continuous-futures proxy
2000-03-10,106,106.69999694824219,105.80000305175781,106.0999984741211,106.0999984741211,112,KC=F,Yahoo chart API continuous-futures proxy
2000-03-13,106.5,106.5,105.75,106,106,91,KC=F,Yahoo chart API continuous-futures proxy
2000-03-14,106.5,106.5,102.25,102.55000305175781,102.55000305175781,198,KC=F,Yahoo chart API continuous-futures proxy
2000-03-15,103,103,101.5,103,103,178,KC=F,Yahoo chart API continuous-futures proxy
2000-03-16,103.5,106.75,103.5,106.3499984741211,106.3499984741211,169,KC=F,Yahoo chart API continuous-futures proxy
2000-03-17,105.5,106.1500015258789,105.5,106.0999984741211,106.0999984741211,138,KC=F,Yahoo chart API continuous-futures proxy
2000-03-20,104.75,105,103.0999984741211,103.0999984741211,103.0999984741211,186,KC=F,Yahoo chart API continuous-futures proxy
2000-03-21,103.5,104,103.5,103.75,103.75,0,KC=F,Yahoo chart API continuous-futures proxy
2000-03-22,104.5,105.9000015258789,104.5,105.80000305175781,105.80000305175781,3326,KC=F,Yahoo chart API continuous-futures proxy
2000-03-23,105.75,107,101.5,102.0999984741211,102.0999984741211,9191,KC=F,Yahoo chart API continuous-futures proxy
2000-03-24,103,103.25,101.05000305175781,103.1500015258789,103.1500015258789,4240,KC=F,Yahoo chart API continuous-futures proxy
2000-03-27,102.75,103.25,101.3499984741211,103.1500015258789,103.1500015258789,3871,KC=F,Yahoo chart API continuous-futures proxy
2000-03-28,104,105.30000305175781,103.80000305175781,104.5,104.5,4242,KC=F,Yahoo chart API continuous-futures proxy
2000-03-29,104.75,105.25,103.5,103.9000015258789,103.9000015258789,3651,KC=F,Yahoo chart API continuous-futures proxy
2000-03-30,103.80000305175781,104.4000015258789,103.25,103.5,103.5,2999,KC=F,Yahoo chart API continuous-futures proxy
2000-03-31,103.5,104.5999984741211,102,103.69999694824219,103.69999694824219,5523,KC=F,Yahoo chart API continuous-futures proxy
2000-04-03,103.5,103.69999694824219,101.30000305175781,102.0999984741211,102.0999984741211,4398,KC=F,Yahoo chart API continuous-futures proxy
2000-04-04,102.0999984741211,102.4000015258789,99.9000015258789,100.0999984741211,100.0999984741211,5658,KC=F,Yahoo chart API continuous-futures proxy
2000-04-05,99.5,102.5,97.19999694824219,101.80000305175781,101.80000305175781,9620,KC=F,Yahoo chart API continuous-futures proxy
2000-04-06,100.5,101.5,98.69999694824219,100.8499984741211,100.8499984741211,6398,KC=F,Yahoo chart API continuous-futures proxy
2000-04-07,100.3499984741211,101.30000305175781,99.3499984741211,99.5999984741211,99.5999984741211,4023,KC=F,Yahoo chart API continuous-futures proxy
2000-04-10,98.5,99.30000305175781,96.5,96.6500015258789,96.6500015258789,6840,KC=F,Yahoo chart API continuous-futures proxy
2000-04-11,96,97.25,96,96.55000305175781,96.55000305175781,5538,KC=F,Yahoo chart API continuous-futures proxy
2000-04-12,95.75,96.5,94.0999984741211,94.19999694824219,94.19999694824219,9650,KC=F,Yahoo chart API continuous-futures proxy
2000-04-13,94,94.9000015258789,93.25,94.69999694824219,94.69999694824219,7596,KC=F,Yahoo chart API continuous-futures proxy
2000-04-14,94,95.25,91.94999694824219,92.6500015258789,92.6500015258789,7347,KC=F,Yahoo chart API continuous-futures proxy
2000-04-17,93,93.5,92.30000305175781,92.80000305175781,92.80000305175781,9443,KC=F,Yahoo chart API continuous-futures proxy
2000-04-18,92,95.80000305175781,92,94.05000305175781,94.05000305175781,14039,KC=F,Yahoo chart API continuous-futures proxy
2000-04-19,94.5,95.80000305175781,94,95.69999694824219,95.69999694824219,2932,KC=F,Yahoo chart API continuous-futures proxy
2000-04-20,95.69999694824219,98.19999694824219,95.69999694824219,97.75,97.75,1044,KC=F,Yahoo chart API continuous-futures proxy
2000-04-24,98,98.4000015258789,94,94.25,94.25,440,KC=F,Yahoo chart API continuous-futures proxy
2000-04-25,94.5,95.75,94,95.5999984741211,95.5999984741211,540,KC=F,Yahoo chart API continuous-futures proxy
2000-04-26,95,95,94.25,94.75,94.75,175,KC=F,Yahoo chart API continuous-futures proxy
2000-04-27,94.75,95.3499984741211,94.5,94.8499984741211,94.8499984741211,618,KC=F,Yahoo chart API continuous-futures proxy
2000-04-28,94.5,96,94,95.30000305175781,95.30000305175781,202,KC=F,Yahoo chart API continuous-futures proxy
2000-05-01,99,100.30000305175781,99,100.30000305175781,100.30000305175781,276,KC=F,Yahoo chart API continuous-futures proxy
2000-05-02,100,100.25,98,99.0999984741211,99.0999984741211,149,KC=F,Yahoo chart API continuous-futures proxy
2000-05-03,98,98.3499984741211,94.25,94.44999694824219,94.44999694824219,242,KC=F,Yahoo chart API continuous-futures proxy
2000-05-04,96,97,95.80000305175781,96.8499984741211,96.8499984741211,140,KC=F,Yahoo chart API continuous-futures proxy
2000-05-05,97.5,97.5,96.5,96.8499984741211,96.8499984741211,291,KC=F,Yahoo chart API continuous-futures proxy
2000-05-08,96,97.1500015258789,96,97.1500015258789,97.1500015258789,275,KC=F,Yahoo chart API continuous-futures proxy
2000-05-09,98,99.0999984741211,97,97.44999694824219,97.44999694824219,230,KC=F,Yahoo chart API continuous-futures proxy
2000-05-10,98.5,98.5,97,97.25,97.25,112,KC=F,Yahoo chart API continuous-futures proxy
2000-05-11,97,97,95.0999984741211,95.9000015258789,95.9000015258789,37,KC=F,Yahoo chart API continuous-futures proxy
2000-05-12,95.5,95.5,91.80000305175781,91.80000305175781,91.80000305175781,137,KC=F,Yahoo chart API continuous-futures proxy
2000-05-15,92.75,92.75,91.25,91.25,91.25,67,KC=F,Yahoo chart API continuous-futures proxy
2000-05-16,92.5,92.5,92,92.25,92.25,146,KC=F,Yahoo chart API continuous-futures proxy
2000-05-17,92.25,92.25,90.3499984741211,91.80000305175781,91.80000305175781,296,KC=F,Yahoo chart API continuous-futures proxy
2000-05-18,91.25,93,91,91.5,91.5,0,KC=F,Yahoo chart API continuous-futures proxy
2000-05-19,95.5,98.75,94.80000305175781,97.94999694824219,97.94999694824219,8338,KC=F,Yahoo chart API continuous-futures proxy
2000-05-22,97.94999694824219,104.69999694824219,97.5,103.30000305175781,103.30000305175781,14769,KC=F,Yahoo chart API continuous-futures proxy
2000-05-23,103.5,104.25,101.30000305175781,103.69999694824219,103.69999694824219,7216,KC=F,Yahoo chart API continuous-futures proxy
2000-05-24,103.25,103.5,100.75,101.8499984741211,101.8499984741211,4667,KC=F,Yahoo chart API continuous-futures proxy
2000-05-25,100,101.4000015258789,98.5,99.25,99.25,6264,KC=F,Yahoo chart API continuous-futures proxy
2000-05-26,97.5,99.75,97.5,99.19999694824219,99.19999694824219,3239,KC=F,Yahoo chart API continuous-futures proxy
2000-05-30,99,100.9000015258789,99,100.4000015258789,100.4000015258789,3895,KC=F,Yahoo chart API continuous-futures proxy
2000-05-31,101.25,101.69999694824219,92.5999984741211,93,93,11773,KC=F,Yahoo chart API continuous-futures proxy
2000-06-01,94,97.25,93.05000305175781,94.44999694824219,94.44999694824219,7358,KC=F,Yahoo chart API continuous-futures proxy
2000-06-02,94.5,96.75,94.30000305175781,95.55000305175781,95.55000305175781,3308,KC=F,Yahoo chart API continuous-futures proxy
2000-06-05,94.9000015258789,94.9000015258789,93,93.3499984741211,93.3499984741211,4290,KC=F,Yahoo chart API continuous-futures proxy
2000-06-06,93,93,88.80000305175781,89.1500015258789,89.1500015258789,10278,KC=F,Yahoo chart API continuous-futures proxy
2000-06-07,91,92.9000015258789,90.5,92.05000305175781,92.05000305175781,6901,KC=F,Yahoo chart API continuous-futures proxy
2000-06-08,91,94.75,90.25,92.55000305175781,92.55000305175781,8028,KC=F,Yahoo chart API continuous-futures proxy
2000-06-09,92.25,92.75,91.25,91.8499984741211,91.8499984741211,4287,KC=F,Yahoo chart API continuous-futures proxy
2000-06-12,91,93.25,89.5,91.1500015258789,91.1500015258789,5043,KC=F,Yahoo chart API continuous-futures proxy
2000-06-13,91.1500015258789,91.3499984741211,89.0999984741211,90.80000305175781,90.80000305175781,5001,KC=F,Yahoo chart API continuous-futures proxy
2000-06-14,90,91.30000305175781,89.25,89.8499984741211,89.8499984741211,6995,KC=F,Yahoo chart API continuous-futures proxy
2000-06-15,89.5,89.80000305175781,86.5,88.1500015258789,88.1500015258789,7002,KC=F,Yahoo chart API continuous-futures proxy
2000-06-16,88.5,89,86.75,87.25,87.25,4197,KC=F,Yahoo chart API continuous-futures proxy
2000-06-19,86.75,88.25,86.25,87.19999694824219,87.19999694824219,5391,KC=F,Yahoo chart API continuous-futures proxy
2000-06-20,87,88,86.75,87.25,87.25,6173,KC=F,Yahoo chart API continuous-futures proxy
2000-06-21,86.69999694824219,87.69999694824219,84,84.44999694824219,84.44999694824219,9823,KC=F,Yahoo chart API continuous-futures proxy
2000-06-22,85.5,86.75,85.25,86.1500015258789,86.1500015258789,1687,KC=F,Yahoo chart API continuous-futures proxy
2000-06-23,86.75,89.5,86.75,87.05000305175781,87.05000305175781,1151,KC=F,Yahoo chart API continuous-futures proxy
2000-06-26,86.75,87.4000015258789,86,87.1500015258789,87.1500015258789,184,KC=F,Yahoo chart API continuous-futures proxy
2000-06-27,86.5,88.5,86,88.5,88.5,374,KC=F,Yahoo chart API continuous-futures proxy
2000-06-28,88.5,89.25,87.30000305175781,87.6500015258789,87.6500015258789,281,KC=F,Yahoo chart API continuous-futures proxy
2000-06-29,87.25,87.6500015258789,86.30000305175781,86.4000015258789,86.4000015258789,150,KC=F,Yahoo chart API continuous-futures proxy
2000-06-30,86.9000015258789,87,84.5999984741211,84.8499984741211,84.8499984741211,150,KC=F,Yahoo chart API continuous-futures proxy
2000-07-05,85.4000015258789,85.9000015258789,85,85.4000015258789,85.4000015258789,120,KC=F,Yahoo chart API continuous-futures proxy
2000-07-06,85.25,85.5,82.8499984741211,82.8499984741211,82.8499984741211,262,KC=F,Yahoo chart API continuous-futures proxy
2000-07-07,82.75,82.75,79.75,80.80000305175781,80.80000305175781,173,KC=F,Yahoo chart API continuous-futures proxy
2000-07-10,83.5,85.5,83.5,84,84,46,KC=F,Yahoo chart API continuous-futures proxy
2000-07-11,84.75,91.1500015258789,84.5,90.0999984741211,90.0999984741211,41,KC=F,Yahoo chart API continuous-futures proxy
2000-07-12,90.5,90.5,88.80000305175781,89.69999694824219,89.69999694824219,12,KC=F,Yahoo chart API continuous-futures proxy
2000-07-13,93,99.5,93,99.19999694824219,99.19999694824219,20,KC=F,Yahoo chart API continuous-futures proxy
2000-07-14,95.5,95.5,89.1500015258789,89.1500015258789,89.1500015258789,20,KC=F,Yahoo chart API continuous-futures proxy
2000-07-17,98.5,98.6500015258789,98.5,98.6500015258789,98.6500015258789,59,KC=F,Yahoo chart API continuous-futures proxy
2000-07-18,119,119,113,116.5,116.5,93,KC=F,Yahoo chart API continuous-futures proxy
2000-07-19,113,113,111.1500015258789,111.1500015258789,111.1500015258789,0,KC=F,Yahoo chart API continuous-futures proxy
2000-07-20,101.5,104,95.3499984741211,97.75,97.75,7265,KC=F,Yahoo chart API continuous-futures proxy
2000-07-21,100,103.25,96.25,96.6500015258789,96.6500015258789,10789,KC=F,Yahoo chart API continuous-futures proxy
