date,open,high,low,close,adjustedClose,volume,symbol,source
2000-09-21,296,296,292,293.75,293.75,4842,KE=F,Yahoo chart API continuous-futures proxy
2000-09-22,293.5,297,293.25,295.5,295.5,3945,KE=F,Yahoo chart API continuous-futures proxy
2000-09-25,297.5,300,297,299.5,299.5,5073,KE=F,Yahoo chart API continuous-futures proxy
2000-09-26,301,303.5,299.75,302,302,9180,KE=F,Yahoo chart API continuous-futures proxy
2000-09-27,301.5,308,301,307.75,307.75,11145,KE=F,Yahoo chart API continuous-futures proxy
2000-09-28,310,312,310,310.75,310.75,12214,KE=F,Yahoo chart API continuous-futures proxy
2000-09-29,318,320,316.5,320,320,8930,KE=F,Yahoo chart API continuous-futures proxy
2000-10-02,325,325,318,321,321,6026,KE=F,Yahoo chart API continuous-futures proxy
2000-10-03,319.5,321,316,320.5,320.5,7291,KE=F,Yahoo chart API continuous-futures proxy
2000-10-04,318,321,317,318,318,7042,KE=F,Yahoo chart API continuous-futures proxy
2000-10-05,314.5,316.25,313,315.5,315.5,6182,KE=F,Yahoo chart API continuous-futures proxy
2000-10-06,315.5,320,315,318.5,318.5,3357,KE=F,Yahoo chart API continuous-futures proxy
2000-10-09,317.5,319.5,316.5,318.5,318.5,8208,KE=F,Yahoo chart API continuous-futures proxy
2000-10-10,318.5,325.75,318.5,325.5,325.5,9942,KE=F,Yahoo chart API continuous-futures proxy
2000-10-11,325,328.5,324.25,326.5,326.5,8015,KE=F,Yahoo chart API continuous-futures proxy
2000-10-12,330,331.5,326.5,326.75,326.75,8199,KE=F,Yahoo chart API continuous-futures proxy
2000-10-13,325.5,325.5,319,320,320,5425,KE=F,Yahoo chart API continuous-futures proxy
2000-10-16,319.5,324.5,317.5,324,324,8209,KE=F,Yahoo chart API continuous-futures proxy
2000-10-17,323,323.5,315,319.5,319.5,8377,KE=F,Yahoo chart API continuous-futures proxy
2000-10-18,316.5,316.5,312,312.75,312.75,9141,KE=F,Yahoo chart API continuous-futures proxy
2000-10-19,312,312.75,308.5,308.75,308.75,4938,KE=F,Yahoo chart API continuous-futures proxy
2000-10-20,308.5,312,308.25,309,309,5912,KE=F,Yahoo chart API continuous-futures proxy
2000-10-23,306.5,307,303.5,306,306,5336,KE=F,Yahoo chart API continuous-futures proxy
2000-10-24,305,306,301,305.5,305.5,5418,KE=F,Yahoo chart API continuous-futures proxy
2000-10-25,305.5,306.5,302.5,303.75,303.75,5106,KE=F,Yahoo chart API continuous-futures proxy
2000-10-26,304,306.5,303.75,305,305,5784,KE=F,Yahoo chart API continuous-futures proxy
2000-10-27,306,310,306,309.75,309.75,4037,KE=F,Yahoo chart API continuous-futures proxy
2000-10-30,310,310.25,304.5,305.75,305.75,4832,KE=F,Yahoo chart API continuous-futures proxy
2000-10-31,304.25,308,303,305.5,305.5,3432,KE=F,Yahoo chart API continuous-futures proxy
2000-11-01,306.5,308,305.5,305.5,305.5,5880,KE=F,Yahoo chart API continuous-futures proxy
2000-11-02,309.25,313,308.5,312.5,312.5,7045,KE=F,Yahoo chart API continuous-futures proxy
2000-11-03,313.25,319,313,318.75,318.75,5118,KE=F,Yahoo chart API continuous-futures proxy
2000-11-06,320,320,314.5,317.25,317.25,3430,KE=F,Yahoo chart API continuous-futures proxy
2000-11-07,315.5,316.5,314.5,315.5,315.5,3769,KE=F,Yahoo chart API continuous-futures proxy
2000-11-08,317,317.5,314.75,316.5,316.5,6271,KE=F,Yahoo chart API continuous-futures proxy
2000-11-09,315,315.5,309.5,309.5,309.5,4618,KE=F,Yahoo chart API continuous-futures proxy
2000-11-10,308.5,309.75,307,307.75,307.75,5321,KE=F,Yahoo chart API continuous-futures proxy
2000-11-13,307.5,309.75,307.5,309,309,5373,KE=F,Yahoo chart API continuous-futures proxy
2000-11-14,309.5,311,308.25,308.5,308.5,3275,KE=F,Yahoo chart API continuous-futures proxy
2000-11-15,308,310,307,307.5,307.5,6573,KE=F,Yahoo chart API continuous-futures proxy
2000-11-16,307,310.25,306,307,307,6140,KE=F,Yahoo chart API continuous-futures proxy
2000-11-17,308.5,310.5,308,309.5,309.5,4025,KE=F,Yahoo chart API continuous-futures proxy
2000-11-20,310.5,313.25,309.5,309.5,309.5,3798,KE=F,Yahoo chart API continuous-futures proxy
2000-11-21,308.75,310,307.75,310,310,5863,KE=F,Yahoo chart API continuous-futures proxy
2000-11-22,312.75,313,311.25,313,313,5595,KE=F,Yahoo chart API continuous-futures proxy
2000-11-23,,,,,,,KE=F,Yahoo chart API continuous-futures proxy
2000-11-24,315,318.5,315,318.25,318.25,6803,KE=F,Yahoo chart API continuous-futures proxy
2000-11-27,319,319,313.5,315,315,8792,KE=F,Yahoo chart API continuous-futures proxy
2000-11-28,313,313.5,309,310.75,310.75,11954,KE=F,Yahoo chart API continuous-futures proxy
2000-11-29,310.5,310.75,306,306.25,306.25,3028,KE=F,Yahoo chart API continuous-futures proxy
2000-11-30,305.5,310.5,305,309,309,1983,KE=F,Yahoo chart API continuous-futures proxy
2000-12-01,309,312.25,308.25,312,312,851,KE=F,Yahoo chart API continuous-futures proxy
2000-12-04,311.75,313,310,313,313,1166,KE=F,Yahoo chart API continuous-futures proxy
2000-12-05,311.5,312,310.5,310.5,310.5,1031,KE=F,Yahoo chart API continuous-futures proxy
2000-12-06,310,311,309,310,310,337,KE=F,Yahoo chart API continuous-futures proxy
2000-12-07,313,313,307.5,308,308,408,KE=F,Yahoo chart API continuous-futures proxy
2000-12-08,306,307,302,307,307,132,KE=F,Yahoo chart API continuous-futures proxy
2000-12-11,307.5,307.5,304.75,304.75,304.75,20,KE=F,Yahoo chart API continuous-futures proxy
2000-12-12,305,307.25,302.5,302.5,302.5,46,KE=F,Yahoo chart API continuous-futures proxy
2000-12-13,302.5,305.25,302.5,304.25,304.25,3,KE=F,Yahoo chart API continuous-futures proxy
2000-12-14,301.75,302.5,299,299,299,2,KE=F,Yahoo chart API continuous-futures proxy
2000-12-15,301.5,301.5,298.5,298.5,298.5,0,KE=F,Yahoo chart API continuous-futures proxy
2000-12-18,301,301,301,301,301,0,KE=F,Yahoo chart API continuous-futures proxy
2000-12-19,309,309,309,309,309,4770,KE=F,Yahoo chart API continuous-futures proxy
2000-12-20,321.5,323.5,318.5,321.25,321.25,4599,KE=F,Yahoo chart API continuous-futures proxy
2000-12-21,320.75,324.5,319.25,324.5,324.5,4783,KE=F,Yahoo chart API continuous-futures proxy
2000-12-22,326,328,325,327.5,327.5,2376,KE=F,Yahoo chart API continuous-futures proxy
2000-12-25,,,,,,,KE=F,Yahoo chart API continuous-futures proxy
2000-12-26,327,327.5,325,326,326,2429,KE=F,Yahoo chart API continuous-futures proxy
2000-12-27,323.75,324,322.5,324,324,2753,KE=F,Yahoo chart API continuous-futures proxy
2000-12-28,325.75,325.75,322.5,323,323,3922,KE=F,Yahoo chart API continuous-futures proxy
2000-12-29,322,330,321.75,330,330,5071,KE=F,Yahoo chart API continuous-futures proxy
2001-01-01,,,,,,,KE=F,Yahoo chart API continuous-futures proxy
2001-01-02,329,329,325.25,325.5,325.5,5555,KE=F,Yahoo chart API continuous-futures proxy
2001-01-03,324.25,331,324.25,330.25,330.25,5068,KE=F,Yahoo chart API continuous-futures proxy
2001-01-04,330.25,332,329.25,331.5,331.5,5033,KE=F,Yahoo chart API continuous-futures proxy
2001-01-05,330.75,331.75,328.75,331.5,331.5,4142,KE=F,Yahoo chart API continuous-futures proxy
2001-01-08,330,330.5,327.25,330.25,330.25,5785,KE=F,Yahoo chart API continuous-futures proxy
2001-01-09,329.5,333.5,328.5,333,333,7832,KE=F,Yahoo chart API continuous-futures proxy
2001-01-10,333,336.5,333,336.25,336.25,10973,KE=F,Yahoo chart API continuous-futures proxy
2001-01-11,335,340,334,337.5,337.5,7217,KE=F,Yahoo chart API continuous-futures proxy
2001-01-12,336,338,335,337.5,337.5,5146,KE=F,Yahoo chart API continuous-futures proxy
2001-01-15,,,,,,,KE=F,Yahoo chart API continuous-futures proxy
2001-01-16,334,335.5,333,333.75,333.75,4670,KE=F,Yahoo chart API continuous-futures proxy
2001-01-17,332.5,333.25,330.5,330.5,330.5,4306,KE=F,Yahoo chart API continuous-futures proxy
2001-01-18,332.5,334,331.75,332,332,5032,KE=F,Yahoo chart API continuous-futures proxy
2001-01-19,332.75,335,330.5,332.5,332.5,3037,KE=F,Yahoo chart API continuous-futures proxy
2001-01-22,331.5,333.5,329,331.75,331.75,4445,KE=F,Yahoo chart API continuous-futures proxy
2001-01-23,331.5,334,329.5,332.5,332.5,4451,KE=F,Yahoo chart API continuous-futures proxy
2001-01-24,331.5,332.5,328.5,332.25,332.25,3218,KE=F,Yahoo chart API continuous-futures proxy
2001-01-25,332,332.75,328,328,328,5446,KE=F,Yahoo chart API continuous-futures proxy
2001-01-26,327,327,325,325,325,13983,KE=F,Yahoo chart API continuous-futures proxy
2001-01-29,320,322,313,315,315,8316,KE=F,Yahoo chart API continuous-futures proxy
2001-01-30,315,316.5,314,315,315,4637,KE=F,Yahoo chart API continuous-futures proxy
2001-01-31,314,318.5,313,318.25,318.25,4330,KE=F,Yahoo chart API continuous-futures proxy
2001-02-01,317,319.5,316,316.5,316.5,3703,KE=F,Yahoo chart API continuous-futures proxy
2001-02-02,315.75,318.5,315.5,318.5,318.5,3649,KE=F,Yahoo chart API continuous-futures proxy
2001-02-05,318,318.25,315,315.5,315.5,5127,KE=F,Yahoo chart API continuous-futures proxy
2001-02-06,314.75,316.5,312.5,313,313,7597,KE=F,Yahoo chart API continuous-futures proxy
2001-02-07,313.25,315,312.5,313.25,313.25,3992,KE=F,Yahoo chart API continuous-futures proxy
2001-02-08,312.5,316,312,312,312,4528,KE=F,Yahoo chart API continuous-futures proxy
2001-02-09,312.75,315,311.5,312,312,0,KE=F,Yahoo chart API continuous-futures proxy
2001-02-12,311.25,312,307.5,307.75,307.75,8400,KE=F,Yahoo chart API continuous-futures proxy
2001-02-13,306.5,309,306.25,308.75,308.75,5282,KE=F,Yahoo chart API continuous-futures proxy
2001-02-14,310.5,313.5,310,311.75,311.75,7575,KE=F,Yahoo chart API continuous-futures proxy
2001-02-15,313.5,313.75,309.5,311.75,311.75,3020,KE=F,Yahoo chart API continuous-futures proxy
2001-02-16,310.75,312.5,309.5,310,310,3610,KE=F,Yahoo chart API continuous-futures proxy
2001-02-19,,,,,,,KE=F,Yahoo chart API continuous-futures proxy
2001-02-20,311,312.5,310.5,311,311,3725,KE=F,Yahoo chart API continuous-futures proxy
2001-02-21,310.5,312.5,308,308.5,308.5,11293,KE=F,Yahoo chart API continuous-futures proxy
2001-02-22,310,311.5,307.75,308,308,7145,KE=F,Yahoo chart API continuous-futures proxy
2001-02-23,308,308.75,305.25,307,307,9505,KE=F,Yahoo chart API continuous-futures proxy
2001-02-26,307.5,308,304.5,305.5,305.5,10030,KE=F,Yahoo chart API continuous-futures proxy
2001-02-27,305.25,306.5,304.5,305,305,2678,KE=F,Yahoo chart API continuous-futures proxy
2001-02-28,305.5,313,305,311.25,311.25,1015,KE=F,Yahoo chart API continuous-futures proxy
2001-03-01,315.5,316.75,313,314,314,743,KE=F,Yahoo chart API continuous-futures proxy
2001-03-02,315,317.5,314.25,316,316,179,KE=F,Yahoo chart API continuous-futures proxy
2001-03-05,319.5,321,318.5,320,320,149,KE=F,Yahoo chart API continuous-futures proxy
2001-03-06,320.25,320.25,318.25,318.25,318.25,242,KE=F,Yahoo chart API continuous-futures proxy
2001-03-07,317,317,315.5,315.5,315.5,343,KE=F,Yahoo chart API continuous-futures proxy
2001-03-08,317.25,317.25,314.75,316.5,316.5,2,KE=F,Yahoo chart API continuous-futures proxy
2001-03-09,315.5,317,315.5,317,317,6,KE=F,Yahoo chart API continuous-futures proxy
2001-03-12,320.5,323.5,320.5,323.5,323.5,3,KE=F,Yahoo chart API continuous-futures proxy
2001-03-13,325.5,325.5,323,323,323,366,KE=F,Yahoo chart API continuous-futures proxy
2001-03-14,322,322.5,321,321,321,0,KE=F,Yahoo chart API continuous-futures proxy
2001-03-15,314,314,314,314,314,5,KE=F,Yahoo chart API continuous-futures proxy
2001-03-16,314,314,310.5,310.5,310.5,0,KE=F,Yahoo chart API continuous-futures proxy
2001-03-19,307.5,307.5,306,306,306,0,KE=F,Yahoo chart API continuous-futures proxy
2001-03-20,306.5,306.5,306.5,306.5,306.5,0,KE=F,Yahoo chart API continuous-futures proxy
2001-03-21,304,304,304,304,304,2355,KE=F,Yahoo chart API continuous-futures proxy
2001-03-22,307,307.5,303.5,303.75,303.75,2293,KE=F,Yahoo chart API continuous-futures proxy
2001-03-23,305.5,307.25,305,306.75,306.75,2521,KE=F,Yahoo chart API continuous-futures proxy
2001-03-26,309.25,312,309,311,311,2189,KE=F,Yahoo chart API continuous-futures proxy
2001-03-27,312.5,313,310,311.75,311.75,2372,KE=F,Yahoo chart API continuous-futures proxy
2001-03-28,311.25,311.75,308.5,309,309,1789,KE=F,Yahoo chart API continuous-futures proxy
2001-03-29,309.25,311,308.75,309.25,309.25,4459,KE=F,Yahoo chart API continuous-futures proxy
2001-03-30,311,314,301,301.25,301.25,2668,KE=F,Yahoo chart API continuous-futures proxy
2001-04-02,303.75,306.25,302.5,304.75,304.75,3961,KE=F,Yahoo chart API continuous-futures proxy
2001-04-03,305.25,310,301.5,309,309,2718,KE=F,Yahoo chart API continuous-futures proxy
2001-04-04,309.25,311.25,307.5,310.5,310.5,2907,KE=F,Yahoo chart API continuous-futures proxy
2001-04-05,311.25,312,307,309.25,309.25,2261,KE=F,Yahoo chart API continuous-futures proxy
2001-04-06,310,310.5,307.25,309,309,3040,KE=F,Yahoo chart API continuous-futures proxy
2001-04-09,309.5,310,305,306.25,306.25,4097,KE=F,Yahoo chart API continuous-futures proxy
2001-04-10,307,307.25,302.25,302.75,302.75,2513,KE=F,Yahoo chart API continuous-futures proxy
2001-04-11,303,307.5,303,307,307,4151,KE=F,Yahoo chart API continuous-futures proxy
2001-04-12,309.5,317,309,313.25,313.25,4649,KE=F,Yahoo chart API continuous-futures proxy
2001-04-13,,,,,,,KE=F,Yahoo chart API continuous-futures proxy
2001-04-16,320,321,318,319,319,3651,KE=F,Yahoo chart API continuous-futures proxy
2001-04-17,317,318.5,315.5,316.5,316.5,3444,KE=F,Yahoo chart API continuous-futures proxy
2001-04-18,315,320.25,314.75,318.75,318.75,2286,KE=F,Yahoo chart API continuous-futures proxy
