date,open,high,low,close,adjustedClose,volume,symbol,source
2000-01-03,117.25,117.5,116.75,116.75,116.75,2,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-04,117,117,117,117,117,12,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-05,117.25,117.5,116.75,116.75,116.75,6,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-06,117.25,117.5,116.75,117,117,6,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-07,117.25,117.5,116.75,117.25,117.25,6,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-10,118,118,118,118,118,10,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-11,118,118.25,116.75,117,117,12,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-12,118.5,118.5,118.5,119,119,12,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-13,117.5,120.5,117.5,120.5,120.5,41,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-14,120.25,120.25,120,120,120,16,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-17,,,,,,,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-18,119.75,120.25,119.75,120.25,120.25,52,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-19,121.5,122,121,122,122,7,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-20,122.5,122.75,122,122,122,67,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-21,121.75,121.75,121,121,121,13,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-24,122,122,121.5,121.5,121.5,7,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-25,122,122.5,122,122.5,122.5,11,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-26,122,122.5,122,121.25,121.25,66,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-27,120.5,122,120.5,121.5,121.5,63,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-28,121.75,121.75,120.75,121.25,121.25,49,ZO=F,Yahoo chart API continuous-futures proxy
2000-01-31,120,120,120,120,120,1,ZO=F,Yahoo chart API continuous-futures proxy
2000-02-01,120,120,118.5,119.25,119.25,14,ZO=F,Yahoo chart API continuous-futures proxy
2000-02-02,118.75,118.75,118.75,118.75,118.75,1,ZO=F,Yahoo chart API continuous-futures proxy
2000-02-03,118,118,118,118,118,10,ZO=F,Yahoo chart API continuous-futures proxy
