date,open,high,low,close,adjustedClose,volume,symbol,source
2000-09-15,491,493.75,490,493.75,493.75,445,ZS=F,Yahoo chart API continuous-futures proxy
2000-09-18,483.25,486,482.5,484,484,382,ZS=F,Yahoo chart API continuous-futures proxy
2000-09-19,485,485.5,483.5,484.25,484.25,325,ZS=F,Yahoo chart API continuous-futures proxy
2000-09-20,483.5,484.25,483.25,483.25,483.25,321,ZS=F,Yahoo chart API continuous-futures proxy
2000-09-21,486.75,488,486,486.5,486.5,330,ZS=F,Yahoo chart API continuous-futures proxy
2000-09-22,490,491.5,489.5,491,491,293,ZS=F,Yahoo chart API continuous-futures proxy
2000-09-25,495.75,496.5,494,496.5,496.5,178,ZS=F,Yahoo chart API continuous-futures proxy
2000-09-26,494.5,496.5,494.5,496.5,496.5,208,ZS=F,Yahoo chart API continuous-futures proxy
2000-09-27,493.25,494.5,492.5,492.5,492.5,328,ZS=F,Yahoo chart API continuous-futures proxy
2000-09-28,495.25,497,495.25,497,497,379,ZS=F,Yahoo chart API continuous-futures proxy
2000-09-29,498,499,497.5,499,499,799,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-02,488.25,488.75,486,488.5,488.5,258,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-03,489.25,489.25,487.75,488.5,488.5,435,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-04,488.25,489,487,489,489,233,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-05,485.5,485.75,485.25,485.75,485.75,266,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-06,484,486,484,486,486,231,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-09,484,484.5,483.25,484.5,484.5,187,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-10,482.75,483,482.5,483,483,311,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-11,485,485.5,485,485,485,1017,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-12,477.75,479.5,476,478,478,422,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-13,473.75,474.5,473,473.25,473.25,372,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-16,465.25,466,465,465,465,509,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-17,465,467.75,464.75,467.75,467.75,167,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-18,467.75,468,467,468,468,302,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-19,468,468,467.25,468,468,309,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-20,472,474.25,472,473.25,473.25,136,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-23,468,468.5,467.5,468.5,468.5,142,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-24,462.5,464,462.5,463.5,463.5,178,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-25,467.75,468.5,467,467.25,467.25,123,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-26,467,468.25,467,467,467,94,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-27,461,462,461,461,461,141,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-30,456.5,458,456.5,457.75,457.75,228,ZS=F,Yahoo chart API continuous-futures proxy
2000-10-31,455.75,456,454.75,455.25,455.25,10948,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-01,459.5,466.25,459,462.75,462.75,124,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-02,464.5,469.25,464.5,468.25,468.25,21,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-03,473,474,472.75,473.5,473.5,9,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-06,474.25,475,474.25,475,475,4,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-07,474,474,473.25,473.5,473.5,6,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-08,474.75,475.5,474.75,475.5,475.5,1,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-09,474,474.5,474,474,474,1,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-10,474,474,474,467.25,467.25,2,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-13,462.5,462.75,462.25,462.5,462.5,14,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-14,467.5,467.5,467.25,472,472,319,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-15,479,480,478.5,478.5,478.5,256,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-16,481,481.5,480,481,481,57,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-17,477,479,477,479,479,300,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-20,486.25,490.75,486.25,490.75,490.75,382,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-21,493,493,491.25,491.25,491.25,232,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-22,489,489.5,488.5,491,491,501,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-24,492,495.25,492,495.25,495.25,354,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-27,500.5,508,500.25,507.5,507.5,195,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-28,497,497.25,496,497,497,795,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-29,500.5,505.5,498.75,505.5,505.5,303,ZS=F,Yahoo chart API continuous-futures proxy
2000-11-30,499.25,503.75,499.25,502,502,386,ZS=F,Yahoo chart API continuous-futures proxy
