windowSet,eventId,windowId,windowStartDate,windowEndDate,eventStartDate,eventEndDate,eventPeakDate,minWeightedAnomalyF,maxCoveragePct,qualifyingDays,symbol,priorTradeDate,firstTradeDate,lastTradeDate,tradingDays,priorClose,firstClose,lastClose,returnPctPrevCloseToEnd,returnPctFirstCloseToEnd,tradeQuestion
heating-season-events,actual-heating-cold-1,rumor,2021-02-07,2021-02-10,2021-02-17,2021-02-17,2021-02-17,-12.39,0.566,1,UNG,2021-02-05,2021-02-08,2021-02-10,3,42.119999,42.360001,43.400002,3.039,2.455,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-1,rumor,2021-02-07,2021-02-10,2021-02-17,2021-02-17,2021-02-17,-12.39,0.566,1,NG=F,2021-02-05,2021-02-08,2021-02-10,3,2.863,2.882,2.911,1.677,1.006,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-1,selloff,2021-02-14,2021-02-16,2021-02-17,2021-02-17,2021-02-17,-12.39,0.566,1,UNG,2021-02-12,2021-02-16,2021-02-16,1,42.68,44.400002,44.400002,4.03,0,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-1,selloff,2021-02-14,2021-02-16,2021-02-17,2021-02-17,2021-02-17,-12.39,0.566,1,NG=F,2021-02-12,2021-02-16,2021-02-16,1,2.912,3.129,3.129,7.452,0,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-1,event,2021-02-17,2021-02-17,2021-02-17,2021-02-17,2021-02-17,-12.39,0.566,1,UNG,2021-02-16,2021-02-17,2021-02-17,1,44.400002,45.200001,45.200001,1.802,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-1,event,2021-02-17,2021-02-17,2021-02-17,2021-02-17,2021-02-17,-12.39,0.566,1,NG=F,2021-02-16,2021-02-17,2021-02-17,1,3.129,3.219,3.219,2.876,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-2,rumor,2021-02-09,2021-02-12,2021-02-19,2021-02-20,2021-02-20,-12.86,0.84,2,UNG,2021-02-08,2021-02-09,2021-02-12,4,42.360001,41.240002,42.68,0.755,3.492,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-2,rumor,2021-02-09,2021-02-12,2021-02-19,2021-02-20,2021-02-20,-12.86,0.84,2,NG=F,2021-02-08,2021-02-09,2021-02-12,4,2.882,2.835,2.912,1.041,2.716,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-2,selloff,2021-02-16,2021-02-18,2021-02-19,2021-02-20,2021-02-20,-12.86,0.84,2,UNG,2021-02-12,2021-02-16,2021-02-18,3,42.68,44.400002,43.959999,2.999,-0.991,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-2,selloff,2021-02-16,2021-02-18,2021-02-19,2021-02-20,2021-02-20,-12.86,0.84,2,NG=F,2021-02-12,2021-02-16,2021-02-18,3,2.912,3.129,3.082,5.838,-1.502,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
