cropId,crop,symbol,priority,candidateId,archetype,lookbackDays,thresholdZ,holdSessions,eligible,selectionRank,trainAlphaPct,trainSharpe,trainTrades,validationAlphaPct,validationSharpe,validationTrades,holdoutAlphaPct,holdoutCagrPct,holdoutSharpe,holdoutMaxDrawdownPct,holdoutTrades,holdoutPValue
soybeans,Soybeans,ZS=F,core,raw-dry-long-wet-short-lb60-z0_5-h3,raw-dry-long-wet-short,60,0.5,3,true,1.5963,8.62,0.49,33,8.37,0.93,21,-3.32,-4.53,-0.2,-43.23,21,0.6664
soybeans,Soybeans,ZS=F,core,raw-dry-long-wet-short-lb60-z1-h3,raw-dry-long-wet-short,60,1,3,true,1.4998,6.92,0.53,24,5.17,0.81,9,3.61,3.06,0.33,-27.56,18,0.4806
soybeans,Soybeans,ZS=F,core,raw-dry-long-wet-short-lb7-z0_5-h5,raw-dry-long-wet-short,7,0.5,5,true,1.475,12.25,0.68,94,8.46,0.74,53,7.71,6.61,0.48,-41.19,49,0.3093
soybeans,Soybeans,ZS=F,core,dry-long-lb14-z0_5-h5,dry-long,14,0.5,5,true,1.4448,2.37,0.08,44,6.79,0.89,16,-0.55,-1.7,-0.04,-40.69,26,0.9394
soybeans,Soybeans,ZS=F,core,raw-dry-long-wet-short-lb60-z0_5-h20,raw-dry-long-wet-short,60,0.5,20,true,1.4343,5.07,0.23,27,9.13,0.84,13,-9.76,-10.76,-0.54,-53.95,16,0.2557
soybeans,Soybeans,ZS=F,core,raw-dry-long-wet-short-lb60-z0_5-h5,raw-dry-long-wet-short,60,0.5,5,true,1.43,8.07,0.45,32,7.48,0.8,19,-5.78,-6.9,-0.35,-45.94,20,0.4603
soybeans,Soybeans,ZS=F,core,dry-long-lb14-z0_5-h3,dry-long,14,0.5,3,true,1.4213,3.35,0.16,47,6.79,0.91,22,5.41,4.68,0.42,-34.2,30,0.3711
soybeans,Soybeans,ZS=F,core,adverse-long-lb14-z1-h20,adverse-long,14,1,20,false,1.3968,-6.34,-0.44,23,10.71,1.14,9,0.14,-1.25,0.01,-44.05,12,0.9847
soybeans,Soybeans,ZS=F,core,adverse-long-relief-short-lb14-z1-h20,adverse-long-relief-short,14,1,20,false,1.3968,-6.34,-0.44,23,10.71,1.14,9,0.14,-1.25,0.01,-44.05,12,0.9847
soybeans,Soybeans,ZS=F,core,raw-dry-long-wet-short-lb30-z1-h3,raw-dry-long-wet-short,30,1,3,true,1.3745,6.54,0.49,38,5.44,0.71,20,-4.24,-4.53,-0.47,-30.56,25,0.3228
