rank,cropId,crop,symbol,priority,promotion,selectedCandidate,archetype,lookbackDays,thresholdZ,holdSessions,selectedWithoutHoldout,validationAlphaPct,validationSharpe,holdoutAlphaPct,holdoutCagrPct,holdoutSharpe,holdoutMaxDrawdownPct,holdoutTradeCount,holdoutPositiveYears,holdoutPValue,holdoutQValue
1,cocoa,Cocoa,CC=F,secondary,B - paper/watchlist,dry-long-lb7-z0_5-h3,dry-long,7,0.5,3,true,12.29,1.07,4.58,12.84,0.54,-41.49,46,4/5,0.2521,0.5854
2,corn,Corn,ZC=F,core,C - screen flag only,adverse-fade-lb14-z1_5-h5,adverse-fade,14,1.5,5,true,6.55,0.91,3.01,3.03,0.57,-5.46,11,3/5,0.2246,0.5854
3,orange-juice,Frozen Concentrated Orange Juice,OJ=F,diagnostic,Reject,adverse-fade-lb14-z1_5-h5,adverse-fade,14,1.5,5,true,8.52,0.7,-1.65,-5.49,-0.17,-49.98,16,2/5,0.7113,0.7824
4,rice,Rough Rice,ZR=F,exploratory,Reject,adverse-long-relief-short-lb7-z0_5-h3,adverse-long-relief-short,7,0.5,3,true,20.57,1.12,-3.3,-4.83,-0.12,-43.92,78,3/5,0.8058,0.8058
5,soybeans,Soybeans,ZS=F,core,Reject,raw-dry-long-wet-short-lb60-z0_5-h3,raw-dry-long-wet-short,60,0.5,3,true,8.37,0.93,-3.32,-4.53,-0.2,-43.23,21,3/5,0.6664,0.7824
6,chicago-wheat,Chicago SRW Wheat,ZW=F,core,Reject,raw-dry-long-wet-short-lb14-z1-h5,raw-dry-long-wet-short,14,1,5,true,12.39,0.84,-4.21,-6.91,-0.22,-45.06,23,2/5,0.6362,0.7824
7,kansas-wheat,Kansas HRW Wheat,KE=F,core,Reject,wet-long-lb30-z0_5-h20,wet-long,30,0.5,20,true,4.23,0.62,-4.54,-4.94,-0.25,-34.74,5,2/5,0.6017,0.7824
8,sugar,Sugar No. 11,SB=F,secondary,Reject,raw-dry-long-wet-short-lb14-z1_5-h5,raw-dry-long-wet-short,14,1.5,5,true,9.69,1.07,-5,-5.61,-0.48,-23.36,12,1/5,0.306,0.5854
9,coffee,Arabica Coffee,KC=F,secondary,Reject,dry-long-lb14-z1_5-h10,dry-long,14,1.5,10,true,4.04,0.59,-5.47,-4.78,-0.47,-28.93,5,2/5,0.3193,0.5854
10,cotton,Cotton,CT=F,core,Reject,raw-dry-long-wet-short-lb14-z1_5-h20,raw-dry-long-wet-short,14,1.5,20,true,19,1.04,-6.84,-7.01,-0.57,-30.81,8,1/5,0.2263,0.5854
11,oats,Oats,ZO=F,exploratory,Reject,adverse-long-lb7-z1-h5,adverse-long,7,1,5,true,7.41,0.99,-10.7,-13,-0.64,-56.1,13,1/5,0.1747,0.5854
