cropId,testYear,trainStartYear,trainEndYear,selectedCandidates,selectedDirectionHashes,objectives,totalReturnPct,benchmarkReturnPct,edgePct,relativeReturnPct,excessInformationRatio,cagrPct,regressionAlphaPct,sharpe,maxDrawdownPct,entries,positionChanges,annualEntries,exposurePct,turnover,startDate,endDate
soybeans,2010,2000,2009,,,,16.09,16.09,0,0,0,16.3,0,0.92,-15.67,0,0,0,0,0,2010-01-04,2010-12-31
soybeans,2011,2001,2010,,,,2.26,2.26,0,0,0,2.28,0,0.21,-17.51,0,0,0,0,0,2011-01-03,2011-12-30
soybeans,2012,2002,2011,,,,16.45,16.45,0,0,0,16.56,0,1.24,-10.01,0,0,0,0,0,2012-01-03,2012-12-31
soybeans,2013,2003,2012,,,,33.19,33.19,0,0,0,33.43,0,2.64,-5.6,0,0,0,0,0,2013-01-02,2013-12-31
soybeans,2014,2004,2013,drought-long-rglobal-lb7-p0_5-c3|hot-dry-long-rbrazil-lb3-p0_5-t0_25-c0,87c8d334b35a1ba15f490822ac4200167cf9db2f9c83b23aa069448815ab137c|419b93ebe008e278cebca5a4cd7a09274b1d53d4eadbc471b7fbb10ea5adc82a,nested-robust-relative-edge|nested-diversifier,15.07,14.61,0.45,0.39,0.13,15.17,0.16,1.19,-7.51,8,35,8,9.8,6.47,2014-01-02,2014-12-31
soybeans,2015,2005,2014,hot-dry-long-rbrazil-lb3-p0_5-t0_25-c0|drought-long-rglobal-lb5-p0_5-c1,419b93ebe008e278cebca5a4cd7a09274b1d53d4eadbc471b7fbb10ea5adc82a|3f299deff91ebeac08a7ead79faf3bc83bf5fc9aa4fb3681d44edf9d78a7a9f2,nested-robust-relative-edge|nested-diversifier,0.24,2.85,-2.61,-2.54,-0.75,0.24,-2.54,0.1,-12.36,16,48,16.1,11,8.75,2015-01-02,2015-12-31
soybeans,2016,2006,2015,hot-dry-long-rbrazil-lb3-p0_5-t0_25-c0,419b93ebe008e278cebca5a4cd7a09274b1d53d4eadbc471b7fbb10ea5adc82a,nested-robust-relative-edge,10.75,11.04,-0.3,-0.27,-0.1,10.88,-0.45,0.81,-11.28,9,18,9.1,5.9,6.3,2016-01-04,2016-12-30
soybeans,2017,2007,2016,hot-dry-long-rglobal-lb3-p0_25-t0_5-c0|cool-wet-short-rglobal-lb3-p0_25-t0_25-c1,8ab28b1e8432f1fa8ec3341a92ae1b6e0ea107d766d8a2b2c4327e5186d042cc|b908b8cc6fec5443d92a4bb90175d3b08f0bdd771b1358d64abd71327e1b37a7,nested-robust-relative-edge|nested-diversifier,25.5,23.86,1.64,1.32,0.74,25.92,1.53,3.16,-2.62,28,51,28.4,6.3,9.8,2017-01-03,2017-12-29
soybeans,2018,2008,2017,cool-wet-short-rglobal-lb3-p0_25-t0_5-c0|warm-wet-short-rglobal-lb3-p0_25-t0_25-c1,ad2399858ec1107724dd23b4729f3fb3f8e73e293a311461bd19e4c5cea9fa09|9678a5dee889c25b90979855eb08bea09c10bd1249f98e0d2a15cede00f47253,nested-robust-relative-edge|nested-diversifier,-4.66,-3.64,-1.03,-1.07,-0.59,-4.69,-1.1,-0.18,-20.44,17,37,17.1,5,7,2018-01-02,2018-12-31
soybeans,2019,2009,2018,cool-wet-short-rglobal-lb3-p0_25-t0_5-c0|hot-dry-long-rglobal-lb3-p0_75-t0_5-c0,ad2399858ec1107724dd23b4729f3fb3f8e73e293a311461bd19e4c5cea9fa09|08946498754a9768d198574c94b801b8116d5c3a670c1017e3d1e3d09782be60,nested-robust-relative-edge|nested-diversifier,32.13,32.77,-0.65,-0.49,-0.59,32.36,-0.66,2.17,-7.5,12,24,12.1,3.3,4.2,2019-01-02,2019-12-31
soybeans,2020,2010,2019,,,,24.01,24.01,0,0,0,24.1,0,0.81,-32.58,0,0,0,0,0,2020-01-02,2020-12-31
