cropId,crop,symbol,priority,candidateId,archetype,lookbackDays,thresholdZ,holdSessions,cropAllocation,eligible,selectionRank,trainAlphaPct,trainSharpe,trainTrades,validationAlphaPct,validationSharpe,validationTrades
soybeans,Soybeans,ZS=F,core,raw-dry-long-wet-short-lb7-z1_5-h20-a0_5,raw-dry-long-wet-short,7,1.5,20,0.5,false,163.123,-0.97,0.62,6,10.57,1.94,2
soybeans,Soybeans,ZS=F,core,raw-dry-long-wet-short-lb7-z1_5-h20-a0_35,raw-dry-long-wet-short,7,1.5,20,0.35,false,145.1525,-0.68,0.66,6,7.4,1.76,2
soybeans,Soybeans,ZS=F,core,adverse-fade-lb7-z1-h3-a0_5,adverse-fade,7,1,3,0.5,false,141.4595,-3.39,0.45,34,7.16,1.66,22
soybeans,Soybeans,ZS=F,core,adverse-long-lb7-z1_5-h20-a0_5,adverse-long,7,1.5,20,0.5,false,135.567,2.83,0.82,9,6.5,1.65,3
soybeans,Soybeans,ZS=F,core,adverse-long-relief-short-lb7-z1_5-h20-a0_5,adverse-long-relief-short,7,1.5,20,0.5,false,135.567,2.83,0.82,9,6.5,1.65,3
soybeans,Soybeans,ZS=F,core,raw-dry-long-wet-short-lb7-z1_5-h20-a0_25,raw-dry-long-wet-short,7,1.5,20,0.25,false,133.072,-0.48,0.68,6,5.29,1.63,2
soybeans,Soybeans,ZS=F,core,raw-dry-long-wet-short-lb7-z1_5-h10-a0_5,raw-dry-long-wet-short,7,1.5,10,0.5,false,131.998,-2.12,0.57,7,4.4,1.53,2
soybeans,Soybeans,ZS=F,core,adverse-fade-lb7-z1-h3-a0_35,adverse-fade,7,1,3,0.35,false,129.938,-2.37,0.54,34,5.01,1.57,22
soybeans,Soybeans,ZS=F,core,adverse-fade-lb7-z1_5-h20-a0_5,adverse-fade,7,1.5,20,0.5,false,128.6195,-10.56,0.05,9,11.03,1.97,3
soybeans,Soybeans,ZS=F,core,adverse-fade-lb60-z1_5-h3-a0_5,adverse-fade,60,1.5,3,0.5,false,128.1035,-5.94,0.34,5,5.79,1.6,3
soybeans,Soybeans,ZS=F,core,adverse-fade-lb7-z1_5-h10-a0_5,adverse-fade,7,1.5,10,0.5,false,126.8805,-6.91,0.29,11,5.87,1.61,3
