rank,cropId,crop,symbol,priority,promotion,selectedCandidate,archetype,lookbackDays,thresholdZ,holdSessions,cropAllocation,selectedWithoutWalkForward,validationAlphaPct,validationSharpe,holdoutAlphaPct,holdoutTotalReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutCagrPct,holdoutSharpe,holdoutMaxDrawdownPct,holdoutTradeCount,holdoutPositiveYears,holdoutPValue,holdoutQValue
1,oats,Oats,ZO=F,exploratory,Reject,raw-dry-long-wet-short-lb30-z0_35-h10-a0_5,raw-dry-long-wet-short,30,0.35,10,0.5,true,13.29,1.83,-63.92,-21.57,10.88,-32.45,-38.92,-2.05,-28.72,2,0/1,0.1517,0.9116
2,cocoa,Cocoa,CC=F,secondary,Reject,dry-long-lb7-z0_35-h3-a0_5,dry-long,7,0.35,3,0.5,true,19.81,1.37,-5.18,7.81,10.88,-3.07,16.49,0.73,-19.32,8,1/1,0.6106,0.9116
3,orange-juice,Frozen Concentrated Orange Juice,OJ=F,diagnostic,Reject,wet-long-lb14-z0_5-h10-a0_5,wet-long,14,0.5,10,0.5,true,14.72,1.74,-25.44,-3.1,10.88,-13.99,-6.2,-0.17,-12.23,3,0/1,0.9052,0.9116
4,coffee,Arabica Coffee,KC=F,secondary,C - screen flag only,raw-dry-long-wet-short-lb60-z1-h20-a0_5,raw-dry-long-wet-short,60,1,20,0.5,true,22.78,1.84,6.56,12.17,10.88,1.29,26.24,1.07,-14.82,1,1/1,0.454,0.9116
5,corn,Corn,ZC=F,core,Reject,adverse-fade-lb7-z0_75-h5-a0_5,adverse-fade,7,0.75,5,0.5,true,10.51,1.78,-19.93,-1.77,10.05,-11.82,-3.55,-0.16,-10.53,5,0/1,0.9116,0.9116
6,cotton,Cotton,CT=F,core,Reject,raw-dry-long-wet-short-lb7-z1_5-h3-a0_5,raw-dry-long-wet-short,7,1.5,3,0.5,true,7.48,1.68,-0.05,10.77,10.88,-0.11,23.07,1.43,-9.26,1,1/1,0.3174,0.9116
7,chicago-wheat,Chicago SRW Wheat,ZW=F,core,Reject,adverse-fade-lb14-z0_75-h3-a0_5,adverse-fade,14,0.75,3,0.5,true,8.7,1.67,-11.98,2.16,10.88,-8.72,4.44,0.34,-9.75,6,1/1,0.81,0.9116
8,rice,Rough Rice,ZR=F,exploratory,Reject,adverse-fade-lb60-z0_35-h5-a0_5,adverse-fade,60,0.35,5,0.5,true,10.84,1.48,-7.91,5.34,10.88,-5.54,11.13,0.76,-9.46,1,1/1,0.596,0.9116
9,sugar,Sugar No. 11,SB=F,secondary,C - screen flag only,adverse-fade-lb14-z0_75-h3-a0_35,adverse-fade,14,0.75,3,0.35,true,6.86,1.6,0.4,9.4,10.88,-1.49,19.99,1.3,-8.48,3,1/1,0.3634,0.9116
10,kansas-wheat,Kansas HRW Wheat,KE=F,core,Reject,adverse-fade-lb14-z0_5-h3-a0_5,adverse-fade,14,0.5,3,0.5,true,7.23,1.49,-18.3,-2.05,10.88,-12.93,-4.11,-0.17,-10.86,1,0/1,0.9053,0.9116
11,soybeans,Soybeans,ZS=F,core,C - screen flag only,wet-long-lb30-z0_75-h3-a0_5,wet-long,30,0.75,3,0.5,true,1.17,1.33,6.08,12.92,10.05,2.88,27.8,1.67,-9.46,1,1/1,0.2426,0.9116
