candidateId,eligible,trainValidationRank,architectureId,sourceSetId,sourceWeightMode,sizingMode,anomalyThreshold,coverageThreshold,minConfidence,weatherFraction,reversionFraction,followHoldDays,reversionHoldDays,minRealizedMovePct,volTargetPct,signals,scheduledEvents,executedRows,weatherFollowRows,reversionRows,coldLongRows,warmShortRows,reversionLongRows,reversionShortRows,trainValidationColdLongReturnPct,trainValidationWarmShortReturnPct,trainValidationFollowReturnPct,trainValidationReversionLongReturnPct,trainValidationReversionShortReturnPct,trainValidationReversionReturnPct,holdoutFollowReturnPct,holdoutReversionReturnPct,overlayDays,fallbackDays,trainReturnPct,trainIndexReturnPct,trainEdgePct,trainSharpe,trainMaxDrawdownPct,profitableTrainYears,trainYearCount,validationReturnPct,validationIndexReturnPct,validationEdgePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allIndexReturnPct,allEdgePct,allSharpe,allMaxDrawdownPct
dual-ncep-complex-bg-shrink-a5-c0.5-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-vol0-fixed,true,106.7047,dual-weather-follow-and-fade,ncep-complex,bg-shrink,fixed,5,0.5,0.5,0.25,0.2,3,2,2,0,462,837,494,353,141,55,298,71,70,17.89,29.2,52.31,10.41,-1.95,8.25,-0.06,-11.11,494,868,53.06,33.7,19.36,0.78,-31.42,3,4,47.32,29.08,18.24,1.4,-12.22,2.01,10.94,-8.93,0.27,-13.97,130.02,91.47,38.55,0.9,-31.42
dual-ncep-complex-bg-shrink-a5-c0.5-q0.35-wf0.25-rf0.2-fh3-rh2-mv2-vol0-fixed,true,104.2666,dual-weather-follow-and-fade,ncep-complex,bg-shrink,fixed,5,0.5,0.35,0.25,0.2,3,2,2,0,475,858,497,354,143,55,299,71,72,17.89,27.89,50.77,10.41,-2.18,8,-0.06,-11.11,497,865,50.83,33.7,17.13,0.76,-32.42,3,4,47.32,29.08,18.24,1.4,-12.22,2.01,10.94,-8.93,0.27,-13.97,126.66,91.47,35.19,0.88,-32.42
dual-ncep-complex-bg-shrink-a5-c0.5-q0.5-wf0.15-rf0.2-fh3-rh2-mv2-vol0-fixed,true,103.8197,dual-weather-follow-and-fade,ncep-complex,bg-shrink,fixed,5,0.5,0.5,0.15,0.2,3,2,2,0,462,837,494,353,141,55,298,71,70,15.13,26.05,45.12,10.48,-1.94,8.33,0.36,-11.09,494,868,42.81,33.7,9.11,0.69,-28.11,3,4,50.55,29.08,21.47,1.51,-12.46,2.45,10.94,-8.49,0.32,-13.55,120.28,91.47,28.81,0.89,-28.11
dual-ncep-complex-bg-shrink-a5-c0.35-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-vol0-fixed,true,102.6572,dual-weather-follow-and-fade,ncep-complex,bg-shrink,fixed,5,0.35,0.5,0.25,0.2,3,2,2,0,570,1034,532,385,147,64,321,72,75,5.81,30.72,38.32,7.11,1.61,8.83,-0.96,-11.11,532,830,43.17,33.7,9.47,0.67,-33.02,3,4,50.4,29.08,21.32,1.47,-12.22,1.08,10.94,-9.86,0.19,-14.75,117.67,91.47,26.2,0.84,-33.02
dual-ncep-complex-bg-shrink-a5-c0.5-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-vol0-confidence-scaled,true,101.5082,dual-weather-follow-and-fade,ncep-complex,bg-shrink,confidence-scaled,5,0.5,0.5,0.25,0.2,3,2,2,0,462,837,494,353,141,55,298,71,70,16.16,27.64,48.26,11.04,-2.99,7.72,0.11,-11.13,494,868,48.84,33.7,15.14,0.75,-31.25,3,4,46.76,29.08,17.68,1.39,-12.22,2.16,10.94,-8.78,0.28,-13.84,123.15,91.47,31.68,0.88,-31.25
dual-ncep-complex-bg-shrink-a5-c0.5-q0.35-wf0.15-rf0.2-fh3-rh2-mv2-vol0-fixed,true,101.1931,dual-weather-follow-and-fade,ncep-complex,bg-shrink,fixed,5,0.5,0.35,0.15,0.2,3,2,2,0,475,858,497,354,143,55,299,71,72,15.13,24.54,43.38,10.48,-2.17,8.08,0.36,-11.09,497,865,40.47,33.7,6.77,0.67,-29.28,3,4,50.55,29.08,21.47,1.51,-12.46,2.45,10.94,-8.49,0.32,-13.55,116.67,91.47,25.2,0.88,-29.28
dual-ncep-complex-bg-shrink-a5-c0.35-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-vol0-confidence-scaled,true,101.0757,dual-weather-follow-and-fade,ncep-complex,bg-shrink,confidence-scaled,5,0.35,0.5,0.25,0.2,3,2,2,0,570,1034,532,385,147,64,321,72,75,4.48,32.01,37.92,7.95,0.22,8.18,-0.71,-11.11,532,830,42.31,33.7,8.61,0.67,-32.51,3,4,50,29.08,20.92,1.47,-12.22,1.34,10.94,-9.6,0.21,-14.53,116.32,91.47,24.85,0.84,-32.51
dual-ncep-complex-bg-shrink-a5-c0.5-q0.35-wf0.25-rf0.2-fh3-rh2-mv2-vol0-confidence-scaled,true,100.8966,dual-weather-follow-and-fade,ncep-complex,bg-shrink,confidence-scaled,5,0.5,0.35,0.25,0.2,3,2,2,0,475,858,497,354,143,55,299,71,72,16.16,25.99,46.35,11.04,-2.07,8.73,0.11,-11.13,497,865,48,33.7,14.3,0.74,-31.64,3,4,46.76,29.08,17.68,1.39,-12.22,2.16,10.94,-8.78,0.28,-13.84,121.88,91.47,30.41,0.87,-31.64
dual-ncep-complex-bg-shrink-a5-c0.5-q0.5-wf0.15-rf0.2-fh3-rh2-mv2-vol0-confidence-scaled,true,100.2297,dual-weather-follow-and-fade,ncep-complex,bg-shrink,confidence-scaled,5,0.5,0.5,0.15,0.2,3,2,2,0,462,837,494,353,141,55,298,71,70,14.1,25.07,42.7,11.1,-2.97,7.8,0.46,-11.11,494,868,40.21,33.7,6.51,0.67,-28.12,3,4,50.06,29.08,20.98,1.5,-12.46,2.53,10.94,-8.41,0.33,-13.53,115.72,91.47,24.25,0.88,-28.12
dual-ncep-complex-bg-shrink-a5-c0.35-q0.35-wf0.25-rf0.2-fh3-rh2-mv2-vol0-confidence-scaled,true,99.8118,dual-weather-follow-and-fade,ncep-complex,bg-shrink,confidence-scaled,5,0.35,0.35,0.25,0.2,3,2,2,0,590,1072,540,388,152,65,323,73,79,5.2,33.29,40.22,8.54,2.48,11.23,-0.71,-11.11,540,822,40.44,33.7,6.74,0.65,-33.07,3,4,50,29.08,20.92,1.47,-12.22,1.34,10.94,-9.6,0.21,-14.53,113.48,91.47,22.01,0.83,-33.07
