leg,issueDate,targetDate,entryTradeDate,exitTradeDate,direction,sourceId,thesisKind,leadDays,weightedAnomalyF,coveragePct,extremeCount,confidence,realizedMovePct
weather-follow,2021-01-07,2021-01-15,2021-01-08,2021-01-08,short,ncep-complex,warm-short,8,7.196,0.7044,5,0.8855,
weather-follow,2021-01-08,2021-01-15,2021-01-11,2021-01-11,short,ncep-complex,warm-short,7,5.955,0.8491,6,0.9087,
weather-follow,2021-01-08,2021-01-15,2021-01-12,2021-01-12,short,ncep-complex,warm-short,7,5.955,0.8491,6,0.9087,
weather-follow,2021-01-08,2021-01-15,2021-01-13,2021-01-13,short,ncep-complex,warm-short,7,5.955,0.8491,6,0.9087,
weather-reversion,2021-01-07,2021-01-15,2021-01-14,2021-01-14,short,ncep-complex,reversion-short,8,7.196,0.7044,5,0.8855,2.268
weather-follow,2021-01-14,2021-01-22,2021-01-15,2021-01-15,short,ncep-complex,warm-short,8,6.451,0.6635,6,0.5514,
weather-follow,2021-01-15,2021-01-22,2021-01-19,2021-01-19,short,ncep-complex,warm-short,7,6.314,0.7217,7,0.8042,
weather-follow,2021-01-15,2021-01-22,2021-01-20,2021-01-20,short,ncep-complex,warm-short,7,6.314,0.7217,7,0.8042,
weather-follow,2021-01-15,2021-01-22,2021-01-21,2021-01-21,short,ncep-complex,warm-short,7,6.314,0.7217,7,0.8042,
weather-follow,2021-01-19,2021-01-26,2021-01-22,2021-01-22,short,ncep-complex,warm-short,7,5.192,0.6179,6,0.7362,
weather-follow,2021-01-23,2021-02-01,2021-01-25,2021-01-25,short,ncep-complex,warm-short,9,9.118,0.734,11,0.9206,
weather-follow,2021-01-23,2021-02-01,2021-01-26,2021-01-26,short,ncep-complex,warm-short,9,9.118,0.734,11,0.9206,
weather-follow,2021-01-23,2021-02-01,2021-01-27,2021-01-27,short,ncep-complex,warm-short,9,9.118,0.734,11,0.9206,
weather-follow,2021-01-26,2021-02-05,2021-01-28,2021-01-28,short,ncep-complex,warm-short,10,4.704,0.6226,6,0.9064,
weather-follow,2021-01-26,2021-02-05,2021-01-29,2021-01-29,short,ncep-complex,warm-short,10,4.704,0.6226,6,0.9064,
weather-reversion,2021-01-26,2021-02-05,2021-02-01,2021-02-01,long,ncep-complex,reversion-long,10,4.704,0.6226,6,0.9064,-2.6887
weather-follow,2021-02-01,2021-02-08,2021-02-02,2021-02-02,long,ncep-complex,cold-long,7,-4.151,0.684,10,0.9259,
weather-follow,2021-02-01,2021-02-08,2021-02-03,2021-02-03,long,ncep-complex,cold-long,7,-4.151,0.684,10,0.9259,
weather-follow,2021-02-01,2021-02-08,2021-02-04,2021-02-04,long,ncep-complex,cold-long,7,-4.151,0.684,10,0.9259,
weather-follow,2021-02-04,2021-02-14,2021-02-05,2021-02-05,long,ncep-complex,cold-long,10,-10.367,0.6353,9,0.9218,
weather-follow,2021-02-07,2021-02-15,2021-02-08,2021-02-08,long,ncep-complex,cold-long,8,-17.017,0.8936,16,0.93,
weather-follow,2021-02-07,2021-02-15,2021-02-09,2021-02-09,long,ncep-complex,cold-long,8,-17.017,0.8936,16,0.93,
weather-follow,2021-02-07,2021-02-15,2021-02-10,2021-02-10,long,ncep-complex,cold-long,8,-17.017,0.8936,16,0.93,
weather-reversion,2021-02-07,2021-02-15,2021-02-11,2021-02-11,short,ncep-complex,reversion-short,8,-17.017,0.8936,16,0.93,3.0389
weather-reversion,2021-02-07,2021-02-15,2021-02-12,2021-02-12,short,ncep-complex,reversion-short,8,-17.017,0.8936,16,0.93,3.0389
weather-reversion,2021-02-09,2021-02-16,2021-02-16,2021-02-16,short,ncep-complex,reversion-short,7,-11.233,0.7036,12,0.9299,3.4918
weather-reversion,2021-02-09,2021-02-16,2021-02-17,2021-02-17,short,ncep-complex,reversion-short,7,-11.233,0.7036,12,0.9299,3.4918
weather-follow,2021-02-16,2021-02-26,2021-02-18,2021-02-18,short,ncep-complex,warm-short,10,7.068,0.6447,9,0.9134,
