configId,sideMode,featureMode,alpha,l1Ratio,minExpectedTheoryReturnPct,cvScore,cvTradeCount,cvTotalReturnPct,cvSharpe,cvMaxDrawdownPct,trainRowCount,trainTradeCount,trainTotalReturnPct,postTradeCount,postColdTrades,postWarmTrades,postTotalReturnPct,postSharpe,postMaxDrawdownPct,postWinRatePct,postProfitFactor,replacementEligible
cold-long__weather-only__alpha-0.008__l1-0.25__min-0.064,cold-long,weather-only,0.008,0.25,0.064,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.008__l1-0.25__min-0.25,cold-long,weather-only,0.008,0.25,0.25,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.008__l1-0.25__min-0.5,cold-long,weather-only,0.008,0.25,0.5,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.008__l1-0.25__min-1,cold-long,weather-only,0.008,0.25,1,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.008__l1-0.5__min-0.064,cold-long,weather-only,0.008,0.5,0.064,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.008__l1-0.5__min-0.25,cold-long,weather-only,0.008,0.5,0.25,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.008__l1-0.5__min-0.5,cold-long,weather-only,0.008,0.5,0.5,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.008__l1-0.5__min-1,cold-long,weather-only,0.008,0.5,1,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.03__l1-0.25__min-0.064,cold-long,weather-only,0.03,0.25,0.064,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.03__l1-0.25__min-0.25,cold-long,weather-only,0.03,0.25,0.25,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.03__l1-0.25__min-0.5,cold-long,weather-only,0.03,0.25,0.5,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.03__l1-0.25__min-1,cold-long,weather-only,0.03,0.25,1,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.03__l1-0.5__min-0.064,cold-long,weather-only,0.03,0.5,0.064,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.03__l1-0.5__min-0.25,cold-long,weather-only,0.03,0.5,0.25,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.03__l1-0.5__min-0.5,cold-long,weather-only,0.03,0.5,0.5,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__weather-only__alpha-0.03__l1-0.5__min-1,cold-long,weather-only,0.03,0.5,1,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.008__l1-0.25__min-0.064,cold-long,source-group,0.008,0.25,0.064,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.008__l1-0.25__min-0.25,cold-long,source-group,0.008,0.25,0.25,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.008__l1-0.25__min-0.5,cold-long,source-group,0.008,0.25,0.5,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.008__l1-0.25__min-1,cold-long,source-group,0.008,0.25,1,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.008__l1-0.5__min-0.064,cold-long,source-group,0.008,0.5,0.064,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.008__l1-0.5__min-0.25,cold-long,source-group,0.008,0.5,0.25,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.008__l1-0.5__min-0.5,cold-long,source-group,0.008,0.5,0.5,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.008__l1-0.5__min-1,cold-long,source-group,0.008,0.5,1,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.03__l1-0.25__min-0.064,cold-long,source-group,0.03,0.25,0.064,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.03__l1-0.25__min-0.25,cold-long,source-group,0.03,0.25,0.25,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.03__l1-0.25__min-0.5,cold-long,source-group,0.03,0.25,0.5,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.03__l1-0.25__min-1,cold-long,source-group,0.03,0.25,1,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.03__l1-0.5__min-0.064,cold-long,source-group,0.03,0.5,0.064,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.03__l1-0.5__min-0.25,cold-long,source-group,0.03,0.5,0.25,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.03__l1-0.5__min-0.5,cold-long,source-group,0.03,0.5,0.5,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-group__alpha-0.03__l1-0.5__min-1,cold-long,source-group,0.03,0.5,1,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-id__alpha-0.008__l1-0.25__min-0.064,cold-long,source-id,0.008,0.25,0.064,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-id__alpha-0.008__l1-0.25__min-0.25,cold-long,source-id,0.008,0.25,0.25,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-id__alpha-0.008__l1-0.25__min-0.5,cold-long,source-id,0.008,0.25,0.5,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-id__alpha-0.008__l1-0.25__min-1,cold-long,source-id,0.008,0.25,1,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-id__alpha-0.008__l1-0.5__min-0.064,cold-long,source-id,0.008,0.5,0.064,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-id__alpha-0.008__l1-0.5__min-0.25,cold-long,source-id,0.008,0.5,0.25,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
cold-long__source-id__alpha-0.008__l1-0.5__min-0.5,cold-long,source-id,0.008,0.5,0.5,45.28,2,24.4,10.44,0,24,3,39.3,2,2,0,-1.01,0.18,-17.38,50,1.14,false
