selectedForLane,lane,sourceSet,sourceIds,baseFilter,modelGrid,lambda,acceptThreshold,sourceSpreadOk,fitForValidationCount,validationCandidateCount,validationTradeCount,validationTotalReturnPct,validationSharpe,validationMaxDrawdownPct,validationRank,fitForTestCount,testCandidateCount,testTradeCount,testTotalReturnPct,testSharpe,testMaxDrawdownPct,testWinRatePct,testProfitFactor,finalRank,firstEntry,lastExit,recordId
false,combined,all-confirmed-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|aigfs|gem-global,fixed-theory-gate,lambda008-threshold055,0.008,0.55,true,82,42,5,25.49,3.48,-2.92,31.376,124,107,6,3.75,0.45,-17.38,50,1.37,1.849,2025-12-08,2026-03-31,combined__all-confirmed-sources__fixed-theory-gate__lambda008-threshold055
false,combined,all-confirmed-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|aigfs|gem-global,fixed-theory-gate,lambda008-threshold060,0.008,0.6,true,82,42,5,25.49,3.48,-2.92,31.376,124,107,5,-1.04,0.15,-17.38,40,1.12,-10003.541,2025-12-08,2026-03-31,combined__all-confirmed-sources__fixed-theory-gate__lambda008-threshold060
false,combined,all-confirmed-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|aigfs|gem-global,fixed-theory-gate,lambda016-threshold055,0.016,0.55,true,82,42,5,25.49,3.48,-2.92,31.376,124,107,6,3.75,0.45,-17.38,50,1.37,1.849,2025-12-08,2026-03-31,combined__all-confirmed-sources__fixed-theory-gate__lambda016-threshold055
false,combined,all-confirmed-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|aigfs|gem-global,fixed-theory-gate,lambda016-threshold060,0.016,0.6,true,82,42,5,25.49,3.48,-2.92,31.376,124,107,5,-1.04,0.15,-17.38,40,1.12,-10003.541,2025-12-08,2026-03-31,combined__all-confirmed-sources__fixed-theory-gate__lambda016-threshold060
false,combined,all-confirmed-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|aigfs|gem-global,fixed-theory-gate,lambda004-threshold055,0.004,0.55,true,82,42,5,25.49,3.48,-2.92,31.376,124,107,6,3.75,0.45,-17.38,50,1.37,1.849,2025-12-08,2026-03-31,combined__all-confirmed-sources__fixed-theory-gate__lambda004-threshold055
false,combined,all-confirmed-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|aigfs|gem-global,broader-coverage,lambda008-threshold055,0.008,0.55,true,69,28,5,17.95,2.67,-2.92,22.621,97,86,6,6.67,0.6,-17.38,50,1.45,4.994,2025-12-08,2026-03-31,combined__all-confirmed-sources__broader-coverage__lambda008-threshold055
false,combined,all-confirmed-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|aigfs|gem-global,broader-coverage,lambda008-threshold060,0.008,0.6,true,69,28,4,15.99,2.64,-2.92,20.366,97,86,5,-6.19,-0.15,-17.38,40,0.89,-10009.141,2025-12-08,2026-03-31,combined__all-confirmed-sources__broader-coverage__lambda008-threshold060
false,combined,all-confirmed-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|aigfs|gem-global,broader-coverage,lambda016-threshold055,0.016,0.55,true,69,28,5,17.95,2.67,-2.92,22.621,97,86,6,6.67,0.6,-17.38,50,1.45,4.994,2025-12-08,2026-03-31,combined__all-confirmed-sources__broader-coverage__lambda016-threshold055
false,combined,all-confirmed-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|aigfs|gem-global,broader-coverage,lambda016-threshold060,0.016,0.6,true,69,28,4,15.99,2.64,-2.92,20.366,97,86,5,-6.19,-0.15,-17.38,40,0.89,-10009.141,2025-12-08,2026-03-31,combined__all-confirmed-sources__broader-coverage__lambda016-threshold060
false,combined,all-confirmed-sources,gfs|gefs-mean|graphcastgfs|ecmwf-ifs|ecmwf-aifs|aigfs|gem-global,broader-coverage,lambda004-threshold055,0.004,0.55,true,69,28,5,17.95,2.67,-2.92,22.621,97,86,6,6.67,0.6,-17.38,50,1.45,4.994,2025-12-08,2026-03-31,combined__all-confirmed-sources__broader-coverage__lambda004-threshold055
