chartIndex,date,equityPct,benchmarkPct,drawdownPct,activeReturnPct,position,signal,netReturnPct,priorCloseReturnContributionPct,currentSessionReturnContributionPct,indexReturnPct,split,thesisKind,priorCloseThesisKind,equityUsd,component,researchInstrument,signalInstrument,direction,sourceId,confidence
0,2021-01-04,-1.3408,-1.3686,-1.3408,0.0279,0,0,-1.3408,0.40828133,-1.74906179,-1.3686,train,index-fallback,index-fallback,98659.2,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
1,2021-01-05,-0.678,-0.6921,-0.678,-0.0141,0,0,0.6718,-0.19492026,0.86674881,0.6859,train,index-fallback,index-fallback,99321.99,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
2,2021-01-06,-0.4738,-0.4838,-0.4738,-0.0041,0,0,0.2056,-0.60134857,0.80690948,0.2097,train,index-fallback,index-fallback,99526.2,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
3,2021-01-07,1.1738,1.1989,0,-0.0355,0,0,1.6554,0.74309661,0.91228642,1.6909,train,index-fallback,index-fallback,101173.76,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
4,2021-01-08,1.8773,1.9169,0,-0.0141,0,0,0.6954,0.48049994,0.21488679,0.7095,train,index-fallback,index-fallback,101877.32,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
5,2021-01-11,1.0574,1.0794,-0.8048,0.0169,0,0,-0.8048,-0.85523769,0.05046879,-0.8217,train,index-fallback,index-fallback,101057.41,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
6,2021-01-12,1.0581,1.0801,-0.8041,0,0,0,0.0007,0.05485614,-0.05415279,0.0007,train,index-fallback,index-fallback,101058.12,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
7,2021-01-13,1.3732,1.3918,-0.4948,0.0035,-0.5625,-1,0.3118,-0.03240729,0.34418168,0.3083,train,warm-short,index-fallback,101373.22,winter-alpha,UNG,UNG,short,winter-alpha-weather-follow+winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
8,2021-01-14,1.906,1.0082,0,0.9039,-0.3125,-1,0.5256,0.21909386,0.30649392,-0.3783,train,reversion-short,warm-short,101906.03,winter-alpha,UNG,UNG,short,winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
9,2021-01-15,0.0424,0.2694,-1.8288,-1.0974,0,0,-1.8288,-1.50576272,-0.3230231,-0.7314,train,index-fallback,reversion-short,100042.38,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
10,2021-01-19,0.9575,1.2056,-0.9308,-0.019,0,0,0.9147,0.71990039,0.19480266,0.9337,train,index-fallback,index-fallback,100957.46,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
11,2021-01-20,2.4961,2.779,0,-0.0306,0,0,1.524,0.75054012,0.77343291,1.5546,train,index-fallback,index-fallback,102496.05,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
12,2021-01-21,2.7347,3.0227,0,-0.0043,0,0,0.2328,0.23345406,-0.00062549,0.2371,train,index-fallback,index-fallback,102734.67,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
13,2021-01-22,2.3918,2.6718,-0.3337,0.0069,0,0,-0.3337,-0.47396531,0.14025945,-0.3406,train,index-fallback,index-fallback,102391.84,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
14,2021-01-25,2.8469,3.1361,0,-0.0078,0,0,0.4444,0.40530866,0.03906054,0.4522,train,index-fallback,index-fallback,102846.87,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
15,2021-01-26,2.7871,3.0751,-0.0581,0.001,0,0,-0.0581,0.2906458,-0.34870105,-0.0591,train,index-fallback,index-fallback,102787.12,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
16,2021-01-27,0.2982,0.5264,-2.4781,0.0513,0,0,-2.4214,-0.83862144,-1.58276858,-2.4727,train,index-fallback,index-fallback,100298.23,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
17,2021-01-28,0.5248,1.2979,-2.2578,-0.5416,-0.5625,-1,0.2259,0.46257516,-0.23671793,0.7675,train,warm-short,index-fallback,100524.8,winter-alpha,UNG,UNG,short,winter-alpha-weather-follow+winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
18,2021-01-29,1.5867,-0.7403,-1.2252,3.0684,-0.4612,-1,1.0564,0.46066466,0.5957148,-2.0121,train,warm-short,warm-short,101586.75,winter-alpha,UNG,UNG,short,winter-alpha-weather-follow+winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
19,2021-02-01,-1.3448,1.051,-4.0757,-4.6905,0.25,1,-2.8858,-3.4832697,0.59743522,1.8047,train,reversion-long,warm-short,98655.16,winter-alpha,UNG,UNG,long,winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
20,2021-02-02,-1.709,2.5447,-4.4297,-1.8472,0.5625,1,-0.3691,2.09812184,-2.46721421,1.4781,train,cold-long,reversion-long,98291.02,winter-alpha,UNG,UNG,long,winter-alpha-weather-follow+winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
21,2021-02-03,-2.7031,2.5511,-5.3963,-1.0178,0.3906,0.9259,-1.0114,0.05779182,-1.06921674,0.0063,train,cold-long,cold-long,97296.9,winter-alpha,UNG,UNG,long,ncep-complex,0.9259
22,2021-02-04,0.4848,3.688,-2.2966,2.1679,0.3906,0.9259,3.2765,0.64701587,2.62947828,1.1086,train,cold-long,cold-long,100484.84,winter-alpha,UNG,UNG,long,ncep-complex,0.9259
23,2021-02-05,-0.3261,4.1024,-3.0851,-1.2066,0.3906,0.9218,-0.807,1.42110337,-2.22806136,0.3996,train,cold-long,cold-long,99673.92,winter-alpha,UNG,UNG,long,ncep-complex,0.9218
24,2021-02-08,0.316,4.8468,-2.4608,-0.0709,0.3906,0.93,0.6442,0.45068438,0.19349737,0.7151,train,cold-long,cold-long,100316.02,winter-alpha,UNG,UNG,long,ncep-complex,0.93
25,2021-02-09,-0.7413,4.7744,-3.4889,-0.985,0.3906,0.93,-1.054,-1.1056376,0.05161251,-0.069,train,cold-long,cold-long,99258.69,winter-alpha,UNG,UNG,long,ncep-complex,0.93
26,2021-02-10,1.1884,4.6898,-1.6126,2.025,0.3906,0.93,1.9441,1.03057083,0.91355691,-0.0808,train,cold-long,cold-long,101188.38,winter-alpha,UNG,UNG,long,ncep-complex,0.93
27,2021-02-11,3.3696,4.943,0,1.9137,-0.3125,-1,2.1556,0.72225159,1.43336633,0.2419,train,reversion-short,cold-long,103369.6,winter-alpha,UNG,UNG,short,winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
28,2021-02-12,3.0729,5.5007,-0.287,-0.8184,-0.3125,-1,-0.287,-0.53792358,0.25091459,0.5314,train,reversion-short,reversion-short,103072.93,winter-alpha,UNG,UNG,short,winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
29,2021-02-16,1.4187,5.3632,-1.8873,-1.4746,-0.1976,-1,-1.6049,-1.58157289,-0.02334063,-0.1303,train,reversion-short,reversion-short,101418.71,winter-alpha,UNG,UNG,short,winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
30,2021-02-17,1.0023,5.2781,-2.2901,-0.3298,-0.1976,-1,-0.4106,-0.38682165,-0.023785,-0.0808,train,reversion-short,reversion-short,101002.28,winter-alpha,UNG,UNG,short,winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
31,2021-02-18,1.6216,4.8296,-1.691,1.0392,-0.4988,-1,0.6132,-0.41399975,1.02719475,-0.426,train,warm-short,reversion-short,101621.63,winter-alpha,UNG,UNG,short,winter-alpha-weather-follow+winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
32,2021-02-19,0.8011,4.5696,-2.4847,-0.5594,-0.5425,-1,-0.8074,-0.8126332,0.00528167,-0.248,train,warm-short,warm-short,100801.14,winter-alpha,UNG,UNG,short,winter-alpha-weather-follow+winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
33,2021-02-22,1.4131,3.3873,-1.8927,1.7378,-0.4562,-1,0.6071,1.1335619,-0.52648612,-1.1307,train,warm-short,warm-short,101413.1,winter-alpha,UNG,UNG,short,winter-alpha-weather-follow+winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
34,2021-02-23,2.4807,3.431,-0.8599,1.0104,0,0,1.0527,0.23809459,0.81461057,0.0423,train,index-fallback,warm-short,102480.68,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
35,2021-02-24,3.5332,4.5153,0,-0.0213,0,0,1.027,-0.42170073,1.44868167,1.0483,train,index-fallback,index-fallback,103533.15,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
36,2021-02-25,0.8679,1.7706,-2.5743,0.0519,0,0,-2.5743,-0.40227942,-2.17198338,-2.6261,train,index-fallback,index-fallback,100867.9,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
37,2021-02-26,0.6151,1.512,-2.8184,0.0035,0,0,-0.2506,0.63024861,-0.88084319,-0.2541,train,index-fallback,index-fallback,100615.12,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
38,2021-03-01,3.0309,4.0006,-0.4851,-0.0506,0,0,2.401,1.33930964,1.06165945,2.4515,train,index-fallback,index-fallback,103030.89,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
39,2021-03-02,2.0771,3.0191,-1.4063,0.018,0,0,-0.9257,0.11762858,-1.04331317,-0.9437,train,index-fallback,index-fallback,102077.14,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
40,2021-03-03,2.0076,1.3406,-1.4735,1.5611,-0.5625,-1,-0.0681,-0.21524386,0.14710119,-1.6293,train,warm-short,index-fallback,102007.62,winter-alpha,UNG,UNG,short,winter-alpha-weather-follow+winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
41,2021-03-04,2.7093,0.0005,-0.7957,2.0103,-0.5625,-1,0.6879,0.70520362,-0.01732801,-1.3224,train,warm-short,warm-short,102709.33,winter-alpha,UNG,UNG,short,winter-alpha-weather-follow+winter-alpha-weather-reversion+winter-alpha-volatility-confirmation,1
42,2021-03-05,3.8458,1.7987,0,-0.6917,0,0,1.1065,0.38378838,0.722693,1.7982,train,index-fallback,warm-short,103845.81,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
43,2021-03-08,2.851,0.8012,-0.958,0.0219,0,0,-0.958,0.17531591,-1.13333695,-0.9799,train,index-fallback,index-fallback,102850.97,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
44,2021-03-09,4.7811,2.7455,0,-0.0523,0,0,1.8766,1.33169445,0.54491214,1.9289,train,index-fallback,index-fallback,104781.07,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
45,2021-03-10,5.2022,3.1672,0,-0.0085,0,0,0.4019,0.80491157,-0.40305366,0.4104,train,index-fallback,index-fallback,105202.19,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
46,2021-03-11,6.5663,4.5361,0,-0.0302,0,0,1.2967,0.90969438,0.38700497,1.3269,train,index-fallback,index-fallback,106566.34,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
47,2021-03-12,6.4986,4.4686,-0.0636,0.001,0,0,-0.0636,-0.56818488,0.50454517,-0.0646,train,index-fallback,index-fallback,106498.57,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
48,2021-03-15,7.2099,5.1818,0,-0.0148,0,0,0.6679,0.10167635,0.56626033,0.6827,train,index-fallback,index-fallback,107209.87,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
49,2021-03-16,7.2256,5.1979,0,-0.0006,0,0,0.0147,0.27468125,-0.26000274,0.0153,train,index-fallback,index-fallback,107225.63,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
50,2021-03-17,7.5848,5.5577,0,-0.007,0,0,0.335,-0.44280767,0.77778157,0.342,train,index-fallback,index-fallback,107584.84,summer-alpha,US-INDEX-BASKET,NG=F,long,US-INDEX-BASKET,0
