date,overnightRiskSplit,allYearSplit,currentComponentStrategyId,priorCloseComponentStrategyId,currentSessionSeason,priorCloseSeason,currentThesisKind,priorCloseThesisKind,targetUngPosition,priorCloseUngWeight,preTradeOpenUngWeight,deployedUngWeight,priorCloseOverlayActive,currentSessionOverlayActive,eitherOverlayActive,ungOvernightReturnPct,ungIntradayReturnPct,grossPortfolioCloseToOpenContributionPct,grossPortfolioOpenToCloseContributionPctOnOpenEquity,grossPortfolioInteractionContributionPct,grossPortfolioOpenToCloseContributionPctOnPriorCloseEquity,closeToOpenNetContributionPct,openToCloseNetContributionPct,additiveNetReturnPct,reportedNetReturnPct,reportedNetReconciliationResidualPct,reportedGrossReturnPct,grossAdditiveReturnPct,reportedGrossReconciliationResidualPct,grossUngCloseToOpenContributionPct,grossUngOpenToCloseContributionPctOnOpenEquity,grossUngOpenToCloseInteractionContributionPct,grossUngOpenToCloseContributionPctOnPriorCloseEquity,ungCloseToOpenNetContributionPct,ungOpenToCloseNetContributionPct,ungAdditiveNetContributionPct,grossIndexCloseToOpenContributionPct,grossIndexOpenToCloseContributionPctOnOpenEquity,grossIndexOpenToCloseInteractionContributionPct,grossIndexOpenToCloseContributionPctOnPriorCloseEquity,indexCloseToOpenNetContributionPct,indexOpenToCloseNetContributionPct,indexAdditiveNetContributionPct,openTradingCostPct,gasTradingCostPct,indexTradingCostPct,borrowCostPct,frictionContractId,frictionScenarioId,executionPriceConvention
2021-01-04,train,train,ngas-summer-alpha,,summer,,index-fallback,index-fallback,0,0,0,0,false,false,false,3.26087171,-0.5263178,0.40828133,-1.74194726,-0.00711205,-1.74905931,0.40828133,-1.74906179,-1.34078046,-1.3408,0.00001954,-1.3408,-1.34077798,0.00002202,0,0,0,0,0,0,0,0.40828133,-1.74194726,-0.00711205,-1.74905931,0.40828133,-1.7490618,-1.34078047,0.00000249,0,0.00000249,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-05,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,3.06878273,0.41067724,-0.19492026,0.86844158,-0.00169277,0.86674881,-0.19492026,0.86674881,0.67182855,0.6718,0.00002855,0.6718,0.67182855,0.00002855,0,0,0,0,0,0,0,-0.19492026,0.86844158,-0.00169277,0.86674881,-0.19492026,0.86674881,0.67182855,0,0,0,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-06,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,-1.43148664,1.97094993,-0.60134857,0.81179118,-0.00488169,0.80690949,-0.60134857,0.80690948,0.20556091,0.2056,-0.00003909,0.2056,0.20556092,-0.00003908,0,0,0,0,0,0,0,-0.60134857,0.81179118,-0.00488169,0.80690949,-0.60134857,0.80690949,0.20556092,0,0,0,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-07,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,0.10173173,-1.42276769,0.74309661,0.90561092,0.00672956,0.91234048,0.74309661,0.91228642,1.65538303,1.6554,-0.00001697,1.6554,1.65543709,0.00003709,0,0,0,0,0,0,0,0.74309661,0.90561092,0.00672956,0.91234048,0.74309661,0.91228642,1.65538303,0.00005406,0,0.00005406,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-08,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,-0.51546589,1.03627342,0.48049994,0.21387687,0.00102768,0.21490455,0.48049994,0.21488679,0.69538673,0.6954,-0.00001327,0.6954,0.69540449,0.00000449,0,0,0,0,0,0,0,0.48049994,0.21387687,0.00102768,0.21490455,0.48049994,0.2148868,0.69538674,0.00001775,0,0.00001775,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-11,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,-2.46153611,6.20399725,-0.85523769,0.05090414,-0.00043535,0.05046879,-0.85523769,0.05046879,-0.8047689,-0.8048,0.0000311,-0.8048,-0.8047689,0.0000311,0,0,0,0,0,0,0,-0.85523769,0.05090414,-0.00043535,0.05046879,-0.85523769,0.05046879,-0.8047689,0,0,0,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-12,train,train,ngas-summer-alpha,ngas-summer-alpha,summer,summer,index-fallback,index-fallback,0,0,0,0,false,false,false,2.2772231,-3.96902082,0.05485614,-0.0541231,-0.00002969,-0.05415279,0.05485614,-0.05415279,0.00070335,0.0007,0.00000335,0.0007,0.00070335,0.00000335,0,0,0,0,0,0,0,0.05485614,-0.0541231,-0.00002969,-0.05415279,0.05485614,-0.05415279,0.00070335,0,0,0,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-13,train,train,ngas-winter-alpha,ngas-summer-alpha,winter,summer,warm-short,index-fallback,-0.5625,0,0,-0.55125,false,true,true,0.60483332,-0.40080124,-0.03240729,0.36742948,-0.00011907,0.36731041,-0.03240729,0.34418168,0.31177439,0.3118,-0.00002561,0.3349,0.33490312,0.00000312,0,0.22094168,-0.0000716,0.22087008,0,0.2032358,0.2032358,-0.03240729,0.1464878,-0.00004747,0.14644032,-0.03240729,0.14094587,0.10853858,0.02312873,0.01763428,0.00549445,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-14,train,train,ngas-winter-alpha,ngas-winter-alpha,winter,winter,reversion-short,warm-short,-0.3125,-0.54715676,-0.54486211,-0.30625,true,true,true,-0.20120226,-2.41935251,0.21909386,0.31590807,0.00069214,0.31660021,0.21909386,0.30649392,0.52558778,0.5256,-0.00001222,0.5357,0.53569407,-0.00000593,0.11008918,0.74092671,0.00162332,0.74255003,0.11008918,0.73489771,0.84498689,0.10900468,-0.42501864,-0.00093119,-0.42594983,0.10900468,-0.4284038,-0.31939911,0.01010629,0.00765232,0.00245397,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
2021-01-15,train,train,ngas-summer-alpha,ngas-winter-alpha,summer,winter,index-fallback,reversion-short,0,-0.2979296,-0.31498363,0,true,false,true,4.13222733,-1.19047506,-1.50576272,-0.31483068,0.0047406,-0.31009008,-1.50576272,-0.3230231,-1.82878582,-1.8288,0.00001418,-1.8159,-1.8158528,0.0000472,-1.23111282,0,0,0,-1.23111282,-0.0099277,-1.24104052,-0.2746499,-0.31483068,0.0047406,-0.31009008,-0.2746499,-0.31309539,-0.58774529,0.01293301,0.0099277,0.00300531,0,qore-causal-etf-execution-v2,baseline,Yahoo daily split-and-distribution-adjusted open and close
