candidateId,rank,eligible,trainValidationScore,trainReturnPct,trainVsNonLivePct,trainVsCurrentLivePct,trainSharpe,trainMaxDrawdownPct,validationReturnPct,validationVsNonLivePct,validationVsCurrentLivePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutVsNonLivePct,holdoutVsCurrentLivePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allVsNonLivePct,allVsCurrentLivePct,allSharpe,allMaxDrawdownPct,sameBase,sameDivisor,sameMax,adverseBase,adverseDivisor,adverseMin,adverseMax,adverseDropThresholdF,standaloneMode,neutralScale,missingScale,actionCounts
sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,1,true,33.1785,198.59,19.85,12.3,1.7,-15.86,72.15,4.8,1.4,2.67,-9.57,97.94,-4.63,-1.96,2.35,-16.72,917.47,72.5,40.27,2.03,-15.86,0.85,6,1.375,0.9,10,0,0.9,4,adverse-scale,0.85,1,adverse-dropped:23|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:7
sb0.85-sd6-sx1.375-ab0.9-ad10-an0.25-ax0.9-drop4-stadverse-scale-n0.85,2,true,33.1785,198.59,19.85,12.3,1.7,-15.86,72.15,4.8,1.4,2.67,-9.57,97.94,-4.63,-1.96,2.35,-16.72,917.47,72.5,40.27,2.03,-15.86,0.85,6,1.375,0.9,10,0.25,0.9,4,adverse-scale,0.85,1,adverse-dropped:23|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:7
sb0.85-sd6-sx1.375-ab0.9-ad10-an0.45-ax0.9-drop4-stadverse-scale-n0.85,3,true,33.1785,198.59,19.85,12.3,1.7,-15.86,72.15,4.8,1.4,2.67,-9.57,97.94,-4.63,-1.96,2.35,-16.72,917.47,72.5,40.27,2.03,-15.86,0.85,6,1.375,0.9,10,0.45,0.9,4,adverse-scale,0.85,1,adverse-dropped:23|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:7
sb0.85-sd6-sx1.375-ab0.9-ad12-an0-ax0.9-drop4-stadverse-scale-n0.85,4,true,33.1341,198.78,20.04,12.49,1.7,-15.86,72.12,4.77,1.37,2.66,-9.57,98.05,-4.52,-1.85,2.35,-16.72,918.47,73.5,41.27,2.03,-15.86,0.85,6,1.375,0.9,12,0,0.9,4,adverse-scale,0.85,1,adverse-dropped:23|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:7
sb0.85-sd6-sx1.375-ab0.9-ad12-an0.25-ax0.9-drop4-stadverse-scale-n0.85,5,true,33.1341,198.78,20.04,12.49,1.7,-15.86,72.12,4.77,1.37,2.66,-9.57,98.05,-4.52,-1.85,2.35,-16.72,918.47,73.5,41.27,2.03,-15.86,0.85,6,1.375,0.9,12,0.25,0.9,4,adverse-scale,0.85,1,adverse-dropped:23|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:7
sb0.85-sd6-sx1.375-ab0.9-ad12-an0.45-ax0.9-drop4-stadverse-scale-n0.85,6,true,33.1341,198.78,20.04,12.49,1.7,-15.86,72.12,4.77,1.37,2.66,-9.57,98.05,-4.52,-1.85,2.35,-16.72,918.47,73.5,41.27,2.03,-15.86,0.85,6,1.375,0.9,12,0.45,0.9,4,adverse-scale,0.85,1,adverse-dropped:23|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:7
sb0.85-sd6-sx1.375-ab0.9-ad8-an0-ax0.9-drop6-stadverse-scale-n0.85,7,true,33.096,198.36,19.62,12.07,1.7,-15.86,72.19,4.84,1.44,2.67,-9.57,97.64,-4.93,-2.26,2.35,-16.72,915.32,70.35,38.12,2.03,-15.86,0.85,6,1.375,0.9,8,0,0.9,6,adverse-scale,0.85,1,adverse-dropped:14|adverse-shrunk:33|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:7
sb0.85-sd6-sx1.375-ab0.9-ad8-an0-ax0.9-drop4-stadverse-scale-n0.85,8,true,33.0498,198.3,19.56,12.01,1.7,-15.86,72.19,4.84,1.44,2.67,-9.57,97.69,-4.88,-2.21,2.35,-16.72,915.38,70.41,38.18,2.03,-15.86,0.85,6,1.375,0.9,8,0,0.9,4,adverse-scale,0.85,1,adverse-dropped:23|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:7
sb0.85-sd6-sx1.375-ab0.9-ad8-an0.25-ax0.9-drop4-stadverse-scale-n0.85,9,true,33.0498,198.3,19.56,12.01,1.7,-15.86,72.19,4.84,1.44,2.67,-9.57,97.69,-4.88,-2.21,2.35,-16.72,915.38,70.41,38.18,2.03,-15.86,0.85,6,1.375,0.9,8,0.25,0.9,4,adverse-scale,0.85,1,adverse-dropped:23|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:7
sb0.85-sd6-sx1.375-ab0.9-ad8-an0.45-ax0.9-drop4-stadverse-scale-n0.85,10,true,32.8644,198.12,19.38,11.83,1.7,-15.86,72.17,4.82,1.42,2.67,-9.57,97.7,-4.87,-2.2,2.35,-16.72,914.76,69.79,37.56,2.03,-15.86,0.85,6,1.375,0.9,8,0.45,0.9,4,adverse-scale,0.85,1,adverse-dropped:23|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:7
