scenario,date,split,componentVariant,sourceAction,optimizedLiveAction,optimizedLiveScale,position,indexFraction,ungReturnPct,indexReturnPct,grossReturnPct,tradingCostPct,returnPct,equity,equityPct
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-04,train,summer-alpha,,,1,0,1,1.6542,-1.3686,-1.3686,0,-1.3686,98631.4,-1.3686
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-05,train,summer-alpha,,,1,0,1,4.6881,0.686,0.686,0,0.686,99308.01,-0.692
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-06,train,summer-alpha,,,1,0,1,0.5181,0.2097,0.2097,0,0.2097,99516.26,-0.4837
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-07,train,summer-alpha,,,1,0,1,0.4786,1.6909,1.6909,0,1.6909,101198.98,1.199
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-08,train,summer-alpha,,,1,0,1,-1.0627,0.7095,0.7095,0,0.7095,101916.99,1.917
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-11,train,summer-alpha,,,1,0,1,1.7407,-0.8217,-0.8217,0,-0.8217,101079.54,1.0795
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-12,train,summer-alpha,,,1,0,1,0.2184,0.0007,0.0007,0,0.0007,101080.24,1.0802
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-13,train,winter-alpha,confirm-scaled,confirm-scaled,1.375,-0.5625,0.4375,0.2016,0.3083,0.0215,0.018,0.0035,101083.78,1.0838
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-14,train,winter-alpha,confirm-scaled,confirm-scaled,1.375,-0.3437,0.6563,-2.6157,-0.3783,0.6509,0.007,0.6439,101734.66,1.7347
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-15,train,winter-alpha,no-reversion,no-reversion,1,0,1,2.8926,-0.7314,-0.7314,0.011,-0.7424,100979.38,0.9794
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-19,train,summer-alpha,,,1,0,1,-6.9784,0.9337,0.9337,0,0.9337,101922.23,1.9222
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-20,train,summer-alpha,,,1,0,1,-0.2749,1.5546,1.5546,0,1.5546,103506.71,3.5067
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-21,train,summer-alpha,,,1,0,1,-1.8905,0.2371,0.2371,0,0.2371,103752.12,3.7521
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-22,train,summer-alpha,,,1,0,1,-1.8065,-0.3406,-0.3406,0,-0.3406,103398.74,3.3987
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-25,train,summer-alpha,,,1,0,1,6.3778,0.4522,0.4522,0,0.4522,103866.31,3.8663
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-26,train,summer-alpha,,,1,0,1,2.0753,-0.0591,-0.0591,0,-0.0591,103804.93,3.8049
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-27,train,summer-alpha,,,1,0,1,3.9157,-2.4727,-2.4727,0,-2.4727,101238.14,1.2381
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-28,train,winter-alpha,missing-kept,missing-kept,1,-0.5625,0.4375,0.1018,0.7675,0.2785,0.018,0.2605,101501.87,1.5019
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-01-29,train,winter-alpha,adverse-shrunk,adverse-dropped,0,-0.3437,0.6563,-4.2726,-2.0121,0.148,0.007,0.1409,101644.88,1.6449
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-02-01,train,winter-alpha,missing-kept,missing-kept,1,0.25,0.75,9.6706,1.8047,3.7712,0.019,3.7522,105458.8,5.4588
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-02-02,train,winter-alpha,adverse-shrunk,adverse-shrunk,0.8134,0.5625,0.4375,0.6783,1.4781,1.0282,0.01,1.0182,106532.59,6.5326
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-02-03,train,winter-alpha,no-reversion,no-reversion,1,0.3906,0.6094,-2.4062,0.0063,-0.936,0.0055,-0.9415,105529.58,5.5296
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2021-02-04,train,winter-alpha,no-reversion,no-reversion,1,0.3906,0.6094,6.9034,1.1086,3.372,0,3.372,109088.04,9.088
