scenario,split,totalReturnPct,cagrPct,annualVolPct,sharpe,sortino,maxDrawdownPct,winRatePct,profitFactor,var95Pct,cvar95Pct,averageDailyPnlPct,firstEntry,lastExit,indexReturnPct,edgePct,deltaVsCheckedInPct
checkedIn,train,186.29,38.52,21.99,1.64,2.62,-15.86,53.6,1.33,-1.96,-2.75,0.143,2021-01-04,2024-03-28,40.58,145.71,0
checkedIn,validation,70.74,54.83,21.22,2.64,4.78,-9.57,58.2,1.62,-1.78,-2.34,0.222,2024-01-02,2025-03-24,19.78,50.96,0
checkedIn,holdout,102.5,61.59,23.14,2.32,3.2,-16.72,58,1.57,-1.75,-2.96,0.213,2025-01-23,2026-07-14,31.85,70.65,0
checkedIn,all,889.86,51.46,22.14,1.99,3.1,-15.86,55.5,1.43,-1.84,-2.75,0.175,2021-01-04,2026-07-14,122.02,767.84,0
liveWeatherRefresh,train,186.29,38.52,21.99,1.64,2.62,-15.86,53.6,1.33,-1.96,-2.75,0.143,2021-01-04,2024-03-28,40.58,145.71,0
liveWeatherRefresh,validation,70.74,54.83,21.22,2.64,4.78,-9.57,58.2,1.62,-1.78,-2.34,0.222,2024-01-02,2025-03-24,19.78,50.96,0
liveWeatherRefresh,holdout,102.5,61.59,23.14,2.32,3.2,-16.72,58,1.57,-1.75,-2.96,0.213,2025-01-23,2026-07-14,31.85,70.65,0
liveWeatherRefresh,all,889.86,51.46,22.14,1.99,3.1,-15.86,55.5,1.43,-1.84,-2.75,0.175,2021-01-04,2026-07-14,122.02,767.84,0
currentReplay,train,186.3,38.52,21.99,1.64,2.62,-15.86,53.6,1.33,-1.96,-2.75,0.143,2021-01-04,2024-03-28,40.58,145.72,0.01
currentReplay,validation,70.75,54.83,21.22,2.64,4.78,-9.57,58.2,1.62,-1.78,-2.34,0.222,2024-01-02,2025-03-24,19.78,50.97,0.01
currentReplay,holdout,102.5,61.59,23.14,2.32,3.2,-16.72,58,1.57,-1.75,-2.96,0.213,2025-01-23,2026-07-14,31.85,70.65,0
currentReplay,all,889.9,51.46,22.14,1.99,3.1,-15.86,55.5,1.43,-1.84,-2.75,0.175,2021-01-04,2026-07-14,122.02,767.88,0.04
noWeatherRefresh,train,178.74,37.38,22.1,1.59,2.51,-15.86,53.8,1.32,-1.98,-2.81,0.14,2021-01-04,2024-03-28,40.58,138.16,-7.55
noWeatherRefresh,validation,67.35,52.31,21.15,2.55,4.64,-9.57,57.4,1.59,-1.78,-2.34,0.214,2024-01-02,2025-03-24,19.78,47.57,-3.39
noWeatherRefresh,holdout,105.21,63.06,23.31,2.35,3.27,-16.73,58.3,1.58,-1.75,-2.96,0.217,2025-01-23,2026-07-14,31.85,73.36,2.71
noWeatherRefresh,all,857.25,50.54,22.23,1.96,3.03,-15.86,55.6,1.42,-1.84,-2.78,0.173,2021-01-04,2026-07-14,122.02,735.23,-32.61
