scenario,date,split,componentVariant,weatherResolutionAction,weatherResolutionScale,position,indexFraction,ungReturnPct,indexReturnPct,grossReturnPct,tradingCostPct,returnPct
current replay from positions,2021-01-04,train,summer-alpha,,1,0,1,1.6542,-1.3686,-1.3686,0,-1.3686
current replay from positions,2021-01-05,train,summer-alpha,,1,0,1,4.6881,0.686,0.686,0,0.686
current replay from positions,2021-01-06,train,summer-alpha,,1,0,1,0.5181,0.2097,0.2097,0,0.2097
current replay from positions,2021-01-07,train,summer-alpha,,1,0,1,0.4786,1.6909,1.6909,0,1.6909
current replay from positions,2021-01-08,train,summer-alpha,,1,0,1,-1.0627,0.7095,0.7095,0,0.7095
current replay from positions,2021-01-11,train,summer-alpha,,1,0,1,1.7407,-0.8217,-0.8217,0,-0.8217
current replay from positions,2021-01-12,train,summer-alpha,,1,0,1,0.2184,0.0007,0.0007,0,0.0007
current replay from positions,2021-01-13,train,winter-alpha,confirm-scaled,1.25,-0.5625,0.4375,0.2016,0.3083,0.0215,0.018,0.0035
current replay from positions,2021-01-14,train,winter-alpha,confirm-scaled,1.25,-0.3125,0.6875,-2.6157,-0.3783,0.5573,0.008,0.5493
current replay from positions,2021-01-15,train,winter-alpha,no-reversion,1,0,1,2.8926,-0.7314,-0.7314,0.01,-0.7414
current replay from positions,2021-01-19,train,summer-alpha,,1,0,1,-6.9784,0.9337,0.9337,0,0.9337
current replay from positions,2021-01-20,train,summer-alpha,,1,0,1,-0.2749,1.5546,1.5546,0,1.5546
current replay from positions,2021-01-21,train,summer-alpha,,1,0,1,-1.8905,0.2371,0.2371,0,0.2371
current replay from positions,2021-01-22,train,summer-alpha,,1,0,1,-1.8065,-0.3406,-0.3406,0,-0.3406
current replay from positions,2021-01-25,train,summer-alpha,,1,0,1,6.3778,0.4522,0.4522,0,0.4522
current replay from positions,2021-01-26,train,summer-alpha,,1,0,1,2.0753,-0.0591,-0.0591,0,-0.0591
current replay from positions,2021-01-27,train,summer-alpha,,1,0,1,3.9157,-2.4727,-2.4727,0,-2.4727
current replay from positions,2021-01-28,train,winter-alpha,missing-kept,1,-0.5625,0.4375,0.1018,0.7675,0.2785,0.018,0.2605
current replay from positions,2021-01-29,train,winter-alpha,adverse-shrunk,0.4697,-0.4612,0.5388,-4.2726,-2.0121,0.8864,0.0032,0.8832
current replay from positions,2021-02-01,train,winter-alpha,missing-kept,1,0.25,0.75,9.6706,1.8047,3.7712,0.0228,3.7484
current replay from positions,2021-02-02,train,winter-alpha,adverse-shrunk,0.8134,0.5625,0.4375,0.6783,1.4781,1.0282,0.01,1.0182
current replay from positions,2021-02-03,train,winter-alpha,no-reversion,1,0.3906,0.6094,-2.4062,0.0063,-0.936,0.0055,-0.9415
current replay from positions,2021-02-04,train,winter-alpha,no-reversion,1,0.3906,0.6094,6.9034,1.1086,3.372,0,3.372
current replay from positions,2021-02-05,train,winter-alpha,no-reversion,1,0.3906,0.6094,-2.8598,0.3996,-0.8735,0,-0.8735
current replay from positions,2021-02-08,train,winter-alpha,no-reversion,1,0.3906,0.6094,0.5698,0.7151,0.6583,0,0.6583
current replay from positions,2021-02-09,train,winter-alpha,no-reversion,1,0.3906,0.6094,-2.644,-0.069,-1.0748,0,-1.0748
current replay from positions,2021-02-10,train,winter-alpha,no-reversion,1,0.3906,0.6094,5.2376,-0.0808,1.9966,0,1.9966
current replay from positions,2021-02-11,train,winter-alpha,confirm-scaled,1.25,-0.3125,0.6875,-3.7788,0.2419,1.3472,0.0225,1.3247
current replay from positions,2021-02-12,train,winter-alpha,confirm-scaled,1.25,-0.3125,0.6875,2.2031,0.5314,-0.3231,0,-0.3231
