leg,issueDate,targetDate,entryTradeDate,exitTradeDate,direction,sourceId,thesisKind,leadDays,weightedAnomalyF,coveragePct,extremeCount,confidence,realizedMovePct
weather-follow,2021-05-01,2021-05-08,2021-05-03,2021-05-03,short,gfs-single,summer-cold-short,7,-5.275,0.566,3,0.4741,
weather-follow,2021-05-01,2021-05-08,2021-05-04,2021-05-04,short,gfs-single,summer-cold-short,7,-5.275,0.566,3,0.4741,
weather-follow,2021-05-01,2021-05-08,2021-05-05,2021-05-05,short,gfs-single,summer-cold-short,7,-5.275,0.566,3,0.4741,
weather-follow,2021-05-15,2021-05-22,2021-05-17,2021-05-17,long,gfs-single,summer-heat-long,7,13.355,0.7642,6,0.8148,
weather-follow,2021-05-15,2021-05-22,2021-05-18,2021-05-18,long,gfs-single,summer-heat-long,7,13.355,0.7642,6,0.8148,
weather-follow,2021-05-15,2021-05-22,2021-05-19,2021-05-19,long,gfs-single,summer-heat-long,7,13.355,0.7642,6,0.8148,
weather-follow,2021-05-18,2021-05-25,2021-05-20,2021-05-20,long,gfs-single,summer-heat-long,7,9.002,0.4811,5,0.7117,
weather-follow,2021-05-18,2021-05-25,2021-05-21,2021-05-21,long,gfs-single,summer-heat-long,7,9.002,0.4811,5,0.7117,
weather-follow,2021-05-19,2021-05-26,2021-05-24,2021-05-24,long,gfs-single,summer-heat-long,7,7.76,0.5,2,0.5544,
weather-follow,2021-05-21,2021-05-28,2021-05-25,2021-05-25,long,gfs-single,summer-heat-long,7,7.829,0.5377,1,0.5221,
weather-follow,2021-05-21,2021-05-28,2021-05-26,2021-05-26,long,gfs-single,summer-heat-long,7,7.829,0.5377,1,0.5221,
weather-follow,2021-05-31,2021-06-07,2021-06-01,2021-06-01,long,gfs-single,summer-heat-long,7,10.397,0.5849,5,0.7914,
weather-follow,2021-05-31,2021-06-07,2021-06-02,2021-06-02,long,gfs-single,summer-heat-long,7,10.397,0.5849,5,0.7914,
weather-follow,2021-05-31,2021-06-07,2021-06-03,2021-06-03,long,gfs-single,summer-heat-long,7,10.397,0.5849,5,0.7914,
weather-reversion,2021-05-31,2021-06-07,2021-06-04,2021-06-04,short,gfs-single,reversion-short,7,10.397,0.5849,5,0.7914,2.2814
weather-follow,2021-06-02,2021-06-09,2021-06-07,2021-06-07,long,gfs-single,summer-heat-long,7,9.263,0.4717,4,0.6889,
weather-follow,2021-06-06,2021-06-13,2021-06-08,2021-06-08,long,gfs-single,summer-heat-long,7,5.571,0.5,4,0.4867,
weather-follow,2021-06-06,2021-06-13,2021-06-09,2021-06-09,long,gfs-single,summer-heat-long,7,5.571,0.5,4,0.4867,
weather-follow,2021-06-30,2021-07-07,2021-07-01,2021-07-01,long,gfs-single,summer-heat-long,7,7.329,0.5377,2,0.5587,
weather-follow,2021-06-30,2021-07-07,2021-07-02,2021-07-02,long,gfs-single,summer-heat-long,7,7.329,0.5377,2,0.5587,
weather-follow,2021-06-30,2021-07-07,2021-07-06,2021-07-06,long,gfs-single,summer-heat-long,7,7.329,0.5377,2,0.5587,
weather-follow,2021-07-19,2021-07-26,2021-07-20,2021-07-20,long,gfs-single,summer-heat-long,7,9.036,0.5,3,0.6675,
weather-follow,2021-07-19,2021-07-26,2021-07-21,2021-07-21,long,gfs-single,summer-heat-long,7,9.036,0.5,3,0.6675,
weather-follow,2021-07-19,2021-07-26,2021-07-22,2021-07-22,long,gfs-single,summer-heat-long,7,9.036,0.5,3,0.6675,
weather-follow,2021-07-22,2021-07-29,2021-07-23,2021-07-23,long,gfs-single,summer-heat-long,7,8.416,0.4434,2,0.5396,
weather-follow,2021-07-22,2021-07-29,2021-07-26,2021-07-26,long,gfs-single,summer-heat-long,7,8.416,0.4434,2,0.5396,
weather-follow,2021-07-22,2021-07-29,2021-07-27,2021-07-27,long,gfs-single,summer-heat-long,7,8.416,0.4434,2,0.5396,
weather-follow,2021-08-02,2021-08-09,2021-08-03,2021-08-03,long,gfs-single,summer-heat-long,7,9.319,0.6321,1,0.6605,
weather-follow,2021-08-02,2021-08-09,2021-08-04,2021-08-04,long,gfs-single,summer-heat-long,7,9.319,0.6321,1,0.6605,
weather-follow,2021-08-04,2021-08-11,2021-08-05,2021-08-05,long,gfs-single,summer-heat-long,7,11.585,0.6981,5,0.8113,
weather-follow,2021-08-04,2021-08-11,2021-08-06,2021-08-06,long,gfs-single,summer-heat-long,7,11.585,0.6981,5,0.8113,
weather-follow,2021-08-04,2021-08-11,2021-08-09,2021-08-09,long,gfs-single,summer-heat-long,7,11.585,0.6981,5,0.8113,
weather-reversion,2021-08-04,2021-08-11,2021-08-10,2021-08-10,long,gfs-single,reversion-long,7,11.585,0.6981,5,0.8113,-2.8826
weather-follow,2021-08-07,2021-08-14,2021-08-11,2021-08-11,long,gfs-single,summer-heat-long,7,7.96,0.4906,2,0.5577,
weather-follow,2021-08-18,2021-08-25,2021-08-19,2021-08-19,long,gfs-single,summer-heat-long,7,8.078,0.5,1,0.507,
weather-follow,2021-08-18,2021-08-25,2021-08-20,2021-08-20,long,gfs-single,summer-heat-long,7,8.078,0.5,1,0.507,
weather-follow,2021-08-18,2021-08-25,2021-08-23,2021-08-23,long,gfs-single,summer-heat-long,7,8.078,0.5,1,0.507,
weather-follow,2021-08-20,2021-08-27,2021-08-24,2021-08-24,long,gfs-single,summer-heat-long,7,6.644,0.4245,2,0.4315,
weather-follow,2021-08-20,2021-08-27,2021-08-25,2021-08-25,long,gfs-single,summer-heat-long,7,6.644,0.4245,2,0.4315,
weather-reversion,2021-08-20,2021-08-27,2021-08-26,2021-08-26,short,gfs-single,reversion-short,7,6.644,0.4245,2,0.4315,2.003
weather-follow,2021-08-27,2021-09-03,2021-08-30,2021-08-30,short,gfs-single,summer-cold-short,7,-5.042,0.6792,3,0.5171,
