candidateId,eligible,trainValidationRank,architectureId,conflictPolicy,weatherResolutionPolicy,weatherResolutionKind,coldFollowStoragePolicy,coldFollowStorageMinSeasonDrawdownBcf,indexRiskMode,selectionEligible,overlayCap,overlayRiskMultiplier,effectiveOverlayCap,reversionLongScale,standaloneReversionScale,trainReturnPct,trainIndexReturnPct,trainEdgePct,trainSharpe,trainVolatilityPct,trainMaxDrawdownPct,validationReturnPct,validationIndexReturnPct,validationEdgePct,validationSharpe,validationVolatilityPct,validationMaxDrawdownPct,trainValidationColdLongReturnPct,trainValidationWarmShortReturnPct,trainValidationReversionLongReturnPct,trainValidationReversionShortReturnPct,holdoutReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allIndexReturnPct,allEdgePct,allVolatilityPct,allSharpe,allMaxDrawdownPct
ngas-alpha-short-fade-plus-cold-follow-vol-long-graded-shift-sizing-storage-drawdown-400bcf-risk-125,true,137.9441,parent-expert-blend,short-fade-plus-cold-follow-vol-long,graded-shift-sizing,graded-shift,storage-drawdown-400bcf,400,full-index-fallback,true,0.45,1.25,0.5625,1,1,79.07,33.7,45.37,1.02,19.64,-22.72,54.08,29.08,25,1.5,19.47,-14.33,27.45,16.35,21.43,22.73,34.32,10.94,23.38,2.3,-12.41,270.6,91.47,179.13,19.98,1.31,-22.72
ngas-alpha-short-fade-plus-cold-follow-vol-long-75-graded-shift-sizing-storage-drawdown-400bcf-risk-125,true,135.8251,parent-expert-blend,short-fade-plus-cold-follow-vol-long,graded-shift-sizing,graded-shift,storage-drawdown-400bcf,400,full-index-fallback,true,0.45,1.25,0.5625,0.75,1,79.99,33.7,46.29,1.03,19.58,-22.72,51.96,29.08,22.88,1.46,19.35,-14.34,26.96,16.35,20.32,22.73,33.78,10.94,22.84,2.27,-12.41,265.91,91.47,174.44,19.91,1.31,-22.72
ngas-alpha-short-fade-plus-cold-follow-vol-long-graded-shift-sizing-storage-drawdown-400bcf-risk-120,true,134.9576,parent-expert-blend,short-fade-plus-cold-follow-vol-long,graded-shift-sizing,graded-shift,storage-drawdown-400bcf,400,full-index-fallback,true,0.45,1.2,0.54,1,1,77.1,33.7,43.4,1.01,19.48,-22.82,53.03,29.08,23.95,1.48,19.33,-14.55,26.93,15.59,21.16,21.12,33.35,10.94,22.41,2.29,-12.03,261.39,91.47,169.92,19.78,1.3,-22.82
ngas-alpha-short-fade-plus-cold-follow-vol-long-50-graded-shift-sizing-storage-drawdown-400bcf-risk-125,true,133.6901,parent-expert-blend,short-fade-plus-cold-follow-vol-long,graded-shift-sizing,graded-shift,storage-drawdown-400bcf,400,full-index-fallback,true,0.45,1.25,0.5625,0.5,1,80.9,33.7,47.2,1.04,19.54,-22.72,49.86,29.08,20.78,1.42,19.26,-14.35,26.48,16.35,19.2,22.73,33.24,10.94,22.3,2.25,-12.41,261.2,91.47,169.73,19.85,1.3,-22.72
ngas-alpha-short-fade-plus-cold-follow-vol-long-75-graded-shift-sizing-storage-drawdown-400bcf-risk-120,true,133.0176,parent-expert-blend,short-fade-plus-cold-follow-vol-long,graded-shift-sizing,graded-shift,storage-drawdown-400bcf,400,full-index-fallback,true,0.45,1.2,0.54,0.75,1,77.97,33.7,44.27,1.02,19.43,-22.82,51.01,29.08,21.93,1.45,19.22,-14.56,26.47,15.59,20.1,21.12,32.83,10.94,21.89,2.27,-12.03,256.98,91.47,165.51,19.71,1.29,-22.82
ngas-alpha-short-fade-plus-cold-follow-vol-long-graded-shift-sizing-risk-125,false,132.9717,parent-expert-blend,short-fade-plus-cold-follow-vol-long,graded-shift-sizing,graded-shift,none,,full-index-fallback,true,0.45,1.25,0.5625,1,1,74.25,33.7,40.55,0.96,20.03,-24.55,54.23,29.08,25.15,1.48,19.75,-14.33,20,16.34,19.51,22.71,28.54,10.94,17.6,1.94,-12.41,245.42,91.47,153.95,20.34,1.23,-24.55
ngas-alpha-short-fade-plus-cold-follow-vol-long-75-graded-shift-sizing-risk-125,true,132.1477,parent-expert-blend,short-fade-plus-cold-follow-vol-long,graded-shift-sizing,graded-shift,none,,full-index-fallback,true,0.45,1.25,0.5625,0.75,1,76.05,33.7,42.35,0.98,19.94,-23.8,51.75,29.08,22.67,1.44,19.62,-14.34,19.89,16.34,18.75,22.71,28.02,10.94,17.08,1.91,-12.41,242.02,91.47,150.55,20.25,1.23,-23.8
ngas-alpha-short-fade-plus-cold-follow-vol-long-graded-shift-sizing-storage-drawdown-400bcf-risk-115,true,131.9881,parent-expert-blend,short-fade-plus-cold-follow-vol-long,graded-shift-sizing,graded-shift,storage-drawdown-400bcf,400,full-index-fallback,true,0.45,1.15,0.5175,1,1,75.14,33.7,41.44,0.99,19.33,-22.93,51.98,29.08,22.9,1.47,19.2,-14.77,26.41,14.84,20.9,19.51,32.38,10.94,21.44,2.29,-11.65,252.37,91.47,160.9,19.59,1.29,-22.93
ngas-alpha-short-fade-plus-cold-follow-vol-long-25-graded-shift-sizing-storage-drawdown-400bcf-risk-125,true,131.5576,parent-expert-blend,short-fade-plus-cold-follow-vol-long,graded-shift-sizing,graded-shift,storage-drawdown-400bcf,400,full-index-fallback,true,0.45,1.25,0.5625,0.25,1,81.8,33.7,48.1,1.05,19.52,-22.72,47.77,29.08,18.69,1.38,19.19,-14.36,26,16.35,18.07,22.73,32.69,10.94,21.75,2.22,-12.41,256.47,91.47,165,19.82,1.29,-22.72
ngas-alpha-short-fade-plus-cold-follow-vol-long-50-graded-shift-sizing-risk-125,true,131.1552,parent-expert-blend,short-fade-plus-cold-follow-vol-long,graded-shift-sizing,graded-shift,none,,full-index-fallback,true,0.45,1.25,0.5625,0.5,1,77.86,33.7,44.16,1,19.88,-23.04,49.3,29.08,20.22,1.39,19.51,-14.35,19.78,16.34,17.98,22.71,27.5,10.94,16.56,1.89,-12.41,238.57,91.47,147.1,20.17,1.22,-23.04
