validationRankOrder,id,featureSet,lambda,l1Ratio,coldThreshold,warmThreshold,validationRank,validationAllTotalReturnPct,validationAllSharpe,validationAllMaxDrawdownPct,validationAllWinRatePct,validationAllProfitFactor,validationAllTradeCount,validationAllAverageTradeReturnPct,validationColdTotalReturnPct,validationColdSharpe,validationColdMaxDrawdownPct,validationColdWinRatePct,validationColdProfitFactor,validationColdTradeCount,validationColdAverageTradeReturnPct,validationWarmTotalReturnPct,validationWarmSharpe,validationWarmMaxDrawdownPct,validationWarmWinRatePct,validationWarmProfitFactor,validationWarmTradeCount,validationWarmAverageTradeReturnPct,postAllTotalReturnPct,postAllSharpe,postAllMaxDrawdownPct,postAllWinRatePct,postAllProfitFactor,postAllTradeCount,postAllAverageTradeReturnPct,postColdTotalReturnPct,postColdSharpe,postColdMaxDrawdownPct,postColdWinRatePct,postColdProfitFactor,postColdTradeCount,postColdAverageTradeReturnPct,postWarmTotalReturnPct,postWarmSharpe,postWarmMaxDrawdownPct,postWarmWinRatePct,postWarmProfitFactor,postWarmTradeCount,postWarmAverageTradeReturnPct
1,weather-core__lambda-0.002__l1-0__both-050,weather-core,0.002,0,0.5,0.5,30.126,25.49,3.48,-2.92,80,9.26,5,4.83,24.4,10.44,0,100,99,2,11.59,0.88,0.49,-2.92,66.7,1.33,3,0.32,3.4,0.43,-17.38,50,1.35,6,1.16,-1.01,0.18,-17.38,50,1.14,2,1.22,4.45,1.84,-2.71,50,2.67,4,1.13
2,weather-core__lambda-0.002__l1-0__both-052,weather-core,0.002,0,0.52,0.52,30.126,25.49,3.48,-2.92,80,9.26,5,4.83,24.4,10.44,0,100,99,2,11.59,0.88,0.49,-2.92,66.7,1.33,3,0.32,3.4,0.43,-17.38,50,1.35,6,1.16,-1.01,0.18,-17.38,50,1.14,2,1.22,4.45,1.84,-2.71,50,2.67,4,1.13
3,weather-core__lambda-0.002__l1-0__both-055,weather-core,0.002,0,0.55,0.55,30.126,25.49,3.48,-2.92,80,9.26,5,4.83,24.4,10.44,0,100,99,2,11.59,0.88,0.49,-2.92,66.7,1.33,3,0.32,-1.38,0.13,-17.38,40,1.11,5,0.43,-1.01,0.18,-17.38,50,1.14,2,1.22,-0.37,-0.19,-2.71,33.3,0.89,3,-0.1
4,weather-core__lambda-0.002__l1-0__both-058,weather-core,0.002,0,0.58,0.58,30.126,25.49,3.48,-2.92,80,9.26,5,4.83,24.4,10.44,0,100,99,2,11.59,0.88,0.49,-2.92,66.7,1.33,3,0.32,-1.38,0.13,-17.38,40,1.11,5,0.43,-1.01,0.18,-17.38,50,1.14,2,1.22,-0.37,-0.19,-2.71,33.3,0.89,3,-0.1
5,weather-core__lambda-0.002__l1-0__both-060,weather-core,0.002,0,0.6,0.6,30.126,25.49,3.48,-2.92,80,9.26,5,4.83,24.4,10.44,0,100,99,2,11.59,0.88,0.49,-2.92,66.7,1.33,3,0.32,-1.38,0.13,-17.38,40,1.11,5,0.43,-1.01,0.18,-17.38,50,1.14,2,1.22,-0.37,-0.19,-2.71,33.3,0.89,3,-0.1
6,weather-core__lambda-0.002__l1-0__cold-055-warm-050,weather-core,0.002,0,0.55,0.5,30.126,25.49,3.48,-2.92,80,9.26,5,4.83,24.4,10.44,0,100,99,2,11.59,0.88,0.49,-2.92,66.7,1.33,3,0.32,3.4,0.43,-17.38,50,1.35,6,1.16,-1.01,0.18,-17.38,50,1.14,2,1.22,4.45,1.84,-2.71,50,2.67,4,1.13
7,weather-core__lambda-0.002__l1-0__cold-050-warm-055,weather-core,0.002,0,0.5,0.55,30.126,25.49,3.48,-2.92,80,9.26,5,4.83,24.4,10.44,0,100,99,2,11.59,0.88,0.49,-2.92,66.7,1.33,3,0.32,-1.38,0.13,-17.38,40,1.11,5,0.43,-1.01,0.18,-17.38,50,1.14,2,1.22,-0.37,-0.19,-2.71,33.3,0.89,3,-0.1
8,weather-core__lambda-0.002__l1-0__cold-060-warm-055,weather-core,0.002,0,0.6,0.55,30.126,25.49,3.48,-2.92,80,9.26,5,4.83,24.4,10.44,0,100,99,2,11.59,0.88,0.49,-2.92,66.7,1.33,3,0.32,-1.38,0.13,-17.38,40,1.11,5,0.43,-1.01,0.18,-17.38,50,1.14,2,1.22,-0.37,-0.19,-2.71,33.3,0.89,3,-0.1
9,weather-core__lambda-0.002__l1-0__cold-055-warm-060,weather-core,0.002,0,0.55,0.6,30.126,25.49,3.48,-2.92,80,9.26,5,4.83,24.4,10.44,0,100,99,2,11.59,0.88,0.49,-2.92,66.7,1.33,3,0.32,-1.38,0.13,-17.38,40,1.11,5,0.43,-1.01,0.18,-17.38,50,1.14,2,1.22,-0.37,-0.19,-2.71,33.3,0.89,3,-0.1
10,weather-core__lambda-0.002__l1-0.25__both-050,weather-core,0.002,0.25,0.5,0.5,30.126,25.49,3.48,-2.92,80,9.26,5,4.83,24.4,10.44,0,100,99,2,11.59,0.88,0.49,-2.92,66.7,1.33,3,0.32,3.4,0.43,-17.38,50,1.35,6,1.16,-1.01,0.18,-17.38,50,1.14,2,1.22,4.45,1.84,-2.71,50,2.67,4,1.13
