rank,id,sideMode,trainScore,robustnessPass,trainTotalReturnPct,trainMaxDrawdownPct,trainSharpe,trainProfitFactor,trainTrades,testTotalReturnPct,testMaxDrawdownPct,testSharpe,testProfitFactor,testTrades,fullTotalReturnPct,fullMaxDrawdownPct,fullSharpe,fullProfitFactor,fullTrades,fullColdTrades,fullColdTotalReturnPct,fullWarmTrades,fullWarmTotalReturnPct,coldMaxWeightedAnomalyF,coldMinCoveragePct,coldMinExtremeCount,warmMinWeightedAnomalyF,warmMinCoveragePct,warmMinExtremeCount
1,cold-long-coldA-8-coldC0p55-coldE0-warmA8-warmC0p6-warmE0,cold-long,28.2175,false,24.33,-10.75,2.19,3.27,4,-1.01,-17.38,0.18,1.14,2,23.08,-17.38,0.68,1.95,6,6,23.08,0,0,-8,0.55,0,8,0.6,0
2,cold-long-coldA-8-coldC0p55-coldE4-warmA8-warmC0p6-warmE0,cold-long,28.2175,false,24.33,-10.75,2.19,3.27,4,-1.01,-17.38,0.18,1.14,2,23.08,-17.38,0.68,1.95,6,6,23.08,0,0,-8,0.55,4,8,0.6,0
3,cold-long-coldA-8-coldC0p7-coldE0-warmA8-warmC0p6-warmE0,cold-long,18.9675,false,16.86,-10.75,1.6,2.67,4,-1.01,-17.38,0.18,1.14,2,15.69,-17.38,0.52,1.72,6,6,15.69,0,0,-8,0.7,0,8,0.6,0
4,cold-long-coldA-10-coldC0p55-coldE0-warmA8-warmC0p6-warmE0,cold-long,18.9675,false,16.86,-10.75,1.6,2.67,4,-1.01,-17.38,0.18,1.14,2,15.69,-17.38,0.52,1.72,6,6,15.69,0,0,-10,0.55,0,8,0.6,0
5,cold-long-coldA-10-coldC0p7-coldE0-warmA8-warmC0p6-warmE0,cold-long,18.9675,false,16.86,-10.75,1.6,2.67,4,-1.01,-17.38,0.18,1.14,2,15.69,-17.38,0.52,1.72,6,6,15.69,0,0,-10,0.7,0,8,0.6,0
6,cold-long-coldA-8-coldC0p7-coldE4-warmA8-warmC0p6-warmE0,cold-long,3.2475,false,4.36,-10.75,0.55,1.55,3,-1.01,-17.38,0.18,1.14,2,3.31,-17.38,0.22,1.3,5,5,3.31,0,0,-8,0.7,4,8,0.6,0
7,cold-long-coldA-10-coldC0p55-coldE4-warmA8-warmC0p6-warmE0,cold-long,3.2475,false,4.36,-10.75,0.55,1.55,3,-1.01,-17.38,0.18,1.14,2,3.31,-17.38,0.22,1.3,5,5,3.31,0,0,-10,0.55,4,8,0.6,0
8,cold-long-coldA-10-coldC0p7-coldE4-warmA8-warmC0p6-warmE0,cold-long,3.2475,false,4.36,-10.75,0.55,1.55,3,-1.01,-17.38,0.18,1.14,2,3.31,-17.38,0.22,1.3,5,5,3.31,0,0,-10,0.7,4,8,0.6,0
9,combined-coldA-8-coldC0p55-coldE0-warmA8-warmC0p6-warmE0,combined,-10.611,false,-2.21,-27.26,0.05,1.04,11,7.27,-20.75,0.58,1.41,9,4.9,-27.66,0.21,1.2,20,4,23.15,16,-14.81,-8,0.55,0,8,0.6,0
10,combined-coldA-8-coldC0p55-coldE4-warmA8-warmC0p6-warmE0,combined,-10.611,false,-2.21,-27.26,0.05,1.04,11,7.27,-20.75,0.58,1.41,9,4.9,-27.66,0.21,1.2,20,4,23.15,16,-14.81,-8,0.55,4,8,0.6,0
11,combined-coldA-8-coldC0p55-coldE0-warmA10-warmC0p6-warmE0,combined,-12.0745,false,-3.3,-28.07,0.02,1.01,11,7.27,-20.75,0.58,1.41,9,3.73,-28.47,0.2,1.18,20,5,9.91,15,-5.62,-8,0.55,0,10,0.6,0
12,combined-coldA-8-coldC0p55-coldE4-warmA10-warmC0p6-warmE0,combined,-12.0745,false,-3.3,-28.07,0.02,1.01,11,7.27,-20.75,0.58,1.41,9,3.73,-28.47,0.2,1.18,20,5,9.91,15,-5.62,-8,0.55,4,10,0.6,0
13,combined-coldA-8-coldC0p55-coldE0-warmA10-warmC0p6-warmE4,combined,-14.7445,false,-5.73,-28.07,-0.07,0.95,10,7.27,-20.75,0.58,1.41,9,1.13,-30.27,0.16,1.14,19,5,9.91,14,-7.99,-8,0.55,0,10,0.6,4
14,combined-coldA-8-coldC0p55-coldE4-warmA10-warmC0p6-warmE4,combined,-14.7445,false,-5.73,-28.07,-0.07,0.95,10,7.27,-20.75,0.58,1.41,9,1.13,-30.27,0.16,1.14,19,5,9.91,14,-7.99,-8,0.55,4,10,0.6,4
15,combined-coldA-8-coldC0p7-coldE0-warmA8-warmC0p6-warmE0,combined,-17.4165,false,-8.08,-28.19,-0.17,0.87,11,7.27,-20.75,0.58,1.41,9,-1.4,-32,0.11,1.1,20,4,15.75,16,-14.81,-8,0.7,0,8,0.6,0
16,combined-coldA-8-coldC0p7-coldE4-warmA8-warmC0p6-warmE0,combined,-17.4165,false,-8.08,-28.19,-0.17,0.87,11,7.27,-20.75,0.58,1.41,9,-1.4,-32,0.11,1.1,20,4,15.75,16,-14.81,-8,0.7,4,8,0.6,0
17,combined-coldA-10-coldC0p55-coldE0-warmA8-warmC0p6-warmE0,combined,-17.4165,false,-8.08,-28.19,-0.17,0.87,11,7.27,-20.75,0.58,1.41,9,-1.4,-32,0.11,1.1,20,4,15.75,16,-14.81,-10,0.55,0,8,0.6,0
18,combined-coldA-10-coldC0p55-coldE4-warmA8-warmC0p6-warmE0,combined,-17.4165,false,-8.08,-28.19,-0.17,0.87,11,7.27,-20.75,0.58,1.41,9,-1.4,-32,0.11,1.1,20,4,15.75,16,-14.81,-10,0.55,4,8,0.6,0
19,combined-coldA-10-coldC0p7-coldE0-warmA8-warmC0p6-warmE0,combined,-17.4165,false,-8.08,-28.19,-0.17,0.87,11,7.27,-20.75,0.58,1.41,9,-1.4,-32,0.11,1.1,20,4,15.75,16,-14.81,-10,0.7,0,8,0.6,0
20,combined-coldA-10-coldC0p7-coldE4-warmA8-warmC0p6-warmE0,combined,-17.4165,false,-8.08,-28.19,-0.17,0.87,11,7.27,-20.75,0.58,1.41,9,-1.4,-32,0.11,1.1,20,4,15.75,16,-14.81,-10,0.7,4,8,0.6,0
21,combined-coldA-8-coldC0p55-coldE0-warmA8-warmC0p6-warmE4,combined,-18.141,false,-9.11,-27.26,-0.18,0.87,11,7.27,-20.75,0.58,1.41,9,-2.5,-32.76,0.1,1.08,20,4,23.15,16,-20.82,-8,0.55,0,8,0.6,4
22,combined-coldA-8-coldC0p55-coldE4-warmA8-warmC0p6-warmE4,combined,-18.141,false,-9.11,-27.26,-0.18,0.87,11,7.27,-20.75,0.58,1.41,9,-2.5,-32.76,0.1,1.08,20,4,23.15,16,-20.82,-8,0.55,4,8,0.6,4
23,combined-coldA-12-coldC0p55-coldE0-warmA10-warmC0p6-warmE0,combined,-18.514,false,-11.11,-20.44,-0.46,0.67,10,7.27,-20.75,0.58,1.41,9,-4.65,-34.24,0.04,1.03,19,3,0.67,16,-5.28,-12,0.55,0,10,0.6,0
24,combined-coldA-12-coldC0p55-coldE4-warmA10-warmC0p6-warmE0,combined,-18.514,false,-11.11,-20.44,-0.46,0.67,10,7.27,-20.75,0.58,1.41,9,-4.65,-34.24,0.04,1.03,19,3,0.67,16,-5.28,-12,0.55,4,10,0.6,0
25,combined-coldA-12-coldC0p7-coldE0-warmA10-warmC0p6-warmE0,combined,-18.514,false,-11.11,-20.44,-0.46,0.67,10,7.27,-20.75,0.58,1.41,9,-4.65,-34.24,0.04,1.03,19,3,0.67,16,-5.28,-12,0.7,0,10,0.6,0
26,combined-coldA-12-coldC0p7-coldE4-warmA10-warmC0p6-warmE0,combined,-18.514,false,-11.11,-20.44,-0.46,0.67,10,7.27,-20.75,0.58,1.41,9,-4.65,-34.24,0.04,1.03,19,3,0.67,16,-5.28,-12,0.7,4,10,0.6,0
27,combined-coldA-8-coldC0p7-coldE0-warmA10-warmC0p6-warmE0,combined,-18.8065,false,-9.11,-28.99,-0.2,0.85,11,7.27,-20.75,0.58,1.41,9,-2.5,-32.76,0.09,1.08,20,5,3.31,15,-5.62,-8,0.7,0,10,0.6,0
28,combined-coldA-8-coldC0p7-coldE4-warmA10-warmC0p6-warmE0,combined,-18.8065,false,-9.11,-28.99,-0.2,0.85,11,7.27,-20.75,0.58,1.41,9,-2.5,-32.76,0.09,1.08,20,5,3.31,15,-5.62,-8,0.7,4,10,0.6,0
29,combined-coldA-10-coldC0p55-coldE0-warmA10-warmC0p6-warmE0,combined,-18.8065,false,-9.11,-28.99,-0.2,0.85,11,7.27,-20.75,0.58,1.41,9,-2.5,-32.76,0.09,1.08,20,5,3.31,15,-5.62,-10,0.55,0,10,0.6,0
30,combined-coldA-10-coldC0p55-coldE4-warmA10-warmC0p6-warmE0,combined,-18.8065,false,-9.11,-28.99,-0.2,0.85,11,7.27,-20.75,0.58,1.41,9,-2.5,-32.76,0.09,1.08,20,5,3.31,15,-5.62,-10,0.55,4,10,0.6,0
31,combined-coldA-10-coldC0p7-coldE0-warmA10-warmC0p6-warmE0,combined,-18.8065,false,-9.11,-28.99,-0.2,0.85,11,7.27,-20.75,0.58,1.41,9,-2.5,-32.76,0.09,1.08,20,5,3.31,15,-5.62,-10,0.7,0,10,0.6,0
32,combined-coldA-10-coldC0p7-coldE4-warmA10-warmC0p6-warmE0,combined,-18.8065,false,-9.11,-28.99,-0.2,0.85,11,7.27,-20.75,0.58,1.41,9,-2.5,-32.76,0.09,1.08,20,5,3.31,15,-5.62,-10,0.7,4,10,0.6,0
33,combined-coldA-8-coldC0p55-coldE0-warmA8-warmC0p84-warmE0,combined,-18.9245,false,-8.99,-28.07,-0.45,0.79,8,-12.07,-20.75,-0.51,0.69,5,-19.97,-28.07,-0.36,0.74,13,5,9.91,8,-27.19,-8,0.55,0,8,0.84,0
34,combined-coldA-8-coldC0p55-coldE0-warmA8-warmC0p84-warmE4,combined,-18.9245,false,-8.99,-28.07,-0.45,0.79,8,-12.07,-20.75,-0.51,0.69,5,-19.97,-28.07,-0.36,0.74,13,5,9.91,8,-27.19,-8,0.55,0,8,0.84,4
35,combined-coldA-8-coldC0p55-coldE0-warmA10-warmC0p84-warmE0,combined,-18.9245,false,-8.99,-28.07,-0.45,0.79,8,-12.07,-20.75,-0.51,0.69,5,-19.97,-28.07,-0.36,0.74,13,5,9.91,8,-27.19,-8,0.55,0,10,0.84,0
36,combined-coldA-8-coldC0p55-coldE0-warmA10-warmC0p84-warmE4,combined,-18.9245,false,-8.99,-28.07,-0.45,0.79,8,-12.07,-20.75,-0.51,0.69,5,-19.97,-28.07,-0.36,0.74,13,5,9.91,8,-27.19,-8,0.55,0,10,0.84,4
37,combined-coldA-8-coldC0p55-coldE0-warmA12-warmC0p84-warmE0,combined,-18.9245,false,-8.99,-28.07,-0.45,0.79,8,-12.07,-20.75,-0.51,0.69,5,-19.97,-28.07,-0.36,0.74,13,5,9.91,8,-27.19,-8,0.55,0,12,0.84,0
38,combined-coldA-8-coldC0p55-coldE0-warmA12-warmC0p84-warmE4,combined,-18.9245,false,-8.99,-28.07,-0.45,0.79,8,-12.07,-20.75,-0.51,0.69,5,-19.97,-28.07,-0.36,0.74,13,5,9.91,8,-27.19,-8,0.55,0,12,0.84,4
