strategy,issueDate,targetDate,entryTradeDate,targetTradeDate,sourceId,thesisKind,leadDays,direction,weightedAnomalyF,coveragePct,coldCoveragePct,warmCoveragePct,extremeCount,confirmedSourceGroups,confirmedSourceFamilies,grossReturnPct,netReturnPct,rank
baseline-reproduction,2024-02-19,2024-02-26,2024-02-20,2024-02-26,gefs-mean,warm-short,7,short,14.634,0.84,0,0.84,9,gem|ncep,gefs|gem-global|gfs,-5.755,-5.819,21.40404
baseline-reproduction,2024-03-03,2024-03-13,2024-03-04,2024-03-13,gfs,warm-short,10,short,14.59,0.953,0,0.953,8,ecmwf|ncep,ecmwf-ifs|gefs|gfs,13.815,13.751,22.79679
baseline-reproduction,2024-11-03,2024-11-13,2024-11-04,2024-11-13,gfs,warm-short,10,short,19.738,0.962,0,0.962,15,ecmwf|ncep,ecmwf-aifs|gefs|gfs|graphcastgfs,-8.04,-8.104,31.86217
baseline-reproduction,2024-11-16,2024-11-26,2024-11-18,2024-11-26,ecmwf-ifs,warm-short,10,short,12.494,0.632,0,0.632,10,ecmwf|ncep,ecmwf-ifs|graphcastgfs,-9.673,-9.737,16.14415
baseline-reproduction,2024-12-07,2024-12-17,2024-12-09,2024-12-17,gfs,warm-short,10,short,14.903,0.896,0,0.896,11,ecmwf|ncep,ecmwf-ifs|gfs,-5.011,-5.075,23.00796
baseline-reproduction,2024-12-22,2024-12-31,2024-12-23,2024-12-31,gfs,warm-short,9,short,17.026,1,0,1,16,ecmwf|ncep,ecmwf-ifs|gefs|gfs|graphcastgfs,-7.55,-7.614,28.739
baseline-reproduction,2025-01-09,2025-01-16,2025-01-10,2025-01-16,gem-global,cold-long,7,long,-12.484,0.689,0.689,0,7,ecmwf|gem,ecmwf-ifs|gem-global,8.252,8.188,16.24348
baseline-reproduction,2025-01-26,2025-02-03,2025-01-27,2025-02-03,graphcastgfs,warm-short,8,short,17.586,0.84,0,0.84,15,ecmwf|ncep,ecmwf-ifs|gefs|graphcastgfs,-2.857,-2.921,26.5586
baseline-reproduction,2025-02-09,2025-02-18,2025-02-10,2025-02-18,gfs,cold-long,9,long,-15.049,0.84,0.84,0,7,ecmwf|ncep,ecmwf-ifs|gefs|gfs,15.047,14.983,21.56566
baseline-reproduction,2025-03-02,2025-03-12,2025-03-03,2025-03-12,gfs,warm-short,10,short,19.144,1,0,1,13,ecmwf|ncep,ecmwf-ifs|gefs|gfs|graphcastgfs,1.367,1.303,31.316
