strategy,split,side,totalReturnPct,maxDrawdownPct,sharpe,winRatePct,profitFactor,tradeCount
baseline-reproduction,full,combined,4.9,-27.66,0.21,45,1.2,20
baseline-reproduction,full,coldLong,23.15,-17.38,0.76,75,2.47,4
baseline-reproduction,full,warmShort,-14.81,-29.61,-0.3,37.5,0.76,16
baseline-reproduction,train,combined,-2.21,-27.26,0.05,45.5,1.04,11
baseline-reproduction,train,coldLong,24.4,0,10.44,100,99,2
baseline-reproduction,train,warmShort,-21.39,-29.38,-0.94,33.3,0.45,9
baseline-reproduction,test,combined,7.27,-20.75,0.58,44.4,1.41,9
baseline-reproduction,test,coldLong,-1.01,-17.38,0.18,50,1.14,2
baseline-reproduction,test,warmShort,8.36,-7.46,0.85,42.9,1.81,7
best-train-ranked,full,combined,4.9,-27.66,0.21,45,1.2,20
best-train-ranked,full,coldLong,23.15,-17.38,0.76,75,2.47,4
best-train-ranked,full,warmShort,-14.81,-29.61,-0.3,37.5,0.76,16
best-train-ranked,train,combined,-2.21,-27.26,0.05,45.5,1.04,11
best-train-ranked,train,coldLong,24.4,0,10.44,100,99,2
best-train-ranked,train,warmShort,-21.39,-29.38,-0.94,33.3,0.45,9
best-train-ranked,test,combined,7.27,-20.75,0.58,44.4,1.41,9
best-train-ranked,test,coldLong,-1.01,-17.38,0.18,50,1.14,2
best-train-ranked,test,warmShort,8.36,-7.46,0.85,42.9,1.81,7
best-robust-validation,full,combined,4.9,-27.66,0.21,45,1.2,20
best-robust-validation,full,coldLong,23.15,-17.38,0.76,75,2.47,4
best-robust-validation,full,warmShort,-14.81,-29.61,-0.3,37.5,0.76,16
best-robust-validation,train,combined,-2.21,-27.26,0.05,45.5,1.04,11
best-robust-validation,train,coldLong,24.4,0,10.44,100,99,2
best-robust-validation,train,warmShort,-21.39,-29.38,-0.94,33.3,0.45,9
best-robust-validation,test,combined,7.27,-20.75,0.58,44.4,1.41,9
best-robust-validation,test,coldLong,-1.01,-17.38,0.18,50,1.14,2
best-robust-validation,test,warmShort,8.36,-7.46,0.85,42.9,1.81,7
best-cold-long,full,combined,23.08,-17.38,0.68,66.7,1.95,6
best-cold-long,full,coldLong,23.08,-17.38,0.68,66.7,1.95,6
best-cold-long,full,warmShort,0,0,0,0,0,0
best-cold-long,train,combined,24.33,-10.75,2.19,75,3.27,4
best-cold-long,train,coldLong,24.33,-10.75,2.19,75,3.27,4
best-cold-long,train,warmShort,0,0,0,0,0,0
best-cold-long,test,combined,-1.01,-17.38,0.18,50,1.14,2
best-cold-long,test,coldLong,-1.01,-17.38,0.18,50,1.14,2
best-cold-long,test,warmShort,0,0,0,0,0,0
best-warm-short,full,combined,-4.81,-21.76,-0.04,47.1,0.96,17
best-warm-short,full,coldLong,0,0,0,0,0,0
best-warm-short,full,warmShort,-4.81,-21.76,-0.04,47.1,0.96,17
best-warm-short,train,combined,-12.59,-21.76,-0.54,44.4,0.61,9
best-warm-short,train,coldLong,0,0,0,0,0,0
best-warm-short,train,warmShort,-12.59,-21.76,-0.54,44.4,0.61,9
best-warm-short,test,combined,8.9,-7.46,0.9,50,1.86,8
best-warm-short,test,coldLong,0,0,0,0,0,0
best-warm-short,test,warmShort,8.9,-7.46,0.9,50,1.86,8
