candidateId,eligible,trainRank,volatilityLookbackSessions,reversalZThreshold,minVolatilityPct,maxVolatilityPct,trainTrades,trainReturnPct,trainSharpe,trainSortino,trainMaxDrawdownPct,trainProfitFactor,profitableTrainYears,trainYearCount,holdoutTrades,holdoutReturnPct,holdoutSharpe,holdoutSortino,holdoutMaxDrawdownPct,holdoutProfitFactor,allTrades,allReturnPct,allSharpe,allSortino,allMaxDrawdownPct
lb40-z0.8-vol2.5-6,true,146.9478,40,0.8,2.5,6,462,58.85,0.65,1.06,-6.33,1.38,13,17,34,6.38,1.74,3.17,-2.08,1.72,496,68.97,0.68,1.12,-6.33
lb20-z0.65-vol2.5-6,true,143.2154,20,0.65,2.5,6,563,61.6,0.6,0.98,-8.48,1.32,13,17,41,4.86,1.44,2.36,-2.08,1.51,604,69.46,0.62,1.01,-8.48
lb60-z0.5-vol2.5-4,true,142.793,60,0.5,2.5,4,448,50.83,0.63,1.06,-7.22,1.39,12,14,40,6.99,2.96,4.29,-2.08,1.82,488,61.37,0.68,1.13,-7.22
lb30-z0.8-vol2.5-6,true,142.0209,30,0.8,2.5,6,459,56.88,0.61,1,-6.43,1.36,13,17,35,6.24,1.79,2.95,-2.08,1.76,494,66.66,0.65,1.06,-6.43
lb20-z0.8-vol2.5-5,true,142.009,20,0.8,2.5,5,400,56.52,0.65,1.01,-6.14,1.43,12,17,33,2.07,0.71,1.08,-2.08,1.25,433,59.76,0.64,1,-6.14
lb30-z0.8-vol2.5-5,true,140.6714,30,0.8,2.5,5,405,53.96,0.63,0.99,-7.67,1.41,13,17,32,1.4,0.53,0.74,-2.08,1.18,437,56.12,0.61,0.96,-7.67
lb20-z0.65-vol2.5-8,true,140.3174,20,0.65,2.5,8,581,59.01,0.58,0.94,-9.11,1.29,13,17,45,9.78,2.4,4.5,-2.08,1.92,626,74.56,0.64,1.06,-9.11
lb20-z0.65-vol2.5-99,true,140.3174,20,0.65,2.5,99,581,59.01,0.58,0.94,-9.11,1.29,13,17,46,9.23,2.26,4.33,-2.08,1.83,627,73.68,0.64,1.05,-9.11
lb60-z0.65-vol2.5-4,true,139.6393,60,0.65,2.5,4,363,45.39,0.63,1.09,-6.53,1.44,11,14,34,5.47,2.5,3.5,-2.08,1.76,397,53.34,0.67,1.13,-6.53
lb40-z0.8-vol2.5-8,true,139.3635,40,0.8,2.5,8,466,55,0.61,0.98,-7.26,1.35,12,17,37,8.83,2.23,4.28,-2.08,1.93,503,68.69,0.67,1.09,-7.26
lb40-z0.8-vol2.5-99,true,139.3635,40,0.8,2.5,99,466,55,0.61,0.98,-7.26,1.35,12,17,37,8.83,2.23,4.28,-2.08,1.93,503,68.69,0.67,1.09,-7.26
lb40-z0.8-vol2-6,true,139.3216,40,0.8,2,6,636,54.88,0.56,0.88,-6.7,1.28,13,18,34,6.38,1.74,3.17,-2.08,1.72,670,64.76,0.59,0.94,-6.7
lb20-z0.65-vol2.5-5,true,139.2852,20,0.65,2.5,5,497,57.11,0.61,0.97,-9.48,1.35,12,17,41,4.86,1.44,2.36,-2.08,1.51,538,64.75,0.63,1.01,-9.48
lb30-z0.35-vol3-6,true,138.6515,30,0.35,3,6,627,60.77,0.58,0.93,-11.59,1.27,12,16,42,9.66,2.35,3.57,-3.18,1.89,669,76.3,0.64,1.02,-11.59
lb20-z0.65-vol0-6,true,138.5039,20,0.65,0,6,891,55.56,0.51,0.81,-10.37,1.21,13,18,43,4.92,1.42,2.37,-2.08,1.47,934,63.21,0.53,0.85,-10.37
lb20-z0.65-vol1-6,true,138.5039,20,0.65,1,6,891,55.56,0.51,0.81,-10.37,1.21,13,18,43,4.92,1.42,2.37,-2.08,1.47,934,63.21,0.53,0.85,-10.37
lb30-z0.8-vol3-8,true,138.3854,30,0.8,3,8,339,43.51,0.59,1.04,-6.43,1.39,14,16,30,10.02,2.94,5.03,-2.08,2.74,369,57.88,0.68,1.2,-6.43
lb30-z0.8-vol3-99,true,138.3854,30,0.8,3,99,339,43.51,0.59,1.04,-6.43,1.39,14,16,30,10.02,2.94,5.03,-2.08,2.74,369,57.88,0.68,1.2,-6.43
lb20-z0.8-vol2.5-6,true,137.0717,20,0.8,2.5,6,453,55,0.6,0.94,-7.32,1.36,12,17,33,2.07,0.71,1.08,-2.08,1.25,486,58.21,0.59,0.93,-7.32
lb20-z0.65-vol2-6,true,136.7997,20,0.65,2,6,732,53.46,0.51,0.82,-9.11,1.23,14,18,43,4.92,1.42,2.37,-2.08,1.47,775,61,0.54,0.86,-9.11
lb40-z0.8-vol0-6,true,136.7392,40,0.8,0,6,721,54.63,0.54,0.85,-8.78,1.25,12,18,34,6.38,1.74,3.17,-2.08,1.72,755,64.49,0.58,0.92,-8.78
lb40-z0.8-vol1-6,true,136.7392,40,0.8,1,6,721,54.63,0.54,0.85,-8.78,1.25,12,18,34,6.38,1.74,3.17,-2.08,1.72,755,64.49,0.58,0.92,-8.78
lb40-z0.65-vol2-4,true,136.4637,40,0.65,2,4,599,47.12,0.54,0.85,-7.4,1.28,14,18,31,5.02,2.43,3.53,-2.08,1.71,630,54.5,0.57,0.91,-7.4
lb20-z0.65-vol1.5-6,true,136.2756,20,0.65,1.5,6,855,53.52,0.5,0.79,-10.06,1.21,13,18,43,4.92,1.42,2.37,-2.08,1.47,898,61.07,0.52,0.83,-10.06
lb40-z0.65-vol2-6,true,136.2079,40,0.65,2,6,779,51.07,0.49,0.78,-9.9,1.21,15,18,40,6.48,1.68,2.92,-2.11,1.61,819,60.86,0.52,0.85,-9.9
lb60-z0.8-vol2.5-5,true,135.9128,60,0.8,2.5,5,393,47.59,0.59,1,-7.45,1.38,12,16,35,6.61,2.25,3.87,-2.11,1.71,428,57.34,0.63,1.08,-7.45
lb40-z0.8-vol1.5-6,true,135.6243,40,0.8,1.5,6,717,53.6,0.53,0.84,-8.78,1.25,12,18,34,6.38,1.74,3.17,-2.08,1.72,751,63.39,0.57,0.91,-8.78
lb40-z0.65-vol2.5-4,true,135.4371,40,0.65,2.5,4,388,44.79,0.59,0.98,-6.53,1.4,12,17,31,5.02,2.43,3.53,-2.08,1.71,419,52.06,0.63,1.04,-6.53
lb60-z0.8-vol2.5-6,true,135.1088,60,0.8,2.5,6,437,49.59,0.57,0.97,-7.26,1.34,12,16,39,6.02,1.57,2.75,-2.11,1.57,476,58.59,0.61,1.03,-7.26
lb60-z0.8-vol2.5-8,true,135.1088,60,0.8,2.5,8,437,49.59,0.57,0.97,-7.26,1.34,12,16,41,7.66,1.88,3.47,-2.11,1.68,478,61.05,0.62,1.06,-7.26
lb60-z0.8-vol2.5-99,true,135.1088,60,0.8,2.5,99,437,49.59,0.57,0.97,-7.26,1.34,12,16,41,7.66,1.88,3.47,-2.11,1.68,478,61.05,0.62,1.06,-7.26
lb20-z0.65-vol0-8,true,134.9434,20,0.65,0,8,909,53.06,0.49,0.77,-12.86,1.2,13,18,47,9.84,2.37,4.5,-2.08,1.86,956,68.12,0.55,0.89,-12.86
lb20-z0.65-vol0-99,true,134.9434,20,0.65,0,99,909,53.06,0.49,0.77,-12.86,1.2,13,18,48,9.28,2.23,4.33,-2.08,1.78,957,67.27,0.55,0.88,-12.86
lb20-z0.65-vol1-8,true,134.9434,20,0.65,1,8,909,53.06,0.49,0.77,-12.86,1.2,13,18,47,9.84,2.37,4.5,-2.08,1.86,956,68.12,0.55,0.89,-12.86
lb20-z0.65-vol1-99,true,134.9434,20,0.65,1,99,909,53.06,0.49,0.77,-12.86,1.2,13,18,48,9.28,2.23,4.33,-2.08,1.78,957,67.27,0.55,0.88,-12.86
lb20-z0.8-vol2.5-8,true,134.823,20,0.8,2.5,8,464,52.96,0.58,0.91,-7.32,1.34,12,17,37,6.86,1.84,3.31,-2.08,1.74,501,63.45,0.62,0.99,-7.32
lb20-z0.8-vol2.5-99,true,134.823,20,0.8,2.5,99,464,52.96,0.58,0.91,-7.32,1.34,12,17,38,6.32,1.7,3.12,-2.08,1.65,502,62.62,0.61,0.98,-7.32
lb20-z0.65-vol2-8,true,134.6187,20,0.65,2,8,750,50.99,0.49,0.79,-9.11,1.21,14,18,47,9.84,2.37,4.5,-2.08,1.86,797,65.85,0.56,0.91,-9.11
lb20-z0.65-vol2-99,true,134.6187,20,0.65,2,99,750,50.99,0.49,0.79,-9.11,1.21,14,18,48,9.28,2.23,4.33,-2.08,1.78,798,65.01,0.55,0.9,-9.11
lb30-z0.8-vol2.5-8,true,134.59,30,0.8,2.5,8,466,51.94,0.57,0.92,-7.01,1.33,12,17,39,7.78,2.06,3.68,-2.08,1.82,505,63.76,0.62,1.01,-7.01
lb30-z0.8-vol2.5-99,true,134.59,30,0.8,2.5,99,466,51.94,0.57,0.92,-7.01,1.33,12,17,39,7.78,2.06,3.68,-2.08,1.82,505,63.76,0.62,1.01,-7.01
lb20-z0.65-vol0-5,true,134.4422,20,0.65,0,5,825,51.23,0.51,0.79,-10.1,1.22,12,18,43,4.92,1.42,2.37,-2.08,1.47,868,58.67,0.53,0.83,-10.1
lb20-z0.65-vol1-5,true,134.4422,20,0.65,1,5,825,51.23,0.51,0.79,-10.1,1.22,12,18,43,4.92,1.42,2.37,-2.08,1.47,868,58.67,0.53,0.83,-10.1
lb60-z0.8-vol0-4,true,134.3497,60,0.8,0,4,561,45.1,0.55,0.85,-7.53,1.3,13,16,31,4.07,1.9,2.77,-2.08,1.57,592,51.02,0.57,0.88,-7.53
lb60-z0.8-vol1-4,true,134.3497,60,0.8,1,4,561,45.1,0.55,0.85,-7.53,1.3,13,16,31,4.07,1.9,2.77,-2.08,1.57,592,51.02,0.57,0.88,-7.53
lb60-z0.35-vol2.5-4,true,134.2515,60,0.35,2.5,4,536,48.86,0.56,0.91,-9.36,1.3,12,14,47,8.28,3.26,4.94,-2.17,1.82,583,61.19,0.63,1.01,-9.36
lb40-z0.8-vol2-8,true,133.1183,40,0.8,2,8,640,51.13,0.52,0.81,-8.96,1.26,13,18,37,8.83,2.23,4.28,-2.08,1.93,677,64.48,0.58,0.92,-8.96
lb40-z0.8-vol2-99,true,133.1183,40,0.8,2,99,640,51.13,0.52,0.81,-8.96,1.26,13,18,37,8.83,2.23,4.28,-2.08,1.93,677,64.48,0.58,0.92,-8.96
lb20-z0.65-vol1.5-8,true,132.9374,20,0.65,1.5,8,873,51.05,0.48,0.76,-12.55,1.19,13,18,47,9.84,2.37,4.5,-2.08,1.86,920,65.91,0.54,0.88,-12.55
lb20-z0.65-vol1.5-99,true,132.9374,20,0.65,1.5,99,873,51.05,0.48,0.76,-12.55,1.19,13,18,48,9.28,2.23,4.33,-2.08,1.78,921,65.07,0.54,0.87,-12.55
lb20-z0.8-vol0-5,true,132.8156,20,0.8,0,5,669,46.68,0.51,0.78,-10,1.25,14,18,35,2.12,0.71,1.1,-2.08,1.24,704,49.79,0.5,0.78,-10
lb20-z0.8-vol1-5,true,132.8156,20,0.8,1,5,669,46.68,0.51,0.78,-10,1.25,14,18,35,2.12,0.71,1.1,-2.08,1.24,704,49.79,0.5,0.78,-10
lb60-z0.35-vol2-4,true,132.4971,60,0.35,2,4,840,50.95,0.49,0.75,-9.36,1.21,12,16,47,8.28,3.26,4.94,-2.17,1.82,887,63.45,0.55,0.83,-9.36
lb20-z0.65-vol1.5-5,true,132.3937,20,0.65,1.5,5,789,49.25,0.5,0.78,-10.1,1.22,12,18,43,4.92,1.42,2.37,-2.08,1.47,832,56.59,0.52,0.82,-10.1
lb20-z0.65-vol2-5,true,132.3445,20,0.65,2,5,666,49.19,0.51,0.81,-10.1,1.24,13,18,43,4.92,1.42,2.37,-2.08,1.47,709,56.52,0.54,0.85,-10.1
lb40-z0.65-vol2.5-6,true,131.9651,40,0.65,2.5,6,568,48.68,0.51,0.86,-8.76,1.26,13,17,40,6.48,1.68,2.92,-2.11,1.61,608,58.31,0.55,0.93,-8.76
lb40-z0.65-vol0-6,true,131.8925,40,0.65,0,6,881,46.73,0.44,0.71,-11.94,1.18,15,18,40,6.48,1.68,2.92,-2.11,1.61,921,56.24,0.48,0.78,-11.94
lb40-z0.65-vol1-6,true,131.8925,40,0.65,1,6,881,46.73,0.44,0.71,-11.94,1.18,15,18,40,6.48,1.68,2.92,-2.11,1.61,921,56.24,0.48,0.78,-11.94
lb40-z0.65-vol2-5,true,131.5816,40,0.65,2,5,697,47.61,0.49,0.77,-10.89,1.23,14,18,33,5.28,2.41,3.44,-2.08,1.73,730,55.39,0.52,0.83,-10.89
lb40-z0.8-vol0-8,true,131.4567,40,0.8,0,8,725,50.89,0.51,0.79,-10.98,1.23,12,18,37,8.83,2.23,4.28,-2.08,1.93,762,64.22,0.57,0.9,-10.98
lb40-z0.8-vol0-99,true,131.4567,40,0.8,0,99,725,50.89,0.51,0.79,-10.98,1.23,12,18,37,8.83,2.23,4.28,-2.08,1.93,762,64.22,0.57,0.9,-10.98
lb40-z0.8-vol1-8,true,131.4567,40,0.8,1,8,725,50.89,0.51,0.79,-10.98,1.23,12,18,37,8.83,2.23,4.28,-2.08,1.93,762,64.22,0.57,0.9,-10.98
lb40-z0.8-vol1-99,true,131.4567,40,0.8,1,99,725,50.89,0.51,0.79,-10.98,1.23,12,18,37,8.83,2.23,4.28,-2.08,1.93,762,64.22,0.57,0.9,-10.98
lb40-z0.65-vol1.5-6,true,131.3433,40,0.65,1.5,6,877,45.75,0.44,0.7,-11.94,1.18,15,18,40,6.48,1.68,2.92,-2.11,1.61,917,55.2,0.48,0.77,-11.94
lb30-z0.5-vol2.5-4,true,131.1398,30,0.5,2.5,4,437,44.94,0.55,0.86,-7.38,1.34,13,17,33,3.75,1.42,2.8,-1.66,1.55,470,50.37,0.57,0.9,-7.38
lb60-z0.8-vol1.5-4,true,131.0563,60,0.8,1.5,4,554,42.79,0.52,0.82,-7.53,1.29,13,16,31,4.07,1.9,2.77,-2.08,1.57,585,48.61,0.55,0.85,-7.53
lb30-z0.8-vol2-6,true,130.9714,30,0.8,2,6,622,45.45,0.49,0.76,-6.43,1.24,14,18,35,6.24,1.79,2.95,-2.08,1.76,657,54.52,0.53,0.83,-6.43
lb60-z0.65-vol2.5-6,true,130.4386,60,0.65,2.5,6,548,47.63,0.51,0.85,-9.73,1.26,13,16,44,6.12,1.46,2.17,-4.43,1.48,592,56.67,0.54,0.89,-9.73
lb60-z0.65-vol2.5-8,true,130.4386,60,0.65,2.5,8,548,47.63,0.51,0.85,-9.73,1.26,13,16,49,9.94,2.17,3.33,-4.43,1.72,597,62.3,0.58,0.96,-9.73
lb60-z0.65-vol2.5-99,true,130.4386,60,0.65,2.5,99,548,47.63,0.51,0.85,-9.73,1.26,13,16,49,9.94,2.17,3.33,-4.43,1.72,597,62.3,0.58,0.96,-9.73
lb40-z0.8-vol1.5-8,true,130.3442,40,0.8,1.5,8,721,49.88,0.5,0.78,-10.98,1.23,12,18,37,8.83,2.23,4.28,-2.08,1.93,758,63.12,0.56,0.89,-10.98
lb40-z0.8-vol1.5-99,true,130.3442,40,0.8,1.5,99,721,49.88,0.5,0.78,-10.98,1.23,12,18,37,8.83,2.23,4.28,-2.08,1.93,758,63.12,0.56,0.89,-10.98
lb40-z0.65-vol0-4,true,130.1911,40,0.65,0,4,701,42.9,0.48,0.77,-8.63,1.23,13,18,31,5.02,2.43,3.53,-2.08,1.71,732,50.07,0.52,0.82,-8.63
lb40-z0.65-vol1-4,true,130.1911,40,0.65,1,4,701,42.9,0.48,0.77,-8.63,1.23,13,18,31,5.02,2.43,3.53,-2.08,1.71,732,50.07,0.52,0.82,-8.63
lb60-z0.8-vol2-4,true,130.079,60,0.8,2,4,466,43.06,0.54,0.85,-5.95,1.33,12,16,31,4.07,1.9,2.77,-2.08,1.57,497,48.89,0.56,0.88,-5.95
lb40-z0.65-vol2-8,true,129.7882,40,0.65,2,8,783,47.41,0.46,0.73,-12.08,1.19,14,18,44,8.91,2.15,3.87,-2.11,1.79,827,60.55,0.51,0.83,-12.08
lb40-z0.65-vol2-99,true,129.7882,40,0.65,2,99,783,47.41,0.46,0.73,-12.08,1.19,14,18,44,8.91,2.15,3.87,-2.11,1.79,827,60.55,0.51,0.83,-12.08
lb30-z0.35-vol3-8,true,129.61,30,0.35,3,8,641,53.79,0.52,0.83,-11.68,1.24,11,16,53,11.43,2.5,3.97,-4.43,1.8,694,71.38,0.59,0.96,-11.68
lb30-z0.35-vol3-99,true,129.61,30,0.35,3,99,641,53.79,0.52,0.83,-11.68,1.24,11,16,53,11.43,2.5,3.97,-4.43,1.8,694,71.38,0.59,0.96,-11.68
lb30-z0.65-vol2.5-5,true,129.3104,30,0.65,2.5,5,490,50.01,0.54,0.85,-10.41,1.31,12,17,37,5.16,1.64,2.45,-2.08,1.61,527,57.74,0.57,0.9,-10.41
lb20-z0.8-vol0-6,true,129.2801,20,0.8,0,6,722,45.26,0.47,0.73,-11.18,1.22,14,18,35,2.12,0.71,1.1,-2.08,1.24,757,48.34,0.47,0.73,-11.18
lb20-z0.8-vol1-6,true,129.2801,20,0.8,1,6,722,45.26,0.47,0.73,-11.18,1.22,14,18,35,2.12,0.71,1.1,-2.08,1.24,757,48.34,0.47,0.73,-11.18
lb20-z0.8-vol1.5-5,true,129.1443,20,0.8,1.5,5,640,45.18,0.49,0.77,-9.38,1.25,13,18,35,2.12,0.71,1.1,-2.08,1.24,675,48.26,0.49,0.77,-9.38
lb40-z0.65-vol1.5-4,true,129.0816,40,0.65,1.5,4,697,41.94,0.47,0.76,-8.63,1.23,13,18,31,5.02,2.43,3.53,-2.08,1.71,728,49.06,0.51,0.81,-8.63
lb40-z0.65-vol2.5-5,true,128.9546,40,0.65,2.5,5,486,45.27,0.52,0.86,-10.89,1.29,13,17,33,5.28,2.41,3.44,-2.08,1.73,519,52.94,0.56,0.91,-10.89
lb30-z0.8-vol1.5-6,true,128.5099,30,0.8,1.5,6,711,43.38,0.46,0.71,-8.7,1.21,14,18,35,6.24,1.79,2.95,-2.08,1.76,746,52.32,0.5,0.78,-8.7
lb30-z0.8-vol2-5,true,128.4126,30,0.8,2,5,568,42.75,0.49,0.75,-7.67,1.26,14,18,32,1.4,0.53,0.74,-2.08,1.18,600,44.75,0.48,0.74,-7.67
lb20-z0.8-vol2-5,true,128.2624,20,0.8,2,5,540,43.81,0.5,0.78,-6.79,1.27,13,18,35,2.12,0.71,1.1,-2.08,1.24,575,46.86,0.5,0.78,-6.79
lb40-z0.65-vol0-5,true,128.1974,40,0.65,0,5,799,43.38,0.44,0.7,-10.89,1.19,14,18,33,5.28,2.41,3.44,-2.08,1.73,832,50.94,0.48,0.76,-10.89
lb40-z0.65-vol1-5,true,128.1974,40,0.65,1,5,799,43.38,0.44,0.7,-10.89,1.19,14,18,33,5.28,2.41,3.44,-2.08,1.73,832,50.94,0.48,0.76,-10.89
lb30-z0.8-vol0-6,true,128.0487,30,0.8,0,6,725,43.05,0.45,0.71,-9.3,1.21,14,18,35,6.24,1.79,2.95,-2.08,1.76,760,51.98,0.49,0.78,-9.3
lb30-z0.8-vol1-6,true,128.0487,30,0.8,1,6,725,43.05,0.45,0.71,-9.3,1.21,14,18,35,6.24,1.79,2.95,-2.08,1.76,760,51.98,0.49,0.78,-9.3
