strategyId,signalDate,entryTradeDate,exitTradeDate,direction,volatilityLookbackSessions,previousReturnPct,volatilityPct,reversalZ,entryOpen,exitClose,grossOpenToCloseReturnPct,grossReturnPct,netFullNotionalReturnPct,positionFraction,netReturnPct
volatility-mean-reversion,2008-11-04,2008-11-05,2008-11-05,short,40,5.9467,3.4489,1.7242,3904,3952.6399,1.2459,-1.2459,-1.3099,0.35,-0.4585
volatility-mean-reversion,2008-11-06,2008-11-07,2008-11-07,long,40,-4.2098,3.5795,-1.1761,3737.6001,3718.3999,-0.5137,-0.5137,-0.5777,0.35,-0.2022
volatility-mean-reversion,2008-11-10,2008-11-11,2008-11-11,short,40,6.1962,3.6006,1.7209,3886.0801,3680,-5.303,5.303,5.239,0.35,1.8337
volatility-mean-reversion,2008-11-11,2008-11-12,2008-11-12,long,40,-6.8071,3.7458,-1.8173,3603.2,3488,-3.1972,-3.1972,-3.2612,0.35,-1.1414
volatility-mean-reversion,2008-11-12,2008-11-13,2008-11-13,long,40,-5.2174,3.886,-1.3426,3485.4399,3520,0.9916,0.9916,0.9276,0.35,0.3246
volatility-mean-reversion,2008-11-20,2008-11-21,2008-11-21,long,40,-6.3229,3.6763,-1.7199,3473.9199,3499.52,0.7369,0.7369,0.6729,0.35,0.2355
volatility-mean-reversion,2008-11-21,2008-11-24,2008-11-24,short,40,3.092,3.7853,0.8168,3580.1599,3648,1.8949,-1.8949,-1.9589,0.35,-0.6856
volatility-mean-reversion,2008-11-24,2008-11-25,2008-11-25,short,40,4.2429,3.794,1.1183,3518.72,3417.6001,-2.8738,2.8738,2.8098,0.35,0.9834
volatility-mean-reversion,2008-11-25,2008-11-26,2008-11-26,long,40,-6.3158,3.7352,-1.6909,3449.6001,3628.8,5.1948,5.1948,5.1308,0.35,1.7958
volatility-mean-reversion,2008-11-26,2008-11-28,2008-11-28,short,40,6.1798,3.7674,1.6404,3520,3449.6001,-2,2,1.936,0.35,0.6776
volatility-mean-reversion,2008-11-28,2008-12-01,2008-12-01,long,40,-4.9383,3.855,-1.281,3443.2,3498.24,1.5985,1.5985,1.5345,0.35,0.5371
volatility-mean-reversion,2008-12-04,2008-12-05,2008-12-05,long,40,-5.725,3.7761,-1.5161,3111.6799,3070.72,-1.3163,-1.3163,-1.3803,0.35,-0.4831
volatility-mean-reversion,2008-12-05,2008-12-08,2008-12-08,long,40,-4.155,3.8744,-1.0724,2997.76,2978.5601,-0.6405,-0.6405,-0.7045,0.35,-0.2466
volatility-mean-reversion,2008-12-19,2008-12-22,2008-12-22,long,40,-4.05,3.8752,-1.0451,2841.6001,2863.3601,0.7658,0.7658,0.7018,0.35,0.2456
volatility-mean-reversion,2008-12-23,2008-12-24,2008-12-24,short,40,7.2418,3.8399,1.886,2996.48,3092.48,3.2038,-3.2038,-3.2678,0.35,-1.1437
volatility-mean-reversion,2008-12-29,2008-12-30,2008-12-30,short,40,4.7401,3.8113,1.2437,3144.96,3101.4399,-1.3838,1.3838,1.3198,0.35,0.4619
volatility-mean-reversion,2008-12-30,2008-12-31,2008-12-31,long,40,-3.811,3.7675,-1.0115,3033.6001,2965.76,-2.2363,-2.2363,-2.3003,0.35,-0.8051
volatility-mean-reversion,2008-12-31,2009-01-02,2009-01-02,long,40,-4.3747,3.7491,-1.1669,2978.5601,3175.6799,6.618,6.618,6.554,0.35,2.2939
volatility-mean-reversion,2009-01-02,2009-01-05,2009-01-05,short,40,7.0781,3.7921,1.8666,3111.6799,3229.4399,3.7845,-3.7845,-3.8485,0.35,-1.347
volatility-mean-reversion,2009-01-08,2009-01-09,2009-01-09,long,40,-4.6914,3.8206,-1.2279,2926.0801,2924.8,-0.0437,-0.0437,-0.1077,0.35,-0.0377
volatility-mean-reversion,2009-01-13,2009-01-14,2009-01-14,long,40,-5.8926,3.5127,-1.6775,2712.3201,2630.3999,-3.0203,-3.0203,-3.0843,0.35,-1.0795
volatility-mean-reversion,2009-01-14,2009-01-15,2009-01-15,long,40,-4.6846,3.6122,-1.2969,2612.48,2589.4399,-0.8819,-0.8819,-0.9459,0.35,-0.3311
volatility-mean-reversion,2009-01-23,2009-01-26,2009-01-26,long,40,-3.9481,3.5,-1.128,2360.3201,2356.48,-0.1627,-0.1627,-0.2267,0.35,-0.0793
volatility-mean-reversion,2009-01-29,2009-01-30,2009-01-30,short,40,2.7189,3.0673,0.8864,2432,2320.6399,-4.579,4.579,4.515,0.35,1.5802
volatility-mean-reversion,2009-01-30,2009-02-02,2009-02-02,long,40,-4.0233,3.0995,-1.2981,2297.6001,2426.8799,5.6267,5.6267,5.5627,0.35,1.947
volatility-mean-reversion,2009-02-02,2009-02-03,2009-02-03,short,40,4.578,3.1375,1.4592,2438.3999,2382.0801,-2.3097,2.3097,2.2457,0.35,0.786
volatility-mean-reversion,2009-02-04,2009-02-05,2009-02-05,short,40,2.633,3.1609,0.833,2446.0801,2461.4399,0.6279,-0.6279,-0.6919,0.35,-0.2422
volatility-mean-reversion,2009-02-06,2009-02-09,2009-02-09,short,40,3.3281,3.1317,1.0627,2515.2,2548.48,1.3232,-1.3232,-1.3872,0.35,-0.4855
volatility-mean-reversion,2009-02-10,2009-02-11,2009-02-11,long,40,-5.9769,3.1764,-1.8817,2426.8799,2417.9199,-0.3692,-0.3692,-0.4332,0.35,-0.1516
volatility-mean-reversion,2009-02-17,2009-02-18,2009-02-18,long,40,-6.2227,3.2356,-1.9232,2199.04,2229.76,1.397,1.397,1.333,0.35,0.4665
volatility-mean-reversion,2009-02-19,2009-02-20,2009-02-20,long,40,-3.3869,3.3578,-1.0087,2129.9199,2119.6799,-0.4808,-0.4808,-0.5448,0.35,-0.1907
volatility-mean-reversion,2009-02-24,2009-02-25,2009-02-25,short,40,2.7926,3.1087,0.8983,2199.04,2126.0801,-3.3178,3.3178,3.2538,0.35,1.1388
volatility-mean-reversion,2009-02-25,2009-02-26,2009-02-26,long,40,-3.9884,3.1524,-1.2652,2135.04,2160.6399,1.199,1.199,1.135,0.35,0.3973
volatility-mean-reversion,2009-02-27,2009-03-02,2009-03-02,short,40,2.6066,3.0881,0.8441,2261.76,2178.5601,-3.6785,3.6785,3.6145,0.35,1.2651
volatility-mean-reversion,2009-03-03,2009-03-04,2009-03-04,short,40,3.9953,3.0517,1.3092,2214.3999,2279.6799,2.948,-2.948,-3.012,0.35,-1.0542
volatility-mean-reversion,2009-03-05,2009-03-06,2009-03-06,long,40,-6.1202,2.8651,-2.1361,2119.6799,2072.3201,-2.2343,-2.2343,-2.2983,0.35,-0.8044
volatility-mean-reversion,2009-03-06,2009-03-09,2009-03-09,long,40,-3.1698,2.9832,-1.0626,2044.16,2024.96,-0.9393,-0.9393,-1.0033,0.35,-0.3511
volatility-mean-reversion,2009-03-12,2009-03-13,2009-03-13,short,40,5.8147,2.9443,1.9749,2063.3601,2067.2,0.1861,-0.1861,-0.2501,0.35,-0.0875
volatility-mean-reversion,2009-03-13,2009-03-16,2009-03-16,long,40,-2.4758,3.0169,-0.8207,2023.6801,2036.48,0.6325,0.6325,0.5685,0.35,0.199
volatility-mean-reversion,2009-03-18,2009-03-19,2009-03-19,long,40,-3.1171,2.9524,-1.0558,1966.08,2209.28,12.3698,12.3698,12.3058,0.35,4.307
volatility-mean-reversion,2009-03-19,2009-03-20,2009-03-20,short,40,13.329,2.9596,4.5036,2182.3999,2220.8,1.7595,-1.7595,-1.8235,0.35,-0.6382
volatility-mean-reversion,2009-03-26,2009-03-27,2009-03-27,long,40,-8.5634,3.6235,-2.3633,2007.04,1940.48,-3.3163,-3.3163,-3.3803,0.35,-1.1831
volatility-mean-reversion,2009-03-27,2009-03-30,2009-03-30,long,40,-6.5927,3.8665,-1.7051,1930.24,1945.6,0.7958,0.7958,0.7318,0.35,0.2561
volatility-mean-reversion,2009-11-02,2009-11-03,2009-11-03,long,40,-3.0185,3.7514,-0.8046,1267.2,1287.6801,1.6162,1.6162,1.5522,0.35,0.5433
volatility-mean-reversion,2009-11-04,2009-11-05,2009-11-05,long,40,-2.7833,3.4732,-0.8014,1250.5601,1262.08,0.9212,0.9212,0.8572,0.35,0.3
volatility-mean-reversion,2009-11-06,2009-11-09,2009-11-09,long,40,-3.3469,3.0322,-1.1038,1210.88,1228.8,1.4799,1.4799,1.4159,0.35,0.4956
volatility-mean-reversion,2009-11-10,2009-11-11,2009-11-11,long,40,-3.8542,2.9376,-1.312,1198.08,1184,-1.1752,-1.1752,-1.2392,0.35,-0.4337
volatility-mean-reversion,2009-11-16,2009-11-17,2009-11-17,short,40,3.7528,2.6758,1.4025,1210.88,1189.12,-1.797,1.797,1.733,0.35,0.6066
volatility-mean-reversion,2009-11-18,2009-11-19,2009-11-19,long,40,-3.3369,2.7108,-1.231,1144.3199,1144.3199,0,0,-0.064,0.35,-0.0224
volatility-mean-reversion,2009-11-25,2009-11-27,2009-11-27,short,40,6.1043,2.6662,2.2895,1177.6,1258.24,6.8478,-6.8478,-6.9118,0.35,-2.4191
volatility-mean-reversion,2009-11-27,2009-11-30,2009-11-30,short,40,2.8243,2.8709,0.9837,1187.84,1171.2,-1.4009,1.4009,1.3369,0.35,0.4679
volatility-mean-reversion,2009-11-30,2009-12-01,2009-12-01,long,40,-6.9176,2.7655,-2.5014,1153.28,1157.12,0.333,0.333,0.269,0.35,0.0941
volatility-mean-reversion,2009-12-02,2009-12-03,2009-12-03,long,40,-3.7611,2.6833,-1.4017,1103.36,1089.28,-1.2761,-1.2761,-1.3401,0.35,-0.469
volatility-mean-reversion,2009-12-03,2009-12-04,2009-12-04,long,40,-2.1839,2.714,-0.8047,1117.4399,1105.92,-1.0309,-1.0309,-1.0949,0.35,-0.3832
volatility-mean-reversion,2009-12-07,2009-12-08,2009-12-08,short,40,6.713,2.723,2.4653,1199.36,1200.64,0.1067,-0.1067,-0.1707,0.35,-0.0598
volatility-mean-reversion,2009-12-09,2009-12-10,2009-12-10,long,40,-2.8785,2.9274,-0.9833,1172.48,1248,6.441,6.441,6.377,0.35,2.232
volatility-mean-reversion,2009-12-10,2009-12-11,2009-12-11,short,40,7.0253,2.8884,2.4322,1251.84,1224.96,-2.1472,2.1472,2.0832,0.35,0.7291
volatility-mean-reversion,2009-12-14,2009-12-15,2009-12-15,short,40,2.7168,3.087,0.8801,1278.72,1299.2,1.6016,-1.6016,-1.6656,0.35,-0.583
volatility-mean-reversion,2009-12-15,2009-12-16,2009-12-16,short,40,3.2553,3.076,1.0583,1300.48,1287.6801,-0.9842,0.9842,0.9202,0.35,0.3221
volatility-mean-reversion,2009-12-17,2009-12-18,2009-12-18,short,40,3.9761,3.088,1.2876,1370.88,1359.36,-0.8403,0.8403,0.7763,0.35,0.2717
volatility-mean-reversion,2009-12-24,2009-12-28,2009-12-28,long,40,-3.5514,3.0948,-1.1475,1386.24,1388.8,0.1847,0.1847,0.1207,0.35,0.0422
volatility-mean-reversion,2009-12-28,2009-12-29,2009-12-29,short,40,5.1357,3.0686,1.6736,1386.24,1354.24,-2.3084,2.3084,2.2444,0.35,0.7855
volatility-mean-reversion,2009-12-31,2010-01-04,2010-01-04,long,40,-2.6087,3.1653,-0.8242,1351.6801,1361.92,0.7576,0.7576,0.6936,0.35,0.2428
