candidateId,eligible,trainValidationRank,architectureId,sourceSetId,sizingMode,anomalyThreshold,coverageThreshold,minConfidence,weatherFraction,reversionFraction,followHoldDays,reversionHoldDays,minRealizedMovePct,signals,events,overlayDays,fallbackDays,trainReturnPct,trainIndexReturnPct,trainEdgePct,trainSharpe,trainMaxDrawdownPct,profitableTrainYears,trainYearCount,validationReturnPct,validationIndexReturnPct,validationEdgePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allIndexReturnPct,allEdgePct,allSharpe,allMaxDrawdownPct
fade-only-gfs-gefs-core-a5-c0.5-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-fixed,true,88.3231,fade-only,gfs-gefs-core,fixed,5,0.5,0.5,0.25,0.2,3,2,2,427,339,358,1004,27.95,33.7,-5.75,0.5,-28.12,3,4,63.98,29.08,34.9,1.8,-14.94,11.21,10.94,0.27,1.16,-10.93,133.32,91.47,41.85,0.95,-28.12
fade-only-gfs-gefs-core-a5-c0.5-q0.5-wf0.4-rf0.2-fh3-rh2-mv2-fixed,true,88.3231,fade-only,gfs-gefs-core,fixed,5,0.5,0.5,0.4,0.2,3,2,2,427,339,358,1004,27.95,33.7,-5.75,0.5,-28.12,3,4,63.98,29.08,34.9,1.8,-14.94,11.21,10.94,0.27,1.16,-10.93,133.32,91.47,41.85,0.95,-28.12
fade-only-gfs-gefs-core-a5-c0.5-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-confidence-scaled,true,87.4271,fade-only,gfs-gefs-core,confidence-scaled,5,0.5,0.5,0.25,0.2,3,2,2,427,339,358,1004,27.18,33.7,-6.52,0.49,-28.52,3,4,63.98,29.08,34.9,1.8,-14.94,11.19,10.94,0.25,1.16,-10.93,131.88,91.47,40.41,0.94,-28.52
fade-only-gfs-gefs-core-a5-c0.5-q0.5-wf0.4-rf0.2-fh3-rh2-mv2-confidence-scaled,true,87.4271,fade-only,gfs-gefs-core,confidence-scaled,5,0.5,0.5,0.4,0.2,3,2,2,427,339,358,1004,27.18,33.7,-6.52,0.49,-28.52,3,4,63.98,29.08,34.9,1.8,-14.94,11.19,10.94,0.25,1.16,-10.93,131.88,91.47,40.41,0.94,-28.52
fade-only-gfs-gefs-core-a5-c0.5-q0.35-wf0.25-rf0.2-fh3-rh2-mv2-confidence-scaled,true,86.3884,fade-only,gfs-gefs-core,confidence-scaled,5,0.5,0.35,0.25,0.2,3,2,2,433,344,361,1001,26.12,33.7,-7.58,0.48,-29.12,3,4,63.93,29.08,34.85,1.8,-14.94,11.19,10.94,0.25,1.16,-10.93,129.88,91.47,38.41,0.93,-29.12
fade-only-gfs-gefs-core-a5-c0.5-q0.35-wf0.4-rf0.2-fh3-rh2-mv2-confidence-scaled,true,86.3884,fade-only,gfs-gefs-core,confidence-scaled,5,0.5,0.35,0.4,0.2,3,2,2,433,344,361,1001,26.12,33.7,-7.58,0.48,-29.12,3,4,63.93,29.08,34.85,1.8,-14.94,11.19,10.94,0.25,1.16,-10.93,129.88,91.47,38.41,0.93,-29.12
fade-only-gfs-gefs-core-a5-c0.5-q0.35-wf0.25-rf0.2-fh3-rh2-mv2-fixed,true,85.5549,fade-only,gfs-gefs-core,fixed,5,0.5,0.35,0.25,0.2,3,2,2,433,344,361,1001,25.5,33.7,-8.2,0.47,-29.5,3,4,63.86,29.08,34.78,1.8,-14.94,11.21,10.94,0.27,1.16,-10.93,128.69,91.47,37.22,0.93,-29.5
fade-only-gfs-gefs-core-a5-c0.5-q0.35-wf0.4-rf0.2-fh3-rh2-mv2-fixed,true,85.5549,fade-only,gfs-gefs-core,fixed,5,0.5,0.35,0.4,0.2,3,2,2,433,344,361,1001,25.5,33.7,-8.2,0.47,-29.5,3,4,63.86,29.08,34.78,1.8,-14.94,11.21,10.94,0.27,1.16,-10.93,128.69,91.47,37.22,0.93,-29.5
follow-and-fade-ncep-complex-a8-c0.5-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-confidence-scaled,true,75.312,follow-and-fade,ncep-complex,confidence-scaled,8,0.5,0.5,0.25,0.2,3,2,2,442,795,488,874,60.54,33.7,26.84,0.86,-25.47,3,4,31.72,29.08,2.64,1.01,-16.74,-0.6,10.94,-11.54,0.05,-16.17,110.19,91.47,18.72,0.81,-25.47
follow-and-fade-ncep-complex-a8-c0.5-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-fixed,true,75.304,follow-and-fade,ncep-complex,fixed,8,0.5,0.5,0.25,0.2,3,2,2,442,795,488,874,60.53,33.7,26.83,0.86,-25.47,3,4,31.72,29.08,2.64,1.01,-16.74,-0.6,10.94,-11.54,0.05,-16.17,110.18,91.47,18.71,0.81,-25.47
follow-and-fade-ncep-complex-a8-c0.5-q0.35-wf0.25-rf0.2-fh3-rh2-mv2-confidence-scaled,true,74.7191,follow-and-fade,ncep-complex,confidence-scaled,8,0.5,0.35,0.25,0.2,3,2,2,443,797,489,873,59.86,33.7,26.16,0.85,-25.47,3,4,31.72,29.08,2.64,1.01,-16.74,-0.6,10.94,-11.54,0.05,-16.17,109.3,91.47,17.83,0.8,-25.47
follow-and-fade-ncep-complex-a8-c0.5-q0.35-wf0.25-rf0.2-fh3-rh2-mv2-fixed,true,73.9451,follow-and-fade,ncep-complex,fixed,8,0.5,0.35,0.25,0.2,3,2,2,443,797,489,873,59.03,33.7,25.33,0.84,-25.47,3,4,31.72,29.08,2.64,1.01,-16.74,-0.6,10.94,-11.54,0.05,-16.17,108.21,91.47,16.74,0.8,-25.47
follow-and-fade-ncep-complex-a8-c0.5-q0.5-wf0.25-rf0.2-fh3-rh2-mv4-fixed,true,73.8102,follow-and-fade,ncep-complex,fixed,8,0.5,0.5,0.25,0.2,3,2,4,442,696,477,885,64.69,33.7,30.99,0.9,-25.47,3,4,30.67,29.08,1.59,0.98,-19.42,0.22,10.94,-10.72,0.12,-15.65,115.67,91.47,24.2,0.83,-25.47
follow-and-fade-ncep-complex-a8-c0.5-q0.5-wf0.25-rf0.2-fh3-rh2-mv4-confidence-scaled,true,73.7862,follow-and-fade,ncep-complex,confidence-scaled,8,0.5,0.5,0.25,0.2,3,2,4,442,696,477,885,64.66,33.7,30.96,0.9,-25.47,3,4,30.67,29.08,1.59,0.98,-19.42,0.22,10.94,-10.72,0.12,-15.65,115.64,91.47,24.17,0.83,-25.47
follow-and-fade-ncep-complex-a8-c0.5-q0.35-wf0.25-rf0.2-fh3-rh2-mv4-confidence-scaled,true,73.1812,follow-and-fade,ncep-complex,confidence-scaled,8,0.5,0.35,0.25,0.2,3,2,4,443,698,478,884,63.96,33.7,30.26,0.89,-25.47,3,4,30.67,29.08,1.59,0.98,-19.42,0.22,10.94,-10.72,0.12,-15.65,114.72,91.47,23.25,0.83,-25.47
follow-and-fade-ncep-complex-a8-c0.5-q0.35-wf0.25-rf0.2-fh3-rh2-mv4-fixed,true,72.4152,follow-and-fade,ncep-complex,fixed,8,0.5,0.35,0.25,0.2,3,2,4,443,698,478,884,63.14,33.7,29.44,0.88,-25.47,3,4,30.67,29.08,1.59,0.98,-19.42,0.22,10.94,-10.72,0.12,-15.65,113.65,91.47,22.18,0.82,-25.47
fade-only-ncep-complex-a5-c0.5-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-fixed,true,71.1955,fade-only,ncep-complex,fixed,5,0.5,0.5,0.25,0.2,3,2,2,472,381,385,977,27.95,33.7,-5.75,0.5,-28.12,3,4,53.45,29.08,24.37,1.57,-15.72,17.29,10.94,6.35,1.66,-8.67,130.28,91.47,38.81,0.93,-28.12
fade-only-ncep-complex-a5-c0.5-q0.5-wf0.4-rf0.2-fh3-rh2-mv2-fixed,true,71.1955,fade-only,ncep-complex,fixed,5,0.5,0.5,0.4,0.2,3,2,2,472,381,385,977,27.95,33.7,-5.75,0.5,-28.12,3,4,53.45,29.08,24.37,1.57,-15.72,17.29,10.94,6.35,1.66,-8.67,130.28,91.47,38.81,0.93,-28.12
follow-and-fade-ncep-complex-a5-c0.35-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-fixed,true,70.6437,follow-and-fade,ncep-complex,fixed,5,0.35,0.5,0.25,0.2,3,2,2,577,1050,532,830,49.63,33.7,15.93,0.74,-32.04,3,4,32.64,29.08,3.56,1.03,-16.57,-1.51,10.94,-12.45,-0.02,-16.93,95.47,91.47,4,0.74,-32.04
fade-only-ncep-complex-a5-c0.5-q0.5-wf0.25-rf0.2-fh3-rh2-mv2-confidence-scaled,true,70.4535,fade-only,ncep-complex,confidence-scaled,5,0.5,0.5,0.25,0.2,3,2,2,472,381,385,977,27.18,33.7,-6.52,0.49,-28.52,3,4,53.49,29.08,24.41,1.58,-15.72,17.29,10.94,6.35,1.66,-8.67,128.95,91.47,37.48,0.92,-28.52
fade-only-ncep-complex-a5-c0.5-q0.5-wf0.4-rf0.2-fh3-rh2-mv2-confidence-scaled,true,70.4535,fade-only,ncep-complex,confidence-scaled,5,0.5,0.5,0.4,0.2,3,2,2,472,381,385,977,27.18,33.7,-6.52,0.49,-28.52,3,4,53.49,29.08,24.41,1.58,-15.72,17.29,10.94,6.35,1.66,-8.67,128.95,91.47,37.48,0.92,-28.52
