issueDate,targetDate,leadDays,windowId,modelId,locationId,region,weight,forecastMeanF,normalMeanF,forecastAnomalyF,sampledValidHoursUtc,nearestGridLatitude,nearestGridLongitude,source
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,minneapolis,Upper Midwest,0.07,31.46,13.8,17.66,0,45,-93.25,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,chicago,Great Lakes,0.09,40.82,28.213,12.607,0,42,-87.75,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,detroit,Great Lakes,0.06,38.48,24.119,14.361,0,42.25,-83,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,cleveland,Great Lakes,0.05,39.56,27.924,11.636,0,41.5,-81.75,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,indianapolis,Ohio Valley,0.05,44.06,25.65,18.41,0,39.75,-86.25,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,st-louis,Midwest,0.05,52.7,29.395,23.305,0,38.75,-90.25,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,kansas-city,Central Plains,0.04,54.68,28.308,26.372,0,39,-94.5,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,nashville,Mid-South,0.05,53.78,35.734,18.046,0,36.25,-86.75,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,memphis,Mid-South,0.04,57.92,38.086,19.834,0,35.25,-90,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,atlanta,Southeast,0.07,60.98,39.965,21.015,0,33.75,-84.5,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,charlotte,Southeast,0.05,58.28,38.723,19.557,0,35.25,-80.75,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,raleigh,Southeast,0.04,57.56,37.06,20.5,0,35.75,-78.75,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,washington-dc,Mid-Atlantic,0.07,49.46,32.025,17.435,0,39,-77,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,philadelphia,Mid-Atlantic,0.06,45.86,30.417,15.443,0,40,-75.25,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,new-york,Northeast,0.11,42.44,34.455,7.985,0,40.75,-74,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,boston,Northeast,0.06,35.24,25.899,9.341,0,42.25,-71,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,dallas,Texas/Oklahoma fringe,0.05,68.72,41.999,26.721,0,32.75,-96.75,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-08,1,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,houston,Texas/Oklahoma fringe,0.05,70.88,49.602,21.278,0,29.75,-95.25,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-09,2,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,minneapolis,Upper Midwest,0.07,35.78,12.853,22.927,0,45,-93.25,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-09,2,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,chicago,Great Lakes,0.09,48.38,28.41,19.97,0,42,-87.75,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-09,2,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,detroit,Great Lakes,0.06,45.14,24.193,20.947,0,42.25,-83,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-09,2,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,cleveland,Great Lakes,0.05,49.28,28.674,20.606,0,41.5,-81.75,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
2026-01-07,2026-01-09,2,selloff,ncep-aigfs-025-00z-openmeteo-single-runs,indianapolis,Ohio Valley,0.05,55.22,26.052,29.168,0,39.75,-86.25,"Open-Meteo Single Runs API, model ncep_aigfs025, temperature_2m"
