date,precipitationMm,siteId,cropId,latitude,longitude,source
1981-01-01,21.79,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-02,10.31,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-03,11.9,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-04,3.8,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-05,1.84,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-06,1.25,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-07,2.71,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-08,8.67,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-09,8.3,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-10,26.36,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-11,14.53,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-12,38.19,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-13,19.57,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-14,21.16,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-15,24.94,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-16,13.3,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-17,1.54,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-18,0.85,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-19,0.75,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-20,2.25,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-21,4.93,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-22,8.37,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-23,15.44,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-24,5.6,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-25,8.59,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-26,13.87,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-27,11.37,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-28,2.32,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-29,1.11,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-30,0.74,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-01-31,2.94,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-01,5.29,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-02,1.12,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-03,0.08,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-04,0.54,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-05,0.52,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-06,1.13,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-07,1.5,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-08,2.2,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-09,7.82,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-10,8.36,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-11,9.72,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-12,7.72,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-13,1.84,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-14,0.07,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-15,0.01,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-16,0.07,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-17,0.32,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-18,0.04,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-19,0.75,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-20,0.25,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-21,0.35,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-22,0.01,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-23,0.01,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
1981-02-24,0.62,hf-coffee-cerrado,coffee,-18.8,-47,NASA POWER MERRA-2 PRECTOTCORR
