date,precipitationMm,siteId,cropId,latitude,longitude,source
1981-01-01,2.38,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-02,6.72,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-03,1.04,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-04,1.85,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-05,1.08,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-06,4.23,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-07,5.14,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-08,5.4,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-09,0.5,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-10,5.18,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-11,7.18,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-12,4.45,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-13,2.8,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-14,1.02,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-15,0.01,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-16,3.17,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-17,2.31,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-18,1.73,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-19,0.29,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-20,0.12,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-21,0.09,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-22,0.07,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-23,0.08,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-24,0.73,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-25,2.12,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-26,1.03,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-27,0.78,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-28,8.85,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-29,7.57,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-30,2.59,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-31,0.8,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-01,2.5,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-02,3.51,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-03,1.26,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-04,1.94,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-05,0.28,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-06,2.08,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-07,1.16,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-08,3.03,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-09,2.54,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-10,10.02,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-11,7.79,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-12,11.52,hf-coffee-colombia-south,coffee,2,-76.5,NASA POWER MERRA-2 PRECTOTCORR
