date,precipitationMm,temperatureC,maxTemperatureC,siteId,cropId,latitude,longitude,source
1981-01-01,1.29,19.76,26,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-02,0.01,20.5,28.05,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-03,0,22.6,30.7,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-04,0,23.5,33.48,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-05,31.1,24.66,30.86,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-06,0.11,25.67,31.81,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-07,0.03,23.51,31.79,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-08,2.69,23.58,32.18,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-09,15.59,24.43,30.57,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-10,4.12,25.81,33.61,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-11,0.32,25.46,31.77,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-12,1.12,22.95,29,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-13,0.26,25.54,34.9,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-14,16.8,25.74,32.41,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-15,1.51,23.66,30.74,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-16,9.81,22.19,29.17,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-17,3.09,24.08,33.74,hf-corn-cordoba,corn,-32,-63.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
