date,precipitationMm,temperatureC,maxTemperatureC,siteId,cropId,latitude,longitude,source
1981-01-01,15.48,22.14,25.75,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-02,20.24,20.6,23.13,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-03,19.89,19.6,23.13,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-04,6.57,20.9,26.52,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-05,4.19,22.15,27.34,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-06,4.08,21.61,27.23,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-07,0.43,21.63,27.29,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-08,6.11,22.25,27.66,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-09,2.98,23.08,27.98,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-10,5.25,21.86,25.58,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-11,18.25,20.76,23.88,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-12,11.78,20.92,24.71,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-13,8.19,20.77,24.37,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-14,13.16,21.13,24.39,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-15,7.06,21.08,24.62,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-16,5.87,21.17,25.8,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-17,6.85,21.98,26.75,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-18,5.3,22.72,27.54,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-19,0.62,22.27,27.44,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-20,1.64,22.61,26.91,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-21,5.23,22.28,27.13,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-22,18.25,22,26.15,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-23,15.87,21.85,25.75,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-24,9.92,21.53,25.35,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-25,3.5,21.76,26.55,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-26,1.99,21.73,27.21,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-27,10.49,20.72,24.76,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-28,4.66,20.93,25.39,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-29,3.09,20.74,26.08,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-30,4.33,21.88,27.14,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-31,13.31,22.22,27.06,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-01,6.83,22.23,26.71,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-02,9.76,22.54,27.07,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-03,1.62,22.08,27.61,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-04,0.84,22.15,28.15,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-05,0.02,21.75,27.45,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-06,0,21.81,28.15,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-07,6.32,21.81,28.09,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-08,1.84,22.19,27,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-09,4.66,21.41,25.88,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-10,4.52,22.17,27.62,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-11,13.35,21.53,26.06,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-12,11.29,21.52,26.61,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-13,3.86,21.24,26.83,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-14,0.05,21.03,26.51,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-15,0.82,20.67,26.18,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-16,0.11,20.49,26.32,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-17,0.22,20.91,26.48,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-18,0.64,22,27.5,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-19,0,21.41,27.12,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-20,0.39,20.63,26.93,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-21,0.3,21.23,26.97,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-22,0.2,21.21,27.24,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-23,2.58,21.14,26.83,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-24,0.31,21.39,27.64,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-25,0,21.82,28.31,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-26,0.01,22.06,28.12,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-27,0.52,22.2,28.13,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-28,0.22,22.52,28.87,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-01,0.7,22.88,29.05,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-02,2.3,23.17,29.22,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-03,17.29,23.73,28.84,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-04,6.67,24.24,29.67,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-05,8.21,24.42,28.9,hf-corn-goias,corn,-16,-49,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
