date,precipitationMm,temperatureC,maxTemperatureC,siteId,cropId,latitude,longitude,source
1981-01-01,0.28,-1.55,2.22,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-02,0,-5.04,-1.02,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-03,0,-5.94,-3.04,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-04,0.23,-13.68,-10.03,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-05,0.04,-13.17,-4.5,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-06,6.04,-4.51,-0.1,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-07,0.01,-10.65,-2.38,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-08,0.91,-9.53,-4.5,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-09,0.01,-8.16,-4.92,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-10,0,-12.69,-7.52,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-11,0.02,-11.33,-7.51,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-12,0.02,-12,-3.32,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-13,0.03,-4.61,0.76,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-14,0.12,-4.07,0.4,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-15,0.01,-3.7,1.36,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-16,0,-10.27,-4.31,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-17,0,-10.04,-2.74,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-18,0,-3.34,5.24,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-19,0,1.27,7.96,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-20,0.58,1.37,4,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-21,0.01,0.6,4.85,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-22,0,-0.57,6.3,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-23,0,0.52,7.79,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-24,0,2.69,11.25,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-25,0,3.46,9.88,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-26,0,4.57,8.44,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-27,0.02,0.85,6.51,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-28,0,-2.4,2.53,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-29,0,-4.35,-0.08,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-30,0.15,-3.47,0.54,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-31,0.02,-4.64,3.27,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-01,8.1,0.03,0.86,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-02,0.05,-11.41,-5.36,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-03,0,-13.62,-6.98,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-04,0,-13.1,-7.54,hf-corn-illinois,corn,40,-89,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
