date,precipitationMm,temperatureC,maxTemperatureC,siteId,cropId,latitude,longitude,source
1981-01-01,0.04,-0.91,0.58,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-02,0,-4.12,1.92,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-03,0,-9.86,-1.86,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-04,0.03,-13.3,-9.94,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-05,0.09,-11.34,-1.46,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-06,0.58,-3.59,0.62,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-07,0,-12.09,-6.48,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-08,0.01,-10.26,-6.28,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-09,0,-8.93,-6.85,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-10,0.02,-14.33,-10.1,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-11,0.02,-12.56,-5.93,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-12,0.04,-7.79,4.28,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-13,0,-3.38,1.54,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-14,0,-3.77,0.32,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-15,0,-7.88,-3.66,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-16,0,-12.42,-8.1,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-17,0,-9.32,3.21,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-18,0,-2.86,6.05,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-19,0,1.26,6.77,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-20,0,0.18,3.78,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-21,0,-2.97,4.31,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-22,0,-0.37,7.76,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-23,0,2.44,9.36,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-24,0,4.44,12.4,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-25,0,4.07,11.62,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-26,0,1.81,5.88,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-27,0.01,-1.81,0.68,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-28,0,-4.41,-0.1,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-29,0,-8.28,-3.12,hf-corn-iowa,corn,42,-93.5,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
