date,precipitationMm,temperatureC,maxTemperatureC,siteId,cropId,latitude,longitude,source
1981-01-01,7.7,23.94,26.63,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-02,11.83,22.62,23.64,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-03,35.44,22.56,25.12,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-04,3.27,23.33,27.35,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-05,1.29,24.27,28.49,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-06,3.27,24.74,29.04,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-07,0.19,25.15,29.19,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-08,0.12,24.43,29.38,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-09,0.1,25.24,29.52,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-10,0.65,25.53,29.51,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-11,13.09,24.68,27.43,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-12,21.86,24.33,27.53,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-13,4.93,24.59,27.72,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-14,3.23,24.26,27.32,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-15,3.79,23.41,26.04,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-16,11.59,24.09,28.22,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-17,11.78,24.35,27.01,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-18,12.33,24.14,26.51,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-19,5.37,24.39,28.43,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-20,4.98,24.66,28.76,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-21,15.05,24.55,28.07,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-22,8.8,24.15,25.55,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-23,38.35,23.94,27.12,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-24,6.47,23.88,27.78,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-25,20.99,24.01,27.96,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-26,8.28,24.16,27.48,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-27,6.04,24.31,27.87,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-28,4.85,24.4,28.49,hf-corn-mato-grosso,corn,-13.5,-56,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
