date,precipitationMm,temperatureC,maxTemperatureC,siteId,cropId,latitude,longitude,source
1981-01-01,1.73,22.43,29.31,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-02,1.46,21.7,26,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-03,0,21.95,31.45,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-04,0,25.41,34.37,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-05,12.37,25.5,33.67,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-06,3.61,24.41,30.21,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-07,0.05,21.68,28.18,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-08,6.56,22.44,31.39,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-09,28.18,24.81,30.49,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-10,13.85,24.61,30.52,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-11,2.02,23.18,26.41,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-12,0.01,23.85,30.21,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-13,0,24.95,32.91,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-14,0,21.33,27.47,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-15,0,19.79,27.78,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-16,3.77,21.25,27.92,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-17,63.26,23.08,29.29,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-18,11.38,24.25,31.13,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-19,4.91,23.52,25.27,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-20,4.55,21.77,27.27,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-21,0.12,17.25,24.43,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-22,0.29,19.96,26.47,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-23,0.24,22.33,28.27,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-24,34.76,23.34,28.5,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-25,9.2,23.39,28.34,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-26,8.14,24.55,28.11,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-27,12.43,25.41,28.45,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-28,1.2,23.29,28.52,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-29,0,21.27,27.19,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-30,4.07,20.44,26.86,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-31,7.72,21,26.08,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-01,1.27,22.88,28.16,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-02,0,23.71,30.68,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-03,0.15,22.8,30.05,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-04,0,18.68,25.02,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-05,0,18.9,26.23,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-06,0,20.58,28.66,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-07,57.51,23.21,28.84,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-08,9.24,20.08,25.02,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-09,0,21.09,26.3,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-10,13.53,20.22,26.62,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-11,8.54,23.67,29.56,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-12,7.89,20.9,27.06,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-13,0.07,18.75,23.5,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-14,0.06,14.6,20.22,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-15,0,17.85,26.43,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-16,0,18.22,25.73,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-17,3.98,20.53,28.44,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-18,0.81,21.57,26.93,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-19,0,20.8,28.85,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-20,0,24.09,30.45,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-21,0,25.3,32.06,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-22,0,26.81,32.92,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-23,1.5,27.01,33.02,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-24,1.03,27.76,33.75,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-25,0.56,27.15,31.74,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-26,0.38,26.35,32.84,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-27,0.99,28.05,32.51,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-28,0.03,22.86,29.02,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-01,6.5,22.02,31.45,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-02,1.56,24.64,29.54,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-03,0,21.09,27.2,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-04,0.02,20.79,30.48,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-05,7.73,21.52,27.93,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-06,2.83,19.01,23.08,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-07,0,18.14,24.92,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-08,0.13,20.62,28.07,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-09,3.03,24.29,32.4,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-10,0.31,25.35,32.28,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-11,3.2,22.34,26.11,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-12,15.64,19.43,25.63,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-13,3.85,21.63,28.31,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-14,4.03,21.84,26.67,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-15,0.04,18.46,24.58,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-16,0.41,14.35,20.69,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-17,2.45,17.14,26.33,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-18,9.73,17.52,20.85,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-19,0.04,16.08,23.67,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-20,0,17.35,24.78,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-21,2.53,18.48,26.98,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-22,2.31,18.95,25.17,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-23,0.69,19.02,25.73,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-24,0,15.74,23.86,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-25,0,18.92,28.89,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-26,1.48,22.84,29.13,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-27,15.78,22.08,28.43,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-28,9.25,21.92,26.24,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-29,0.12,20.64,25.71,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-30,0.1,17.81,23.98,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-31,1.08,14.82,21.94,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-01,11.86,17.93,25.74,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-02,1.83,19.64,26.11,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-03,3.35,18.63,23.34,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-04,0.07,18.27,25.55,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-05,11.89,18.63,23.18,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-06,12.75,17.22,18.92,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-07,14.23,20.46,26.63,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-08,31.57,20.08,22.82,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-09,0.5,20.92,24.64,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-10,1.84,20.91,25.18,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-11,0.51,21.31,25.86,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-12,0.03,20.92,25.97,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-13,0,17.43,21.85,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-14,0.04,14.4,17.79,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-15,0.38,15.27,21.14,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-16,0.2,16.21,21.41,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-17,0,16.52,23.24,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-18,0,16.77,22.91,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-19,0.45,15.46,19.17,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-20,0,14.08,20.33,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-21,4.93,15.96,19.38,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-22,0.94,17,22.16,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-23,0.06,14.31,18.29,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-24,0.01,11.14,18.4,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-25,0.74,13.58,20.2,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-26,0.54,14.71,21.24,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-27,12.38,13.66,16.78,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-28,1.57,12.71,18.05,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-29,0,13.6,19.65,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-30,0,14.16,22.24,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-01,0,13.21,20.35,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-02,0.01,15.84,21.72,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-03,0.17,18.34,24.52,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-04,0,19.4,26.16,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-05,2.32,19.86,22.03,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-06,4.25,15.06,20.44,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-07,9.18,20.57,26.89,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-08,11.1,19.74,22.66,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-09,0.03,14.03,18.77,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-10,9.77,14.17,19.72,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-11,10,17.01,21.22,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-12,8.64,19.6,24.08,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-13,4.45,16.71,19.18,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-05-14,0.04,13.52,20.47,hf-soy-buenos-aires,soybeans,-35,-60,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
