date,precipitationMm,temperatureC,maxTemperatureC,siteId,cropId,latitude,longitude,source
1981-01-01,0.04,-2.36,-0.19,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-02,0,-6.14,-1.81,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-03,0,-6.63,-4.46,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-04,0,-12.7,-9.07,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-05,0.12,-12.58,-5.98,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-06,7.32,-6.18,-1.46,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-07,0.35,-9.28,-1.9,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-08,0.16,-11.35,-5.67,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-09,0.04,-9.51,-6.88,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-10,0,-11.93,-7.68,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-11,0.05,-12.75,-9.55,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-12,0.08,-13.46,-4.93,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-13,0.06,-5.04,0.63,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-14,0.09,-4.84,-0.85,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-15,0.29,-3.91,0.69,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-16,0.15,-9.78,-3.84,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-17,0.03,-8.91,-4.07,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-18,0.01,-5.54,2.15,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-19,0,-1.86,5.52,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-20,0.21,0.68,3.03,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-21,0.38,-0.24,3.22,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-22,0,-1.25,4.19,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-23,0,-0.69,5.41,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-24,0,0.47,8.52,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-25,0,3.04,11.19,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-26,0,4.94,8,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-27,0,0.65,5.24,hf-soy-indiana,soybeans,40,-86,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
