date,precipitationMm,temperatureC,maxTemperatureC,siteId,cropId,latitude,longitude,source
1981-01-01,0.2,-3.58,-1.98,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-02,0,-9.28,-4.52,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-03,0.01,-16.03,-8.62,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-04,0,-17.51,-13,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-05,0,-12.78,-3.99,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-06,0.58,-6.28,-5.23,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-07,0.25,-17,-12.54,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-08,0.37,-14.69,-9.64,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-09,0.39,-13.33,-12.32,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-10,1.02,-18.2,-14.04,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-11,0.02,-17.24,-9.07,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-12,0,-8.82,2.98,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-13,0.05,-7.16,-2.41,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-14,0.1,-6.43,-2.12,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-15,0,-11.68,-7.89,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-16,0.01,-14.84,-10.23,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-17,0,-10.24,2.48,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-18,0,-4.97,3.66,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-19,0.01,-3.02,3.2,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-20,0.01,-5.19,-0.04,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-21,0,-5.72,3.54,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-22,0,-2.96,4.94,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-23,0,0.42,7.76,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-24,0,2.68,10.73,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-25,0.01,3.01,8.9,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-26,0.18,-0.65,1.17,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-27,0.18,-4.91,-1.95,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-28,0,-10.08,-7.83,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-29,0,-12.4,-5.78,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-30,0,-10.34,-1.42,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-01-31,1.31,-5.88,-1.25,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-01,5.78,-8.48,-4.33,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-02,0.02,-17.09,-14.26,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-03,0,-16.35,-10.28,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-04,0.08,-15.91,-11.97,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-05,0.62,-11.44,-3.39,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-06,0.16,-7.84,-0.81,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-07,2.57,-6.73,-4.46,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-08,0.42,-12.57,-9.51,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-09,0.47,-14.3,-11.27,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-10,4.23,-18.03,-16.11,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-11,0.01,-23.28,-14.15,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-12,0.04,-14.95,-7.76,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-13,0,-9.37,2.73,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-14,0.01,-3.41,5.16,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-15,0.01,1.81,5.09,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-16,0.25,3.35,13.13,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-17,0.06,4.85,14.75,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-18,0.07,7.73,16.02,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-19,0.05,5.55,12.98,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-20,0.17,4.86,14.13,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-21,1.85,4.54,8,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-22,5.66,1.59,5.02,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-23,1.72,0.73,6.23,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-24,0,1.36,8.92,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-25,0,-0.1,6.19,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-26,0.66,-1.41,4.61,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-27,18.74,1.27,4.9,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-02-28,0.08,-0.59,2.38,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-01,0,-1.71,7.06,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-02,0,-4.89,-0.25,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-03,0.01,-1.88,5.84,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-04,0,-0.02,4.44,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-05,0,-1.77,4.36,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-06,0,-3.55,0.06,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-07,0,-4.03,2.93,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-08,0,-0.41,5.32,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-09,0.01,2.1,5.9,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-10,0,1.19,9.07,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-11,0,0.1,9.54,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-12,0,3.49,11.57,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-13,0,0.35,5.85,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-14,0,2.55,14.43,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-15,0.06,6.55,12.22,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-16,0,1.27,10.58,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-17,0,1.44,5.22,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-18,0,-1.99,4.65,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-19,0,-0.46,5.93,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-20,0,-0.1,7.55,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-21,0,2,9.52,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-22,0,3.72,12.3,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-23,0.04,6.03,13.72,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-24,0.01,6.82,16.94,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-25,3.45,9.05,17.31,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-26,0,5.73,12.86,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-27,0.19,5.84,15.87,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-28,3.61,13.3,20.05,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-29,13.86,14.1,20.46,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-30,0.54,7.04,10.72,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-03-31,0.27,8.42,18.85,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-01,1.93,7.33,14.78,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-02,0.02,11.58,25.02,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-03,8.73,14.14,21.54,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-04,13.42,2.69,8.82,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-05,0,1.14,8.64,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-06,0.02,4.95,17.62,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-07,0.79,10.9,18.28,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-08,1.05,9.35,15.01,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-09,0.04,9.46,19.88,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-10,1.23,13.57,22.57,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-11,0.89,9.2,15.07,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-12,1.14,9.5,19.85,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-13,2.68,12.55,20.23,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-14,1.96,3.01,10.21,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
1981-04-15,0.18,5.86,16.83,hf-soy-minnesota,soybeans,44,-94,NASA POWER MERRA-2 PRECTOTCORR T2M T2M_MAX
