date,precipitationMm,siteId,cropId,latitude,longitude,source
1981-01-01,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-02,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-03,0.67,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-04,0.45,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-05,3.81,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-06,0.89,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-07,0.22,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-08,0.05,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-09,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-10,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-11,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-12,0.51,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-13,1.61,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-14,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-15,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-16,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-17,0.29,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-18,0.58,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-19,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-20,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-21,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-22,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-23,0.4,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-24,2.14,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-25,10.52,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-26,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-27,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-28,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-29,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-30,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-01-31,0.4,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-01,2.74,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-02,0.29,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-03,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-04,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-05,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-06,1.12,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-07,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-08,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-09,0.09,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-10,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-11,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-12,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-13,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-14,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-15,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-16,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-17,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-18,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-19,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-20,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-21,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-22,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
1981-02-23,0,hf-sugar-uttar-pradesh,sugar,27,80.5,NASA POWER MERRA-2 PRECTOTCORR
