issueDate,targetDate,leadDays,windowId,modelId,locationId,region,weight,forecastMeanF,normalMeanF,forecastAnomalyF,sampledValidHoursUtc,nearestGridLatitude,nearestGridLongitude,source
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,minneapolis,Upper Midwest,0.07,51.857,31.562,20.295,0,45,-93.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,chicago,Great Lakes,0.09,43.87,35.451,8.419,0,42,-87.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,detroit,Great Lakes,0.06,47.582,34.418,13.164,0,42.25,-83,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,cleveland,Great Lakes,0.05,56.47,34.786,21.684,0,41.5,-81.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,indianapolis,Ohio Valley,0.05,62.207,39.232,22.976,0,39.75,-86.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,st-louis,Midwest,0.05,66.764,44.685,22.079,0,38.75,-90.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,kansas-city,Central Plains,0.04,62.545,43.998,18.547,0,39,-94.5,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,nashville,Mid-South,0.05,74.695,48.592,26.102,0,36.25,-86.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,memphis,Mid-South,0.04,75.595,51.279,24.316,0,35.25,-90,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,atlanta,Southeast,0.07,71.939,52.503,19.435,0,33.75,-84.5,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,charlotte,Southeast,0.05,70.87,50.687,20.183,0,35.25,-80.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,raleigh,Southeast,0.04,69.52,49.238,20.282,0,35.75,-78.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,washington-dc,Mid-Atlantic,0.07,65.132,42.544,22.589,0,39,-77,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,philadelphia,Mid-Atlantic,0.06,64.289,40.108,24.181,0,40,-75.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,new-york,Northeast,0.11,54.389,39.461,14.928,0,40.75,-74,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,boston,Northeast,0.06,42.857,34.751,8.106,0,42.25,-71,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,dallas,Texas/Oklahoma fringe,0.05,74.582,55.704,18.878,0,32.75,-96.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-15,1,selloff,ecmwf-aifs-00z-aws-open,houston,Texas/Oklahoma fringe,0.05,76.72,60.66,16.06,0,29.75,-95.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-24h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,minneapolis,Upper Midwest,0.07,36.838,33.139,3.699,0,45,-93.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,chicago,Great Lakes,0.09,47.019,36.114,10.905,0,42,-87.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,detroit,Great Lakes,0.06,48.876,34.589,14.287,0,42.25,-83,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,cleveland,Great Lakes,0.05,51.519,34.647,16.872,0,41.5,-81.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,indianapolis,Ohio Valley,0.05,58.157,40.001,18.156,0,39.75,-86.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,st-louis,Midwest,0.05,62.319,46.159,16.16,0,38.75,-90.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,kansas-city,Central Plains,0.04,57.313,45.699,11.614,0,39,-94.5,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,nashville,Mid-South,0.05,60.913,49.432,11.481,0,36.25,-86.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,memphis,Mid-South,0.04,62.882,53.282,9.6,0,35.25,-90,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,atlanta,Southeast,0.07,66.932,53.057,13.875,0,33.75,-84.5,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,charlotte,Southeast,0.05,69.801,50.454,19.346,0,35.25,-80.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,raleigh,Southeast,0.04,66.313,48.262,18.051,0,35.75,-78.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,washington-dc,Mid-Atlantic,0.07,56.357,41.28,15.077,0,39,-77,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,philadelphia,Mid-Atlantic,0.06,53.094,38.893,14.201,0,40,-75.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,new-york,Northeast,0.11,48.482,38.569,9.912,0,40.75,-74,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,boston,Northeast,0.06,42.969,33.312,9.658,0,42.25,-71,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,dallas,Texas/Oklahoma fringe,0.05,59.451,58.671,0.78,0,32.75,-96.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-17,3,selloff,ecmwf-aifs-00z-aws-open,houston,Texas/Oklahoma fringe,0.05,66.426,63.597,2.829,0,29.75,-95.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-72h-oper-fc.grib2"
2024-03-14,2024-03-21,7,rumor,ecmwf-aifs-00z-aws-open,minneapolis,Upper Midwest,0.07,39.802,33.505,6.297,0,45,-93.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-168h-oper-fc.grib2"
2024-03-14,2024-03-21,7,rumor,ecmwf-aifs-00z-aws-open,chicago,Great Lakes,0.09,43.008,36.939,6.07,0,42,-87.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-168h-oper-fc.grib2"
2024-03-14,2024-03-21,7,rumor,ecmwf-aifs-00z-aws-open,detroit,Great Lakes,0.06,46.608,35.749,10.859,0,42.25,-83,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-168h-oper-fc.grib2"
2024-03-14,2024-03-21,7,rumor,ecmwf-aifs-00z-aws-open,cleveland,Great Lakes,0.05,44.583,35.937,8.647,0,41.5,-81.75,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-168h-oper-fc.grib2"
2024-03-14,2024-03-21,7,rumor,ecmwf-aifs-00z-aws-open,indianapolis,Ohio Valley,0.05,58.196,41.356,16.839,0,39.75,-86.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-168h-oper-fc.grib2"
2024-03-14,2024-03-21,7,rumor,ecmwf-aifs-00z-aws-open,st-louis,Midwest,0.05,66.633,46.29,20.343,0,38.75,-90.25,"ECMWF AIFS open data on AWS, 2 metre temperature, aifs/0p25/oper; https://ecmwf-forecasts.s3.eu-central-1.amazonaws.com/20240314/00z/aifs/0p25/oper/20240314000000-168h-oper-fc.grib2"
