eventId,windowId,startDate,endDate,tradeQuestion
actual-heating-cold-1,rumor,2021-02-07,2021-02-10,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-1,selloff,2021-02-14,2021-02-16,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-1,event,2021-02-17,2021-02-17,What happened while the actual cold event was present?
actual-heating-cold-2,rumor,2021-02-09,2021-02-12,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-2,selloff,2021-02-16,2021-02-18,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-2,event,2021-02-19,2021-02-20,What happened while the actual cold event was present?
actual-heating-cold-3,rumor,2022-01-19,2022-01-22,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-3,selloff,2022-01-26,2022-01-28,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-3,event,2022-01-29,2022-01-29,What happened while the actual cold event was present?
actual-heating-cold-4,rumor,2022-03-02,2022-03-05,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-4,selloff,2022-03-09,2022-03-11,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-4,event,2022-03-12,2022-03-12,What happened while the actual cold event was present?
actual-heating-cold-5,rumor,2022-03-17,2022-03-20,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-5,selloff,2022-03-24,2022-03-26,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-5,event,2022-03-27,2022-03-28,What happened while the actual cold event was present?
actual-heating-cold-6,rumor,2022-11-08,2022-11-11,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-6,selloff,2022-11-15,2022-11-17,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-6,event,2022-11-18,2022-11-20,What happened while the actual cold event was present?
actual-heating-cold-7,rumor,2022-12-13,2022-12-16,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-7,selloff,2022-12-20,2022-12-22,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-7,event,2022-12-23,2022-12-26,What happened while the actual cold event was present?
actual-heating-cold-8,rumor,2023-01-24,2023-01-27,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-8,selloff,2023-01-31,2023-02-02,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-8,event,2023-02-03,2023-02-03,What happened while the actual cold event was present?
actual-heating-cold-9,rumor,2023-03-08,2023-03-11,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-9,selloff,2023-03-15,2023-03-17,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-9,event,2023-03-18,2023-03-19,What happened while the actual cold event was present?
actual-heating-cold-10,rumor,2023-10-22,2023-10-25,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-10,selloff,2023-10-29,2023-10-31,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-10,event,2023-11-01,2023-11-01,What happened while the actual cold event was present?
actual-heating-cold-11,rumor,2023-11-18,2023-11-21,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-11,selloff,2023-11-25,2023-11-27,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-11,event,2023-11-28,2023-11-28,What happened while the actual cold event was present?
actual-heating-cold-12,rumor,2024-01-04,2024-01-07,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-12,selloff,2024-01-11,2024-01-13,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-12,event,2024-01-14,2024-01-17,What happened while the actual cold event was present?
actual-heating-cold-13,rumor,2024-01-10,2024-01-13,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-13,selloff,2024-01-17,2024-01-19,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-13,event,2024-01-20,2024-01-20,What happened while the actual cold event was present?
actual-heating-cold-14,rumor,2024-11-20,2024-11-23,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-14,selloff,2024-11-27,2024-11-29,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-14,event,2024-11-30,2024-12-02,What happened while the actual cold event was present?
actual-heating-cold-15,rumor,2024-12-30,2025-01-02,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-15,selloff,2025-01-06,2025-01-08,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-15,event,2025-01-09,2025-01-09,What happened while the actual cold event was present?
actual-heating-cold-16,rumor,2025-01-10,2025-01-13,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-16,selloff,2025-01-17,2025-01-19,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-16,event,2025-01-20,2025-01-22,What happened while the actual cold event was present?
actual-heating-cold-17,rumor,2025-02-08,2025-02-11,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-17,selloff,2025-02-15,2025-02-17,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-17,event,2025-02-18,2025-02-22,What happened while the actual cold event was present?
actual-heating-cold-18,rumor,2025-10-31,2025-11-03,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-18,selloff,2025-11-07,2025-11-09,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-18,event,2025-11-10,2025-11-11,What happened while the actual cold event was present?
actual-heating-cold-19,rumor,2025-11-24,2025-11-27,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-19,selloff,2025-12-01,2025-12-03,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-19,event,2025-12-04,2025-12-05,What happened while the actual cold event was present?
actual-heating-cold-20,rumor,2025-12-04,2025-12-07,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-20,selloff,2025-12-11,2025-12-13,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-20,event,2025-12-14,2025-12-15,What happened while the actual cold event was present?
actual-heating-cold-21,rumor,2026-01-14,2026-01-17,Did broad 7-10 day forecast cold bid UNG before the event?
actual-heating-cold-21,selloff,2026-01-21,2026-01-23,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-heating-cold-21,event,2026-01-24,2026-02-01,What happened while the actual cold event was present?
