eventId,windowId,startDate,endDate,tradeQuestion
actual-cold-1,rumor,2025-10-31,2025-11-03,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-1,selloff,2025-11-07,2025-11-09,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-1,event,2025-11-10,2025-11-11,What happened while the actual cold event was present?
actual-cold-2,rumor,2025-11-24,2025-11-27,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-2,selloff,2025-12-01,2025-12-03,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-2,event,2025-12-04,2025-12-05,What happened while the actual cold event was present?
actual-cold-3,rumor,2025-12-04,2025-12-07,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-3,selloff,2025-12-11,2025-12-13,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-3,event,2025-12-14,2025-12-15,What happened while the actual cold event was present?
actual-cold-4,rumor,2026-01-14,2026-01-17,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-4,selloff,2026-01-21,2026-01-23,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-4,event,2026-01-24,2026-02-01,What happened while the actual cold event was present?
actual-cold-5,rumor,2026-03-07,2026-03-10,Did broad 7-10 day forecast cold bid UNG before the event?
actual-cold-5,selloff,2026-03-14,2026-03-16,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
actual-cold-5,event,2026-03-17,2026-03-17,What happened while the actual cold event was present?
