date,locationId,region,weight,tempMeanC,tempMeanF,normalMeanC,normalMeanF,anomalyF,source
2021-01-01,minneapolis,Upper Midwest,0.07,-9.03,15.75,-11.21,11.82,3.93,NASA POWER daily T2M
2021-01-02,minneapolis,Upper Midwest,0.07,-7.88,17.82,-10.7,12.74,5.08,NASA POWER daily T2M
2021-01-03,minneapolis,Upper Midwest,0.07,-4.98,23.04,-10.13,13.77,9.27,NASA POWER daily T2M
2021-01-04,minneapolis,Upper Midwest,0.07,-3.22,26.2,-11.81,10.74,15.47,NASA POWER daily T2M
2021-01-05,minneapolis,Upper Midwest,0.07,-4.37,24.13,-12.16,10.11,14.02,NASA POWER daily T2M
2021-01-06,minneapolis,Upper Midwest,0.07,-3.38,25.92,-12.12,10.19,15.72,NASA POWER daily T2M
2021-01-07,minneapolis,Upper Midwest,0.07,-7.01,19.38,-11.88,10.61,8.77,NASA POWER daily T2M
2021-01-08,minneapolis,Upper Midwest,0.07,-8.33,17.01,-10.11,13.8,3.21,NASA POWER daily T2M
2021-01-09,minneapolis,Upper Midwest,0.07,-8.63,16.47,-10.64,12.85,3.61,NASA POWER daily T2M
2021-01-10,minneapolis,Upper Midwest,0.07,-6.63,20.07,-9.73,14.49,5.58,NASA POWER daily T2M
2021-01-11,minneapolis,Upper Midwest,0.07,-4.51,23.88,-9.91,14.17,9.72,NASA POWER daily T2M
2021-01-12,minneapolis,Upper Midwest,0.07,-3.36,25.95,-10.79,12.58,13.37,NASA POWER daily T2M
2021-01-13,minneapolis,Upper Midwest,0.07,-0.76,30.63,-12.48,9.54,21.09,NASA POWER daily T2M
2021-01-14,minneapolis,Upper Midwest,0.07,-0.63,30.87,-12.17,10.1,20.76,NASA POWER daily T2M
2021-01-15,minneapolis,Upper Midwest,0.07,0.05,32.09,-12.78,8.99,23.1,NASA POWER daily T2M
2021-01-16,minneapolis,Upper Midwest,0.07,-4.7,23.54,-11.59,11.13,12.41,NASA POWER daily T2M
2021-01-17,minneapolis,Upper Midwest,0.07,-8.71,16.32,-12.33,9.81,6.51,NASA POWER daily T2M
2021-01-18,minneapolis,Upper Midwest,0.07,-10.27,13.51,-12.93,8.72,4.8,NASA POWER daily T2M
2021-01-19,minneapolis,Upper Midwest,0.07,-14.68,5.58,-13.07,8.48,-2.9,NASA POWER daily T2M
2021-01-20,minneapolis,Upper Midwest,0.07,-8.19,17.26,-12.95,8.69,8.57,NASA POWER daily T2M
2021-01-21,minneapolis,Upper Midwest,0.07,-8.22,17.2,-10.89,12.39,4.81,NASA POWER daily T2M
2021-01-22,minneapolis,Upper Midwest,0.07,-17.87,-0.17,-9.49,14.93,-15.09,NASA POWER daily T2M
2021-01-23,minneapolis,Upper Midwest,0.07,-12.08,10.26,-11.03,12.15,-1.89,NASA POWER daily T2M
2021-01-24,minneapolis,Upper Midwest,0.07,-11.58,11.16,-11.42,11.43,-0.28,NASA POWER daily T2M
2021-01-25,minneapolis,Upper Midwest,0.07,-12.9,8.78,-11.49,11.31,-2.53,NASA POWER daily T2M
2021-01-26,minneapolis,Upper Midwest,0.07,-15.01,4.98,-9.94,14.1,-9.12,NASA POWER daily T2M
2021-01-27,minneapolis,Upper Midwest,0.07,-18.63,-1.53,-10.2,13.64,-15.18,NASA POWER daily T2M
2021-01-28,minneapolis,Upper Midwest,0.07,-11.68,10.98,-10.59,12.93,-1.96,NASA POWER daily T2M
2021-01-29,minneapolis,Upper Midwest,0.07,-7.81,17.94,-11.71,10.91,7.03,NASA POWER daily T2M
2021-01-30,minneapolis,Upper Midwest,0.07,-3.47,25.75,-11.51,11.28,14.47,NASA POWER daily T2M
